n,JJ,O
santosh,NN,O
hegde,NN,O
j,NN,O
1,CD,O
m,NN,O
s,NN,O
associated,VBN,O
cement,JJ,O
company,NN,B-LEGAL
ltd,NN,O
for,IN,O
short,JJ,O
acc,NN,O
had,VBD,O
embarked,VBN,O
upon,IN,O
a,DT,O
project,NN,O
of,IN,O
substantial,JJ,O
expansion,NN,O
and,CC,O
modernisation,NN,B-LEGAL
of,IN,O
its,PRP$,O
cement,NN,O
factory,NN,B-LEGAL
at,IN,O
shahabad,NN,O
in,IN,O
karnataka,NN,O
the,DT,O
acc,NN,O
had,VBD,O
floated,VBN,O
a,DT,O
tender,NN,O
inviting,VBG,O
supply,NN,O
of,IN,O
high,JJ,O
standard,NN,O
deformed,VBD,O
steel,NN,O
bars,NNS,O
in,IN,O
that,DT,O
tender,NN,O
acc,NN,O
had,VBD,O
claimed,VBN,O
that,IN,O
the,DT,O
project,NN,O
was,VBD,O
aided,VBN,O
by,IN,O
the,DT,O
international,JJ,O
bank,NN,O
for,IN,O
reconstruction,NN,O
and,CC,O
development,NN,O
for,IN,O
short,JJ,O
the,DT,O
ibrd,NN,O
which,WDT,O
would,MD,O
give,VB,O
the,DT,O
importer,NN,B-LEGAL
exemption,NN,B-LEGAL
from,IN,O
the,DT,O
import,NN,B-LEGAL
duty,NN,O
in,IN,O
response,NN,O
to,TO,O
the,DT,O
said,VBD,O
tender,NN,O
m,NN,O
s,NN,O
virgo,NN,O
steels,NNS,O
made,VBN,O
an,DT,O
offer,NN,O
to,TO,O
supply,VB,O
5,CD,O
187,CD,O
mt,NN,O
of,IN,O
steel,NN,O
the,DT,O
offer,NN,O
was,VBD,O
accepted,VBN,O
by,IN,O
the,DT,O
acc,NN,O
and,CC,O
the,DT,O
said,VBD,O
virgo,NN,O
steels,NNS,O
obtained,VBD,O
an,DT,O
advance,JJ,B-LEGAL
licence,NN,I-LEGAL
under,IN,O
the,DT,O
deemed,VBN,O
export,NN,B-LEGAL
scheme,NN,O
for,IN,O
duty,NN,O
free,JJ,O
import,NN,B-LEGAL
of,IN,O
the,DT,O
concerned,JJ,O
steel,NN,O
under,IN,O
notification,NN,B-LEGAL
no,DT,O
210,CD,O
82,CD,O
this,DT,O
notification,NN,B-LEGAL
specifically,RB,O
required,VBD,O
that,IN,O
if,IN,O
the,DT,O
goods,NNS,B-LEGAL
in,IN,O
question,NN,O
was,VBD,O
not,RB,O
used,VBN,O
for,IN,O
the,DT,O
purpose,NN,O
for,IN,O
which,WDT,O
importation,NN,O
was,VBD,O
permitted,VBN,O
then,RB,O
the,DT,O
importer,NN,B-LEGAL
was,VBD,O
liable,JJ,O
on,IN,O
demand,NN,B-LEGAL
to,TO,O
pay,VB,O
a,DT,O
sum,JJ,O
equivalent,NN,O
to,TO,O
the,DT,O
duty,NN,O
leviable,JJ,O
sometime,RB,O
in,IN,O
november,JJ,O
1988,CD,O
the,DT,O
acc,NN,O
decided,VBD,O
to,TO,O
abandon,VB,O
the,DT,O
work,NN,O
of,IN,O
expansion,NN,O
hence,NN,O
the,DT,O
licence,NN,B-LEGAL
obtained,VBN,O
under,IN,O
the,DT,O
above,NN,O
said,VBD,O
scheme,NN,O
for,IN,O
importation,NN,O
of,IN,O
duty,NN,O
free,JJ,O
steel,NN,O
became,VBD,O
invalid,JJ,O
in,IN,O
spite,NN,O
of,IN,O
the,DT,O
same,JJ,O
m,NN,O
s,NN,O
virgo,NN,O
steels,NNS,O
imported,VBN,B-LEGAL
certain,JJ,O
quantities,NNS,O
of,IN,O
steel,NN,O
duty,NN,O
free,JJ,O
knowing,VBG,O
very,RB,O
well,RB,O
that,IN,O
the,DT,O
expansion,NN,O
project,NN,O
by,IN,O
the,DT,O
acc,NN,O
had,VBD,O
been,VBN,O
abandoned,VBN,B-LEGAL
it,PRP,O
is,VBZ,O
on,IN,O
record,NN,O
that,IN,O
m,VBZ,O
s,JJ,O
virgo,NN,O
steels,NNS,O
asked,VBD,O
acc,NNS,O
to,TO,O
issue,VB,O
a,DT,O
signed,JJ,O
export,NN,B-LEGAL
certificate,NN,O
in,IN,O
regard,NN,O
to,TO,O
actual,JJ,O
quantities,NNS,O
of,IN,O
steel,NN,O
supplied,VBN,O
by,IN,O
it,PRP,O
for,IN,O
the,DT,O
purpose,NN,O
of,IN,O
duty,JJ,O
exemption,NN,B-LEGAL
but,CC,O
the,DT,O
acc,NN,O
pleaded,VBD,O
their,PRP$,O
inability,NN,O
to,TO,O
provide,VB,O
such,JJ,O
deemed,VBN,O
export,NN,B-LEGAL
certificate,NN,O
in,IN,O
view,NN,O
of,IN,O
the,DT,O
fact,NN,O
that,IN,O
it,PRP,O
had,VBD,O
abandoned,VBN,B-LEGAL
its,PRP$,O
project,NN,O
2,CD,O
in,IN,O
the,DT,O
above,JJ,O
factual,JJ,O
background,NN,O
and,CC,O
on,IN,O
the,DT,O
basis,NN,O
of,IN,O
certain,JJ,O
information,NN,O
received,VBN,O
by,IN,O
the,DT,O
marine,JJ,O
preventive,JJ,O
wing,NN,O
of,IN,O
bombay,NN,O
customs,NNS,O
investigations,NNS,B-LEGAL
were,VBD,O
conducted,VBN,O
in,IN,O
regard,NN,O
to,TO,O
the,DT,O
import,NN,B-LEGAL
and,CC,O
illegal,JJ,O
sale,NN,O
of,IN,O
steel,NN,O
by,IN,O
m,JJ,O
s,NN,O
virgo,NN,O
steels,NNS,O
based,VBN,O
on,IN,O
the,DT,O
said,VBD,O
investigation,NN,B-LEGAL
commissioner,NN,O
of,IN,O
customs,NNS,O
bombay,NNS,O
came,VBD,O
to,TO,O
the,DT,O
conclusion,NN,O
that,IN,O
the,DT,O
import,NN,B-LEGAL
made,VBN,O
by,IN,O
m,JJ,O
s,NN,O
virgo,NN,O
steels,NNS,O
after,IN,O
the,DT,O
abandonment,NN,O
of,IN,O
the,DT,O
project,NN,O
by,IN,O
the,DT,O
acc,NN,O
was,VBD,O
in,IN,O
contravention,NN,O
of,IN,O
the,DT,O
provisions,NNS,O
of,IN,O
the,DT,O
customs,NNS,O
act,NN,O
1962,CD,O
the,DT,O
act,NN,O
hence,NN,O
decided,VBD,O
to,TO,O
initiate,VB,O
proceedings,NNS,O
against,IN,O
m,NN,O
s,NN,O
virgo,NN,O
steels,NNS,O
and,CC,O
acc,VB,O
having,VBG,O
come,VBN,O
to,TO,O
know,VB,O
of,IN,O
this,DT,O
decision,NN,B-LEGAL
of,IN,O
the,DT,O
commissioner,NN,O
of,IN,O
customs,NNS,O
to,TO,O
pre,VB,O
empt,JJ,O
any,DT,O
penal,JJ,O
proceedings,NNS,O
consequences,NNS,O
of,IN,O
which,WDT,O
could,MD,O
have,VB,O
been,VBN,O
very,RB,O
serious,JJ,O
m,NN,O
s,NN,O
virgo,NN,O
steels,NNS,O
wrote,VBD,O
a,DT,O
letter,NN,O
dated,VBD,O
3031991,CD,O
to,TO,O
the,DT,O
assistant,JJ,O
collector,NN,O
of,IN,O
customs,NNS,O
marine,JJ,O
preventive,JJ,O
wing,NN,O
bombay,NN,O
admitting,VBG,O
in,IN,O
clear,JJ,O
terms,NNS,O
that,IN,O
the,DT,O
import,NN,B-LEGAL
of,IN,O
24,CD,O
326,CD,O
mt,NN,O
of,IN,O
billets,NNS,O
and,CC,O
2300,CD,O
mt,NN,O
of,IN,O
lead,NN,O
ingot,NN,O
by,IN,O
them,PRP,O
and,CC,O
cleared,VBD,O
duty,NN,O
free,JJ,O
under,IN,O
the,DT,O
dec,JJ,O
scheme,NN,O
was,VBD,O
illegal,JJ,O
they,PRP,O
also,RB,O
admitted,VBD,O
that,IN,O
the,DT,O
said,VBD,O
material,NN,O
was,VBD,O
sold,VBN,O
in,IN,O
the,DT,O
market,NN,O
contrary,JJ,O
to,TO,O
the,DT,O
terms,NNS,O
of,IN,O
said,VBD,O
import,NN,B-LEGAL
scheme,NN,O
and,CC,O
assured,VBD,O
the,DT,O
former,JJ,O
that,IN,O
they,PRP,O
were,VBD,O
ready,JJ,O
to,TO,O
pay,VB,O
the,DT,O
duty,NN,O
chargeable,JJ,O
under,IN,O
the,DT,O
said,VBD,O
import,NN,B-LEGAL
as,IN,O
also,RB,O
any,DT,O
other,JJ,O
penalty,NN,O
that,WDT,O
may,MD,O
be,VB,O
imposed,VBN,O
on,IN,O
them,PRP,O
the,DT,O
relevant,JJ,O
part,NN,O
of,IN,O
the,DT,O
said,VBD,O
letter,NN,O
is,VBZ,O
as,IN,O
under,IN,O
in,IN,O
this,DT,O
respect,NN,O
it,PRP,O
is,VBZ,O
our,PRP$,O
humble,JJ,O
submission,NN,O
that,IN,O
we,PRP,O
are,VBP,O
ready,JJ,O
to,TO,O
pay,VB,O
the,DT,O
duty,NN,O
chargeable,NN,O
of,IN,O
24,CD,O
326,CD,O
mt,NN,O
of,IN,O
billets,NNS,O
and,CC,O
2300,CD,O
mt,NN,O
of,IN,O
lead,JJ,O
ingot,NNS,O
along,IN,O
with,IN,O
any,DT,O
other,JJ,O
penalty,NN,O
imposed,VBN,O
on,IN,O
us,PRP,O
we,PRP,O
do,VBP,O
not,RB,O
want,VB,O
any,DT,O
show,NN,B-LEGAL
cause,NN,I-LEGAL
notice,NN,I-LEGAL
and,CC,O
personal,JJ,B-LEGAL
hearing,NN,I-LEGAL
in,IN,O
the,DT,O
matter,NN,O
emphasis,NN,O
supplied,VBD,O
along,IN,O
with,IN,O
the,DT,O
said,VBD,O
letter,NN,O
they,PRP,O
also,RB,O
enclosed,VBD,O
a,DT,O
cheque,NN,O
for,IN,O
a,DT,O
sum,NN,O
of,IN,O
rs,NN,O
50,CD,O
lacs,NN,O
though,IN,O
post,NN,O
dated,VBN,O
as,IN,O
a,DT,O
token,NN,O
of,IN,O
their,PRP$,O
commitment,NN,O
made,VBN,O
in,IN,O
the,DT,O
said,VBD,O
letter,NN,O
3,CD,O
based,VBN,O
on,IN,O
the,DT,O
said,VBD,O
letter,NN,O
the,DT,O
