rc,NN,O
lahoti,VBZ,O
j,$,O
1,CD,O
the,DT,O
high,JJ,O
court,NN,O
of,IN,O
andhra,NN,O
pradesh,NN,O
at,IN,O
hyderabad,NN,O
has,VBZ,O
by,IN,O
its,PRP$,O
impugned,JJ,O
judgment,NN,O
dated,VBN,O
april,RB,O
11,CD,O
1990,CD,O
allowed,VBD,O
the,DT,O
writ,NN,O
petition,NN,O
filed,VBN,O
by,IN,O
the,DT,O
respondent,JJ,O
national,JJ,O
thermal,JJ,O
power,NN,O
corporation,NN,O
ltd,NN,O
hereinafter,NN,O
ntpcl,NN,O
for,IN,O
short,JJ,O
and,CC,O
declared,VBD,O
that,IN,O
the,DT,O
levy,NN,O
of,IN,O
duty,NN,O
by,IN,O
the,DT,O
state,NN,O
of,IN,O
andhra,NN,O
pradesh,NN,O
on,IN,O
the,DT,O
sales,NNS,O
of,IN,O
electrical,JJ,O
energy,NN,O
generated,VBN,O
by,IN,O
the,DT,O
corporation,NN,O
respondent,NN,O
no,DT,O
1,CD,O
at,IN,O
its,PRP$,O
thermal,JJ,O
power,NN,O
station,NN,O
set,VBN,O
up,RP,O
at,IN,O
ramagundam,NN,O
within,IN,O
the,DT,O
state,NN,O
of,IN,O
andhra,NN,O
pradesh,NN,O
and,CC,O
sold,VBN,O
to,TO,O
the,DT,O
electricity,NN,O
boards,NNS,O
of,IN,O
karnataka,NN,O
kerala,NN,O
tamil,NN,O
nadu,NN,O
and,CC,O
the,DT,O
state,NN,O
of,IN,O
goa,NN,O
in,IN,O
pursuance,NN,O
of,IN,O
contracts,NNS,O
of,IN,O
sales,NNS,O
occasioning,VBG,O
inter,NN,B-LEGAL
state,NN,O
movement,NN,O
of,IN,O
electricity,NN,O
is,VBZ,O
incompetent,JJ,O
and,CC,O
outside,IN,O
the,DT,O
power,NN,O
of,IN,O
state,NN,O
legislature,NN,O
consequently,RB,O
the,DT,O
tax,NN,O
levied,VBD,O
and,CC,O
collected,VBD,O
has,VBZ,O
also,RB,O
been,VBN,O
held,VBN,O
to,TO,O
be,VB,O
without,IN,O
authority,NN,B-LEGAL
of,IN,I-LEGAL
law,NN,I-LEGAL
hence,NN,O
liable,JJ,O
to,TO,O
the,DT,O
refunded,VBN,O
in,IN,O
accordance,NN,O
with,IN,O
law,NN,O
on,IN,O
a,DT,O
prayer,NN,O
made,VBN,O
by,IN,O
the,DT,O
learned,JJ,O
advocate,NN,B-LEGAL
general,NN,I-LEGAL
on,IN,O
behalf,NN,O
of,IN,O
the,DT,O
state,NN,O
of,IN,O
andhra,NN,O
pradesh,IN,O
the,DT,O
high,JJ,O
court,NN,O
certified,VBD,O
that,IN,O
the,DT,O
case,NN,O
involves,VBZ,O
a,DT,O
substantial,JJ,O
question,NN,O
of,IN,O
law,NN,O
as,IN,O
to,TO,O
the,DT,O
interpretation,NN,O
of,IN,O
constitution,NN,O
under,IN,O
article,NN,O
132,CD,O
the,DT,O
appeal,NN,O
has,VBZ,O
been,VBN,O
filed,VBN,O
pursuant,NN,O
to,TO,O
the,DT,O
certificate,NN,O
so,RB,O
granted,VBN,O
by,IN,O
the,DT,O
high,JJ,O
court,NN,O
on,IN,O
4101991,CD,O
a,DT,O
bench,NN,O
of,IN,O
two,CD,O
learned,VBD,O
judges,NNS,O
directed,VBD,O
the,DT,O
appeal,NN,O
to,TO,O
be,VB,O
placed,VBN,O
for,IN,O
hearing,VBG,O
before,IN,O
a,DT,O
constitution,NN,O
bench,NN,O
as,IN,O
required,VBN,O
by,IN,O
clause,NN,O
3,CD,O
of,IN,O
article,NN,O
145,CD,O
of,IN,O
the,DT,O
constitution,NN,O
2,CD,O
at,IN,O
a,DT,O
point,NN,O
of,IN,O
time,NN,O
when,WRB,O
this,DT,O
court,NN,O
was,VBD,O
seized,VBN,O
of,IN,O
the,DT,O
appeal,NN,O
filed,VBN,O
by,IN,O
the,DT,O
state,NN,O
of,IN,O
andhra,NN,O
pradesh,JJ,O
ntpcl,RB,O
moved,VBD,O
a,DT,O
petition,NN,O
under,IN,O
article,NN,O
139a,CD,O
of,IN,O
the,DT,O
constitution,NN,O
seeking,VBG,O
withdrawal,NN,O
of,IN,O
writ,JJ,O
petition,NN,O
no,DT,O
1941,CD,O
of,IN,O
1996,CD,O
ntpcl,JJ,O
v,JJ,O
state,NN,O
of,IN,O
madhya,NN,O
pradesh,NN,O
and,CC,O
anr,JJ,O
pending,NN,O
in,IN,O
the,DT,O
high,JJ,O
court,NN,O
of,IN,O
madhya,NN,O
pradesh,NN,O
at,IN,O
jabalpur,NN,O
to,TO,O
this,DT,O
court,NN,O
the,DT,O
prayer,NN,O
was,VBD,O
allowed,VBN,O
vide,JJ,O
order,NN,O
dated,VBD,O
13101997,CD,O
and,CC,O
on,IN,O
receipt,NN,O
of,IN,O
the,DT,O
records,NNS,O
from,IN,O
high,JJ,O
court,NN,O
of,IN,O
madhya,NN,O
pradesh,VBP,O
the,DT,O
same,JJ,O
has,VBZ,O
been,VBN,O
registered,VBN,O
here,RB,O
as,IN,O
t,JJ,O
c,NN,O
3,CD,O
1998,CD,O
3,CD,O
the,DT,O
state,NN,O
of,IN,O
madhya,NN,O
pradesh,NN,O
and,CC,O
newly,RB,O
formed,VBN,O
state,NN,O
of,IN,O
chhattisgarh,NN,O
with,IN,O
effect,NN,O
from,IN,O
1112000,CD,O
during,IN,O
the,DT,O
pendency,NN,O
of,IN,O
the,DT,O
petition,NN,O
were,VBD,O
noticed,VBN,O
and,CC,O
the,DT,O
parties,NNS,O
thereto,WDT,O
have,VBP,O
been,VBN,O
heard,VBN,O
analogously,RB,O
with,IN,O
the,DT,O
hearing,NN,O
in,IN,O
ca,MD,O
no,DT,O
3112,CD,O
1990,CD,O
however,RB,O
for,IN,O
convenience,NN,O
sake,NN,O
we,PRP,O
will,MD,O
refer,VB,O
to,TO,O
states,NNS,O
of,IN,O
madhya,NN,O
pradesh,NN,O
and,CC,O
chhattisgarh,NN,O
as,IN,O
state,NN,O
of,IN,O
mp,NN,O
only,RB,O
as,RB,O
admittedly,RB,O
until,IN,O
the,DT,O
formation,NN,B-LEGAL
of,IN,I-LEGAL
new,JJ,I-LEGAL
state,NN,I-LEGAL
the,DT,O
two,CD,O
power,NN,O
stations,NNS,O
in,IN,O
question,NN,O
were,VBD,O
situated,VBN,O
therein,RB,O
only,RB,O
facts,VBZ,O
in,IN,O
ca,MD,O
no,DT,O
3112,CD,O
1990,CD,O
4,CD,O
andhra,NN,O
pradesh,JJ,O
electricity,NN,O
duty,NN,O
act,NN,O
1939,CD,O
provides,VBZ,O
for,IN,O
levy,NN,O
of,IN,O
duty,NN,O
on,IN,O
certain,JJ,O
sales,NNS,O
and,CC,O
consumption,NN,B-LEGAL
of,IN,O
electricity,NN,O
by,IN,O
licensees,NNS,O
in,IN,O
the,DT,O
state,NN,O
of,IN,O
andhra,NN,O
pradesh,VBP,O
the,DT,O
