n,JJ,O
santosh,NN,O
hegde,NN,O
j,NN,O
1,CD,O
the,DT,O
appellant,NN,O
along,IN,O
with,IN,O
3,CD,O
others,NNS,O
was,VBD,O
charged,VBN,O
for,IN,O
offences,NNS,O
punishable,JJ,O
under,IN,O
section,NN,O
302,CD,O
read,NN,O
with,IN,O
section,NN,O
34,CD,O
ipc,NN,O
and,CC,O
sections,NNS,O
25,CD,O
and,CC,O
27,CD,O
of,IN,O
the,DT,O
arms,NNS,O
act,VBP,O
the,DT,O
act,NN,O
in,IN,O
the,DT,O
said,VBD,O
trial,NN,O
the,DT,O
appellant,NN,O
was,VBD,O
arrayed,VBN,O
as,IN,O
accused,VBN,O
no,DT,O
4,CD,O
a,DT,O
4,CD,O
before,IN,O
the,DT,O
sessions,NNS,O
judge,NN,O
rohtak,NN,O
after,IN,O
trial,NN,O
the,DT,O
learned,JJ,O
sessions,NNS,O
judge,NN,O
came,VBD,O
to,TO,O
the,DT,O
conclusion,NN,O
that,IN,O
the,DT,O
prosecution,NN,O
has,VBZ,O
failed,VBN,O
to,TO,O
prove,VB,O
the,DT,O
case,NN,O
against,IN,O
all,PDT,O
the,DT,O
accused,JJ,O
persons,NNS,O
and,CC,O
acquitted,VBD,O
all,DT,O
of,IN,O
them,PRP,O
of,IN,O
the,DT,O
charges,NNS,O
it,PRP,O
is,VBZ,O
relevant,JJ,O
to,TO,O
mention,VB,O
herein,NN,O
that,IN,O
during,IN,O
the,DT,O
trial,NN,O
a,DT,O
1,CD,O
kanwar,NN,O
singh,NN,O
died,VBD,O
and,CC,O
the,DT,O
proceedings,NNS,O
had,VBD,O
abated,VBN,O
as,IN,O
against,IN,O
him,PRP,O
being,VBG,O
aggrieved,VBN,O
by,IN,O
the,DT,O
order,NN,O
of,IN,O
acquittal,JJ,O
the,DT,O
state,NN,O
preferred,VBD,O
an,DT,O
appeal,NN,O
before,IN,O
the,DT,O
high,JJ,O
court,NN,O
of,IN,O
punjab,NN,O
haryana,NN,O
at,IN,O
chandigarh,NN,O
in,IN,O
crl,JJ,O
appeal,NN,O
no,DT,O
238,CD,O
dba,RB,O
89,CD,O
the,DT,O
high,JJ,O
court,NN,O
by,IN,O
its,PRP$,O
judgment,NN,O
dated,VBD,O
9111995,CD,O
allowed,VBD,O
the,DT,O
appeal,NN,O
so,RB,O
far,RB,O
as,IN,O
the,DT,O
present,JJ,O
appellant,NN,O
is,VBZ,O
concerned,VBN,O
and,CC,O
convicted,VBD,O
him,PRP,O
of,IN,O
an,DT,O
offence,NN,O
punishable,JJ,O
under,IN,O
section,NN,O
302,CD,O
ipc,NN,O
and,CC,O
sentenced,VBD,O
him,PRP,O
to,TO,O
undergo,VB,O
imprisonment,NN,O
for,IN,O
life,NN,O
with,IN,O
a,DT,O
fine,NN,O
of,IN,O
rs,NN,O
5,CD,O
000,CD,O
in,IN,O
default,NN,O
to,TO,O
further,JJ,O
undergo,JJ,O
ri,NN,O
for,IN,O
one,CD,O
year,NN,O
the,DT,O
high,JJ,O
court,NN,O
also,RB,O
found,VBD,O
the,DT,O
appellant,JJ,O
guilty,JJ,O
of,IN,O
an,DT,O
offence,NN,O
punishable,JJ,O
under,IN,O
sections,NNS,O
25,CD,O
and,CC,O
27,CD,O
of,IN,O
the,DT,O
arms,NNS,O
act,NN,O
and,CC,O
imposed,VBD,O
a,DT,O
sentence,NN,O
of,IN,O
ri,NN,O
for,IN,O
one,CD,O
year,NN,O
with,IN,O
a,DT,O
fine,NN,O
of,IN,O
rs,NN,O
1,CD,O
000,CD,O
in,IN,O
default,NN,O
ri,NN,O
for,IN,O
6,CD,O
months,NNS,O
on,IN,O
that,DT,O
count,NN,O
it,PRP,O
directed,VBD,O
both,CC,O
the,DT,O
sentences,NNS,O
to,TO,O
run,VB,O
concurrently,RB,O
the,DT,O
state,NN,O
appeal,NN,O
against,IN,O
the,DT,O
acquittal,NN,O
of,IN,O
a,DT,O
2,CD,O
and,CC,O
a,DT,O
3,CD,O
was,VBD,O
dismissed,VBN,O
by,IN,O
the,DT,O
high,JJ,O
court,NN,O
therefore,VBD,O
the,DT,O
appellant,NN,O
is,VBZ,O
now,RB,O
before,IN,O
us,PRP,O
in,IN,O
this,DT,O
appeal,NN,O
2,CD,O
briefly,NN,O
stated,VBD,O
the,DT,O
prosecution,NN,O
case,NN,O
is,VBZ,O
that,IN,O
the,DT,O
accused,VBN,O
the,DT,O
deceased,VBN,O
and,CC,O
the,DT,O
complainant,NN,O
were,VBD,O
all,DT,O
closely,RB,O
related,VBN,O
there,EX,O
was,VBD,O
a,DT,O
dispute,NN,O
between,IN,O
kanwar,JJ,O
singh,VBD,O
a,DT,O
1,CD,O
and,CC,O
deceased,VBD,O
hari,NNS,O
om,RB,O
allegedly,RB,O
murdered,VBN,O
by,IN,O
the,DT,O
accused,VBN,O
it,PRP,O
is,VBZ,O
the,DT,O
further,JJ,O
case,NN,O
of,IN,O
the,DT,O
prosecution,NN,O
which,WDT,O
of,IN,O
course,NN,O
is,VBZ,O
not,RB,O
disputed,VBN,O
that,IN,O
the,DT,O
appellant,NN,O
in,IN,O
this,DT,O
appeal,NN,O
was,VBD,O
serving,VBG,O
the,DT,O
central,JJ,O
reserve,NN,O
police,NN,O
force,NN,O
at,IN,O
jammu,NN,O
was,VBD,O
on,IN,O
orders,NNS,O
of,IN,O
transfer,NN,O
to,TO,O
tripura,VB,O
en,FW,O
route,NN,O
to,TO,O
his,PRP$,O
place,NN,O
of,IN,O
posting,VBG,O
he,PRP,O
had,VBD,O
taken,VBN,O
some,DT,O
leave,VBP,O
to,TO,O
visit,VB,O
his,PRP$,O
ailing,VBG,O
sister,NN,O
at,IN,O
the,DT,O
village,NN,O
hence,NN,O
he,PRP,O
had,VBD,O
come,VBN,O
to,TO,O
the,DT,O
village,NN,O
pursuant,NN,O
to,TO,O
the,DT,O
said,VBD,O
dispute,NN,O
it,PRP,O
is,VBZ,O
stated,VBN,O
that,IN,O
on,IN,O
the,DT,O
night,NN,O
before,IN,O
1631986,CD,O
a,DT,O
1,CD,O
kanwar,NN,O
singh,NN,O
had,VBD,O
misbehaved,VBN,O
by,IN,O
abusing,VBG,O
deceased,VBN,O
hari,NN,O
om,NN,O
therefore,RB,O
deceased,VBD,O
hari,JJ,O
om,NN,O
had,VBD,O
decided,VBN,O
to,TO,O
lodge,VB,O
a,DT,O
police,NN,O
complaint,NN,O
on,IN,O
the,DT,O
next,JJ,O
day,NN,O
ie,VBD,O
1631986,CD,O
with,IN,O
the,DT,O
said,VBD,O
intention,NN,O
it,PRP,O
is,VBZ,O
stated,VBN,O
that,IN,O
the,DT,O
deceased,JJ,O
hari,NN,O
om,NN,O
with,IN,O
pw,JJ,O
3,CD,O
raj,NN,O
bala,NN,O
and,CC,O
pw,NN,O
7,CD,O
gayatri,NN,O
on,IN,O
that,DT,O
day,NN,O
proceeded,VBD,O
towards,IN,O
the,DT,O
police,NN,O
station,NN,O
at,IN,O
about,IN,O
9,CD,O
am,VBP,O
and,CC,O
on,IN,O
the,DT,O
way,NN,O
the,DT,O
four,CD,O
accused,VBD,O
persons,NNS,O
who,WP,O
were,VBD,O
hiding,VBG,O
in,IN,O
a,DT,O
nullah,NN,O
waylaid,VBD,O
the,DT,O
deceased,JJ,O
hari,NN,O
om,NN,O
and,CC,O
a,DT,O
1,CD,O
shot,NN,O
at,IN,O
him,PRP,O
first,RB,O
with,IN,O
a,DT,O
countrymade,NN,O
pistol,NN,O
but,CC,O
the,DT,O
same,JJ,O
did,VBD,O
not,RB,O
fire,VB,O
thereafter,JJR,O
it,PRP,O
is,VBZ,O
stated,VBN,O
that,IN,O
the,DT,O
appellant,JJ,O
shot,NN,O
with,IN,O
a,DT,O
single,JJ,O
barrel,NN,O
gun,NN,O
at,IN,O
the,DT,O
deceased,VBN,O
in,IN,O
the,DT,O
chest,NN,O
and,CC,O
hari,NN,O
om,RB,O
died,VBD,O
because,IN,O
of,IN,O
the,DT,O
said,VBD,O
shot,NN,O
the,DT,O
incident,NN,O
as,IN,O
stated,VBN,O
above,IN,O
was,VBD,O
witnessed,VBN,O
by,IN,O
pws,NN,O
3,CD,O
and,CC,O
7,CD,O
it,PRP,O
is,VBZ,O
the,DT,O
further,JJ,O
case,NN,O
of,IN,O
the,DT,O
prosecution,NN,O
that,IN,O
the,DT,O
accused,JJ,O
persons,NNS,O
after,IN,O
killing,VBG,O
hari,JJ,O
om,NN,O
threatened,VBD,O
pws3,NN,O
and,CC,O
7,CD,O
that,IN,O
if,IN,O
they,PRP,O
named,VBD,O
them,PRP,O
they,PRP,O
would,MD,O
eliminate,VB,O
their,PRP$,O
entire,JJ,O
family,NN,O
and,CC,O
fled,VBD,O
from,IN,O
the,DT,O
place,NN,O
of,IN,O
the,DT,O
incident,NN,O
the,DT,O
further,JJ,O
case,NN,O
of,IN,O
the,DT,O
prosecution,NN,O
is,VBZ,O
that,IN,O
on,IN,O
hearing,VBG,O
about,IN,O
the,DT,O
incident,NN,O
pw,NN,O
6,CD,O
the,DT,O
brother,NN,O
of,IN,O
pw,NN,O
3,CD,O
came,VBD,O
to,TO,O
the,DT,O
spot,NN,O
on,IN,O
his,PRP$,O
coming,VBG,O
pws3,NN,O
and,CC,O
7,CD,O
left,VBD,O
him,PRP,O
at,IN,O
the,DT,O
spot,NN,O
and,CC,O
proceeded,VBD,O
to,TO,O
the,DT,O
police,NN,O
station,NN,O
to,TO,O
lodge,VB,O
a,DT,O
complaint,NN,O
which,WDT,O
was,VBD,O
done,VBN,O
around,IN,O
1015,CD,O
am,VBP,O
at,IN,O
the,DT,O
police,NN,O
station,NN,O
which,WDT,O
is,VBZ,O
stated,VBN,O
to,TO,O
be,VB,O
only,RB,O
3,CD,O
kms,NNS,O
away,RB,O
from,IN,O
the,DT,O
scene,NN,O
of,IN,O
the,DT,O
occurrence,NN,O
the,DT,O
complaint,NN,O
in,IN,O
question,NN,O
