rk,NN,O
agrawal,NN,O
j,NN,O
civil,JJ,O
appeal,NN,O
nos,NNS,O
3518,CD,O
3520,CD,O
1,CD,O
these,DT,O
appeals,NNS,O
are,VBP,O
directed,VBN,O
against,IN,O
the,DT,O
common,JJ,O
final,JJ,B-LEGAL
judgment,NN,I-LEGAL
and,CC,O
order,NN,O
dated,VBD,O
23052006,CD,O
passed,VBN,O
by,IN,O
the,DT,O
division,NN,O
bench,NN,O
of,IN,O
the,DT,O
high,JJ,O
court,NN,O
of,IN,O
kerala,NN,O
at,IN,O
ernakulam,NN,O
in,IN,O
writ,JJ,O
appeal,NN,O
nos,NNS,O
2011,CD,O
2012,CD,O
and,CC,O
2235,CD,O
of,IN,O
2005,CD,O
whereby,IN,O
the,DT,O
high,JJ,O
court,NN,O
dismissed,VBD,O
the,DT,O
appeals,NNS,O
filed,VBN,O
by,IN,O
the,DT,O
appellants,NNS,O
herein,NN,O
against,IN,O
the,DT,O
judgment,NN,O
and,CC,O
order,NN,O
dated,VBD,O
27072005,CD,O
passed,VBN,O
by,IN,O
learned,VBN,O
single,JJ,O
judge,NN,O
of,IN,O
the,DT,O
high,JJ,O
court,NN,O
in,IN,O
writ,JJ,O
petition,NN,O
c,VBD,O
nos,RB,O
14495,CD,O
16063,CD,O
and,CC,O
19582,CD,O
of,IN,O
2005,CD,O
2,CD,O
brief,JJ,O
facts,VBZ,O
a,DT,O
the,DT,O
state,NN,O
of,IN,O
kerala,NN,O
by,IN,O
notification,NN,O
dated,VBD,O
13012005,CD,O
issued,VBN,O
in,IN,O
exercise,NN,O
of,IN,O
the,DT,O
power,NN,O
conferred,VBN,O
by,IN,O
section,NN,O
5,CD,O
of,IN,O
the,DT,O
lotteries,NNS,O
regulation,NN,B-LEGAL
act,NN,O
1998,CD,O
in,IN,O
short,JJ,O
the,DT,O
act,NN,O
prohibited,VBD,O
the,DT,O
sale,NN,O
of,IN,O
all,DT,O
computerized,VBN,O
and,CC,O
online,JJ,O
lottery,NN,O
tickets,NNS,O
marketed,VBD,O
and,CC,O
operated,VBD,O
through,IN,O
vending,VBG,O
machines,NNS,O
terminals,NNS,O
electronic,JJ,O
machines,NNS,O
and,CC,O
tickets,NNS,O
sold,VBN,O
through,IN,O
internet,NN,O
in,IN,O
the,DT,O
state,NN,O
with,IN,O
immediate,JJ,O
effect,NN,O
and,CC,O
declared,VBD,O
that,IN,O
kerala,VB,O
shall,MD,O
be,VB,O
a,DT,O
free,JJ,O
zone,NN,O
from,IN,O
online,NN,O
and,CC,O
internet,NN,O
