ruma,NN,O
pal,JJ,O
j,NN,O
1,CD,O
i,NN,O
regret,VBP,O
my,PRP$,O
inability,NN,O
to,TO,O
concur,VB,O
with,IN,O
the,DT,O
conclusion,NN,O
reached,VBN,O
by,IN,O
my,PRP$,O
learned,JJ,O
brother,NN,O
pattanaik,NN,O
j,NN,O
that,IN,O
because,IN,O
of,IN,O
the,DT,O
enactment,NN,O
of,IN,O
the,DT,O
tobacco,NNP,O
board,NN,O
act,NN,O
1975,CD,O
by,IN,O
parliament,NN,B-LEGAL
the,DT,O
state,NN,O
act,NN,O
viz,IN,O
the,DT,O
bihar,JJ,O
agricultural,JJ,O
produce,NN,O
markets,NNS,O
act,JJ,O
1960,CD,O
in,IN,O
so,RB,O
far,RB,O
as,IN,O
it,PRP,O
relates,VBZ,O
to,TO,O
levy,VB,O
of,IN,O
fee,NN,O
on,IN,O
the,DT,O
sale,NN,O
and,CC,O
purchase,NN,O
of,IN,O
tobacco,NN,O
is,VBZ,O
invalid,JJ,O
2,CD,O
that,IN,O
the,DT,O
legislative,JJ,B-LEGAL
power,NN,I-LEGAL
of,IN,O
parliament,NN,B-LEGAL
in,IN,O
certain,JJ,O
areas,NNS,O
is,VBZ,O
para,JJ,O
mount,NN,O
under,IN,O
the,DT,O
constitution,NN,O
is,VBZ,O
not,RB,O
in,IN,O
dispute,NN,O
what,WP,O
is,VBZ,O
in,IN,O
dispute,NN,O
is,VBZ,O
the,DT,O
limits,NNS,O
of,IN,O
those,DT,O
areas,NNS,O
as,IN,O
judicially,RB,O
defined,VBN,O
broadly,RB,O
speaking,VBG,O
parliamentary,JJ,O
paramountcy,NN,O
is,VBZ,O
provided,VBN,O
for,IN,O
under,IN,O
articles,NNS,O
246,CD,O
and,CC,O
254,CD,O
of,IN,O
the,DT,O
constitution,NN,O
the,DT,O
first,JJ,O
three,CD,O
clauses,NNS,O
of,IN,O
article,NN,O
246,CD,O
of,IN,O
the,DT,O
constitution,NN,O
relate,NN,O
to,TO,O
the,DT,O
demarcation,NN,O
of,IN,O
legislative,JJ,O
powers,NNS,O
between,IN,O
the,DT,O
parliament,NN,B-LEGAL
and,CC,O
the,DT,O
state,NN,O
legislatures,NNS,O
under,IN,O
clause,NN,O
1,CD,O
notwithstanding,VBG,O
anything,NN,O
contained,VBN,O
in,IN,O
clauses,NNS,O
2,CD,O
and,CC,O
3,CD,O
parliament,NN,B-LEGAL
has,VBZ,O
been,VBN,O
given,VBN,O
the,DT,O
exclusive,JJ,O
power,NN,O
to,TO,O
make,VB,O
laws,NNS,O
with,IN,O
respect,NN,O
to,TO,O
any,DT,O
of,IN,O
the,DT,O
matters,NNS,O
enumerated,VBN,O
in,IN,O
list,NN,O
i,NN,O
or,CC,O
the,DT,O
union,NN,B-LEGAL
list,NN,I-LEGAL
in,IN,O
the,DT,O
seventh,JJ,B-LEGAL
schedule,NN,I-LEGAL
clause,NN,O
2,CD,O
empowers,NNS,O
the,DT,O
parliament,NN,B-LEGAL
and,CC,O
state,NN,O
legislatures,NNS,O
subject,VBP,O
to,TO,O
the,DT,O
power,NN,B-LEGAL
of,IN,I-LEGAL
parliament,NN,I-LEGAL
under,IN,O
sub,NN,O
clause,NN,O
1,CD,O
to,TO,O
make,VB,O
laws,NNS,O
with,IN,O
respect,NN,O
to,TO,O
any,DT,O
of,IN,O
the,DT,O
matters,NNS,O
enumerated,VBN,O
in,IN,O
list,NN,O
iii,NN,O
in,IN,O
the,DT,O
seventh,JJ,B-LEGAL
schedule,NN,I-LEGAL
described,VBN,O
in,IN,O
the,DT,O
constitution,NN,O
as,IN,O
the,DT,O
concurrent,JJ,B-LEGAL
list,NN,I-LEGAL
notwithstanding,VBG,O
anything,NN,O
contained,VBN,O
in,IN,O
sub,NN,O
clause,NN,O
3,CD,O
under,IN,O
clause,NN,O
3,CD,O
the,DT,O
state,NN,O
legislatures,NNS,O
have,VBP,O
been,VBN,O
given,VBN,O
exclusive,JJ,O
powers,NNS,O
to,TO,O
make,VB,O
laws,NNS,O
in,IN,O
respect,NN,O
of,IN,O
matters,NNS,O
enumerated,VBN,O
in,IN,O
list,NN,O
ii,NN,O
in,IN,O
the,DT,O
seventh,JJ,B-LEGAL
schedule,NN,I-LEGAL
described,VBD,O
as,IN,O
the,DT,O
state,NN,B-LEGAL
list,NN,I-LEGAL
but,CC,O
subject,JJ,O
to,TO,O
clauses,VB,O
1,CD,O
and,CC,O
2,CD,O
the,DT,O
three,CD,O
lists,NNS,O
while,IN,O
enumerating,VBG,O
in,IN,O
detail,NN,O
the,DT,O
legislative,JJ,O
subjects,NNS,O
carefully,RB,O
distribute,VBP,O
the,DT,O
areas,NNS,O
of,IN,O
legislative,JJ,O
authority,NN,O
between,IN,O
parliament,JJ,B-LEGAL
list,NN,O
i,NN,O
and,CC,O
the,DT,O
state,NN,B-LEGAL
list,NN,I-LEGAL
ii,VBP,O
the,DT,O
supremacy,NN,O
of,IN,O
parliament,NN,B-LEGAL
has,VBZ,O
been,VBN,O
provided,VBN,O
for,IN,O
by,IN,O
the,DT,O
non,JJ,O
obstante,NN,O
clause,NN,O
in,IN,O
article,NN,O
2461,CD,O
and,CC,O
the,DT,O
words,NNS,O
subject,VBP,O
to,TO,O
in,IN,O
article,NN,O
2462,CD,O
and,CC,O
3,CD,O
therefore,NN,O
under,IN,O
article,NN,O
2461,CD,O
if,IN,O
any,DT,O
of,IN,O
the,DT,O
entries,NNS,O
in,IN,O
the,DT,O
three,CD,O
lists,NNS,O
overlap,VBP,O
the,DT,O
entry,NN,O
in,IN,O
list,NN,O
i,NN,O
will,MD,O
prevail,VB,O
additionally,RB,O
some,DT,O
of,IN,O
the,DT,O
entries,NNS,O
in,IN,O
the,DT,O
state,NN,B-LEGAL
list,NN,I-LEGAL
have,VBP,O
been,VBN,O
made,VBN,O
expressly,RB,O
subject,JJ,O
to,TO,O
the,DT,O
power,NN,B-LEGAL
of,IN,I-LEGAL
parliament,NN,I-LEGAL
to,TO,O
legislate,VB,O
either,DT,O
under,IN,O
list,NN,O
i,NN,O
or,CC,O
under,IN,O
list,NN,O
iii,NN,O
entries,NNS,O
in,IN,O
the,DT,O
lists,NNS,O
of,IN,O
the,DT,O
seventh,JJ,B-LEGAL
schedule,NN,I-LEGAL
have,VBP,O
been,VBN,O
liberally,RB,O
interpreted,JJ,O
nevertheless,RB,O
courts,NNS,O
have,VBP,O
been,VBN,O
wary,JJ,O
of,IN,O
upsetting,VBG,O
this,DT,O
balance,NN,O
by,IN,O
a,DT,O
process,NN,O
of,IN,O
interpretation,NN,B-LEGAL
so,RB,O
as,IN,O
to,TO,O
deprive,VB,O
any,DT,O
entry,NN,O
of,IN,O
its,PRP$,O
content,NN,O
and,CC,O
reduce,VB,O
it,PRP,O
to,TO,O
useless,JJ,O
lumber,VB,O
the,DT,O
use,NN,O
of,IN,O
the,DT,O
word,NN,O
exclusive,JJ,O
in,IN,O
clause,NN,O
3,CD,O
denotes,NNS,O
that,IN,O
within,IN,O
the,DT,O
legislative,JJ,O
fields,NNS,O
contained,VBN,O
in,IN,O
list,NN,O
ii,VBP,O
the,DT,O
state,NN,O
legislatures,NNS,O
exercise,VBP,O
authority,NN,O
as,IN,O
plenary,JJ,O
and,CC,O
ample,JJ,O
as,IN,O
parliament,NN,B-LEGAL
the,DT,O
fact,NN,O
that,WDT,O
under,IN,O
the,DT,O
scheme,NN,O
of,IN,O
our,PRP$,O
constitution,NN,O
greater,JJR,O
power,NN,O
is,VBZ,O
conferred,VBN,O
upon,IN,O
the,DT,O
center,NN,O
vis,FW,O
a,DT,O
vis,FW,O
the,DT,O
states,NNS,O
does,VBZ,O
not,RB,O
mean,VB,O
that,IN,O
states,NNS,O
are,VBP,O
mere,JJ,O
appendages,NNS,O
of,IN,O
the,DT,O
center,NN,O
within,IN,O
the,DT,O
sphere,RB,O
allotted,VBN,O
to,TO,O
them,PRP,O
states,NNS,O
are,VBP,O
supreme,JJ,O
the,DT,O
center,NN,O
cannot,MD,O
tamper,RB,O
with,VB,O
their,IN,O
powers,PRP$,O
more,NNS,O
particularly,RBR,O
the,RB,O
courts,DT,O
should,NNS,O
not,MD,O
adopt,RB,O
an,VB,O
approach,DT,O
an,NN,O
interpretation,DT,B-LEGAL
which,NN,O
has,WDT,O
the,VBZ,O
effect,DT,O
of,NN,O
or,IN,O
tends,CC,O
to,NNS,O
have,TO,O
the,VB,O
effect,DT,O
of,NN,O
whittling,IN,O
down,VBG,O
the,RP,O
powers,DT,O
reserved,NNS,O
to,VBD,O
the,TO,O
states,DT,O
3,NNS,O
although,CD,O
parliament,IN,B-LEGAL
cannot,NN,O
legislate,MD,O
on,RB,O
any,VB,O
of,IN,O
the,DT,O
entries,IN,O
in,DT,O
the,NNS,O
state,IN,B-LEGAL
list,DT,I-LEGAL
it,NN,O
may,NN,O
do,PRP,O
