gp,NN,O
mathur,NN,O
j,NN,O
1,CD,O
these,DT,O
appeals,NNS,O
are,VBP,O
directed,VBN,O
against,IN,O
the,DT,O
judgment,NN,O
and,CC,O
order,NN,O
dated,VBD,O
1842000,CD,O
of,IN,O
a,DT,O
division,NN,O
bench,NN,O
of,IN,O
patna,JJ,O
high,JJ,O
court,NN,O
by,IN,O
which,WDT,O
the,DT,O
writ,NN,O
petition,NN,O
preferred,VBN,O
by,IN,O
m,NN,O
s,NN,O
jmd,NN,O
alloys,VBZ,O
ltd,NN,O
was,VBD,O
partly,RB,O
allowed,VBN,O
and,CC,O
the,DT,O
bihar,NN,O
state,NN,B-LEGAL
electricity,NN,I-LEGAL
board,NN,I-LEGAL
was,VBD,O
directed,VBN,O
to,TO,O
serve,VB,O
a,DT,O
fresh,JJ,O
bill,NN,B-LEGAL
as,IN,O
per,IN,O
the,DT,O
observations,NNS,O
made,VBN,O
in,IN,O
the,DT,O
judgment,NN,O
and,CC,O
to,TO,O
restore,VB,O
the,DT,O
electricity,NN,O
connection,NN,O
within,IN,O
two,CD,O
days,NNS,O
of,IN,O
the,DT,O
payment,NN,O
of,IN,O
the,DT,O
said,VBD,O
bill,NN,B-LEGAL
2,CD,O
m,NN,O
s,NN,O
jmd,NN,O
alloys,VBZ,O
ltd,JJ,O
hereinafter,NN,O
referred,VBD,O
to,TO,O
as,IN,O
the,DT,O
petitioner,NN,O
has,VBZ,O
a,DT,O
high,JJ,O
tension,NN,O
industrial,JJ,O
connection,NN,O
of,IN,O
electricity,NN,O
for,IN,O
running,VBG,O
induction,NN,O
furnaces,NNS,O
for,IN,O
manufacturing,VBG,O
steel,NN,O
ingots,NNS,O
the,DT,O
officials,NNS,O
of,IN,O
the,DT,O
bihar,NN,O
state,NN,B-LEGAL
electricity,NN,I-LEGAL
board,NN,I-LEGAL
hereinafter,NN,O
referred,VBD,O
to,TO,O
as,IN,O
the,DT,O
electricity,NN,B-LEGAL
board,NN,I-LEGAL
inspected,VBD,O
the,DT,O
petitioner,NN,O
s,JJ,O
factory,NN,O
premises,NNS,O
on,IN,O
26th,CD,O
and,CC,O
27th,CD,O
august,NN,O
1999,CD,O
and,CC,O
found,VBD,O
that,IN,O
the,DT,O
seal,NN,O
fixed,VBN,O
on,IN,O
ct,NN,O
pt,NN,O
box,NN,O
was,VBD,O
tampered,VBN,O
an,DT,O
fir,NN,O
was,VBD,O
lodged,VBN,O
at,IN,O
the,DT,O
concerned,JJ,O
police,NN,O
station,NN,O
on,IN,O
2781999,CD,O
alleging,VBG,O
that,IN,O
the,DT,O
petitioner,NN,O
had,VBD,O
committed,VBN,O
theft,NN,O
of,IN,O
696,CD,O
lakh,JJ,O
units,NNS,O
and,CC,O
had,VBD,O
thereby,NNS,O
caused,VBD,O
a,DT,O
loss,NN,O
of,IN,O
rs,JJ,O
258,CD,O
crores,NNS,O
to,TO,O
the,DT,O
electricity,NN,B-LEGAL
board,NN,I-LEGAL
the,DT,O
electricity,NN,B-LEGAL
board,NN,I-LEGAL
thereafter,RB,O
issued,VBD,O
a,DT,O
bill,NN,B-LEGAL
dated,VBD,O
3181999,CD,O
for,IN,O
rs,NN,O
8,CD,O
85,CD,O
77,CD,O
131,CD,O
this,DT,O
bill,NN,B-LEGAL
was,VBD,O
challenged,VBN,O
by,IN,O
the,DT,O
petitioner,NN,O
by,IN,O
filing,VBG,O
cwjc,NN,O
no,DT,O
8939,CD,O
of,IN,O
1999,CD,O
before,IN,O
the,DT,O
high,JJ,O
court,NN,O
the,DT,O
learned,VBN,O
single,JJ,O
judge,NN,O
who,WP,O
heard,VBD,O
the,DT,O
writ,NN,O
petition,NN,O
vide,IN,O
his,PRP$,O
judgment,NN,O
order,NN,O
dated,VBD,O
2791999,CD,O
directed,VBD,O
that,IN,O
a,DT,O
show,NN,O
cause,NN,O
notice,NN,O
in,IN,O
the,DT,O
light,NN,O
of,IN,O
the,DT,O
observations,NNS,O
made,VBN,O
in,IN,O
the,DT,O
judgment,NN,O
be,VB,O
given,VBN,O
to,TO,O
the,DT,O
petitioner,NN,O
within,IN,O
a,DT,O
week,NN,O
and,CC,O
it,PRP,O
will,MD,O
be,VB,O
open,JJ,O
to,TO,O
the,DT,O
petitioner,NN,O
to,TO,O
raise,VB,O
all,DT,O
its,PRP$,O
defences,NNS,O
against,IN,O
the,DT,O
charge,NN,B-LEGAL
of,IN,O
committing,VBG,O
theft,NN,O
of,IN,O
electrical,JJ,B-LEGAL
energy,NN,I-LEGAL
and,CC,O
or,CC,O
drawing,VBG,O
electrical,JJ,B-LEGAL
energy,NN,I-LEGAL
at,IN,O
a,DT,O
load,NN,O
higher,JJR,O
than,IN,O
its,PRP$,O
contracted,JJ,O
demand,NN,O
it,PRP,O
was,VBD,O
further,RBR,O
directed,VBD,O
that,IN,O
the,DT,O
show,NN,O
notice,JJ,O
shall,MD,O
be,VB,O
given,VBN,O
by,IN,O
the,DT,O
general,JJ,O
manager,NN,O
cum,NN,O
chief,NN,O
engineer,JJ,O
central,JJ,O
bihar,NNS,O
area,NN,O
electricity,NN,B-LEGAL
board,NN,I-LEGAL
patna,NN,O
or,CC,O
by,IN,O
any,DT,O
other,JJ,O
officer,NN,O
of,IN,O
the,DT,O
electricity,NNP,B-LEGAL
board,NN,I-LEGAL
of,IN,O
equal,JJ,O
or,CC,O
higher,JJR,O
rank,NN,O
and,CC,O
he,PRP,O
shall,MD,O
pass,VB,O
final,JJ,O
order,NN,O
after,IN,O
giving,VBG,O
an,DT,O
opportunity,NN,O
of,IN,O
hearing,VBG,O
to,TO,O
the,DT,O
petitioner,NN,O
the,DT,O
liability,NN,O
of,IN,O
the,DT,O
petitioner,NN,O
was,VBD,O
to,TO,O
be,VB,O
determined,VBN,O
afresh,JJ,O
on,IN,O
the,DT,O
basis,NN,O
of,IN,O
the,DT,O
final,JJ,O
order,NN,O
passed,VBN,O
by,IN,O
the,DT,O
chief,JJ,O
engineer,NN,O
3,CD,O
the,DT,O
chief,NN,O
engineer,NN,O
transmission,NN,O
bihar,NN,O
state,NN,B-LEGAL
electricity,NN,I-LEGAL
board,NN,I-LEGAL
thereafter,RB,O
issued,VBD,O
a,DT,O
notice,NN,O
dated,VBD,O
13101999,CD,O
to,TO,O
which,WDT,O
a,DT,O
reply,NN,O
was,VBD,O
given,VBN,O
by,IN,O
the,DT,O
petitioner,NN,O
on,IN,O
20101999,CD,O
after,IN,O
affording,VBG,O
an,DT,O
opportunity,NN,O
of,IN,O
personal,JJ,O
hearing,NN,O
and,CC,O
considering,VBG,O
the,DT,O
reply,NN,O
the,DT,O
chief,JJ,O
engineer,NN,O
passed,VBD,O
an,DT,O
order,NN,O
on,IN,O
27101999,CD,O
holding,VBG,O
that,IN,O
clause,NN,O
169,CD,O
b,NN,O
and,CC,O
c,NN,O
of,IN,O
tariff,NN,O
is,VBZ,O
attracted,VBN,O
and,CC,O
the,DT,O
consumer,NN,B-LEGAL
m,NN,O
s,NN,O
jmd,NN,O
alloys,VBZ,O
ltd,NN,O
is,VBZ,O
liable,JJ,O
to,TO,O
pay,VB,O
compensatory,JJ,O
bill,NN,B-LEGAL
in,IN,O
terms,NNS,O
of,IN,O
the,DT,O
aforesaid,NN,O
clause,NN,O
of,IN,O
the,DT,O
tariff,NN,O
in,IN,O
accordance,NN,O
with,IN,O
the,DT,O
decision,NN,O
of,IN,O
the,DT,O
chief,JJ,O
engineer,NN,O
a,DT,O
fresh,JJ,O
bill,NN,B-LEGAL
dated,VBD,O
29101999,CD,O
for,IN,O
rs,NN,O
7,CD,O
