kurian,JJ,O
joseph,NN,O
j,NN,O
1,CD,O
on,IN,O
17082016,CD,O
it,PRP,O
was,VBD,O
recorded,VBN,O
on,IN,O
the,DT,O
submission,NN,O
of,IN,O
the,DT,O
learned,JJ,O
counsel,NN,O
for,IN,O
the,DT,O
appellant,NN,O
that,IN,O
the,DT,O
state,NN,O
commission,NN,O
had,VBD,O
not,RB,O
taken,VBN,O
up,RP,O
the,DT,O
true,JJ,O
up,RP,O
issue,NN,O
for,IN,O
the,DT,O
last,JJ,O
more,JJR,O
than,IN,O
eight,CD,O
years,NNS,O
therefore,RB,O
a,DT,O
limited,JJ,O
notice,NN,O
on,IN,O
the,DT,O
above,JJ,O
submission,NN,O
was,VBD,O
issued,VBN,O
2,CD,O
the,DT,O
learned,JJ,O
counsel,NN,O
for,IN,O
the,DT,O
commission,NN,O
submits,VBZ,O
that,IN,O
the,DT,O
true,JJ,O
up,RP,O
issue,NN,O
has,VBZ,O
not,RB,O
been,VBN,O
taken,VBN,O
up,RP,O
by,IN,O
the,DT,O
commission,NN,O
on,IN,O
account,NN,O
of,IN,O
pendency,NN,O
of,IN,O
civil,JJ,B-LEGAL
appeal,NN,I-LEGAL
no,DT,O
4881,CD,O
of,IN,O
2010,CD,O
it,PRP,O
is,VBZ,O
not,RB,O
in,IN,O
dispute,NN,O
that,IN,O
there,EX,O
is,VBZ,O
no,DT,O
stay,NN,O
on,IN,O
the,DT,O
true,JJ,O
up,RP,O
issue,NN,O
in,IN,O
the,DT,O
said,VBD,O
ca,MD,O
no,DT,O
4881,CD,O
of,IN,O
2010,CD,O
3,CD,O
however,RB,O
the,DT,O
learned,JJ,O
counsel,NN,O
for,IN,O
the,DT,O
commission,NN,O
submits,VBZ,O
that,IN,O
in,IN,O
case,NN,O
the,DT,O
said,VBD,O
civil,JJ,B-LEGAL
appeal,NN,I-LEGAL
is,VBZ,O
allowed,VBN,O
it,PRP,O
may,MD,O
have,VB,O
some,DT,O
impact,NN,O
on,IN,O
the,DT,O
true,JJ,O
up,RP,O
issue,NN,O
in,IN,O
later,JJ,O
years,NNS,O
we,PRP,O
do,VBP,O
not,RB,O
find,VB,O
any,DT,O
justification,NN,O
for,IN,O
the,DT,O
above,JJ,O
apprehension,NN,O
the,DT,O
commission,NN,O
should,MD,O
take,VB,O
up,RP,O
the,DT,O
true,JJ,O
up,RP,O
issue,NN,O
and,CC,O
decide,VB,O
it,PRP,O
making,VBG,O
the,DT,O
decision,NN,O
subject,NN,O
to,TO,O
the,DT,O
result,NN,O
of,IN,O
civil,JJ,B-LEGAL
appeal,NN,I-LEGAL
no,DT,O
4881,CD,O
of,IN,O
2010,CD,O
4,CD,O
therefore,IN,O
this,DT,O
appeal,NN,O
is,VBZ,O
disposed,VBN,O
of,IN,O
with,IN,O
a,DT,O
direction,NN,O
to,TO,O
respondent,VB,O
no,DT,O
1,CD,O
jharkhand,NN,O
state,NN,O
electricity,NN,O
regulatory,JJ,O
commission,NN,O
to,TO,O
take,VB,O
up,RP,O
the,DT,O
true,JJ,O
up,RP,O
issue,NN,O
and,CC,O
pass,VB,O
the,DT,O
required,JJ,O
orders,NNS,O
within,IN,O
a,DT,O
period,NN,O
of,IN,O
six,CD,O
months,NNS,O
from,IN,O
today,NN,O
5,CD,O
however,RB,O
the,DT,O
commission,NN,O
is,VBZ,O
free,JJ,O
to,TO,O
make,VB,O
the,DT,O
decision,NN,O
subject,NN,O
to,TO,O
the,DT,O
result,NN,O
of,IN,O
civil,JJ,B-LEGAL
appeal,NN,I-LEGAL
no,DT,O
4881,CD,O
of,IN,O
2010,CD,O
in,IN,O
case,NN,O
the,DT,O
said,VBD,O
civil,JJ,B-LEGAL
appeal,NN,I-LEGAL
is,VBZ,O
not,RB,O
disposed,VBN,O
of,IN,O
before,IN,O
the,DT,O
said,VBD,O
period,NN,O
no,DT,O
costs,NNS,O
