ashok,NN,O
bhan,NN,O
j,VBZ,O
1,CD,O
it,PRP,O
is,VBZ,O
regrettable,JJ,O
that,IN,O
in,IN,O
spite,NN,O
of,IN,O
being,VBG,O
cautioned,VBN,O
four,CD,O
times,NNS,O
by,IN,O
this,DT,O
court,NN,O
not,RB,O
to,TO,O
challenge,VB,O
election,NN,O
of,IN,O
the,DT,O
president,NN,O
of,IN,O
india,NN,O
in,IN,O
a,DT,O
cavalier,NN,O
and,CC,O
light,NN,O
hearted,VBD,O
manner,PDT,O
the,DT,O
petitioner,NN,O
who,WP,O
is,VBZ,O
an,DT,O
advocate,NN,O
has,VBZ,O
filed,VBN,O
the,DT,O
present,JJ,O
election,NN,O
petition,NN,O
challenging,VBG,O
the,DT,O
election,NN,O
of,IN,O
dr,NN,O
apj,NN,O
abdul,NN,O
kalam,FW,O
respondent,NN,O
no,RB,O
1,CD,O
as,IN,O
president,NN,O
of,IN,O
india,NN,O
on,IN,O
the,DT,O
same,JJ,O
similar,JJ,O
grounds,NNS,O
of,IN,O
challenge,NN,O
which,WDT,O
stand,VBP,O
concluded,VBN,O
against,IN,O
him,PRP,O
in,IN,O
petitioner,NN,O
s,NNS,O
own,JJ,O
cases,NNS,O
by,IN,O
several,JJ,O
decisions,NNS,O
of,IN,O
this,DT,O
court,NN,O
our,PRP$,O
regret,NN,O
is,VBZ,O
compounded,VBN,O
by,IN,O
the,DT,O
fact,NN,O
that,IN,O
petitioner,NN,O
is,VBZ,O
an,DT,O
advocate,NN,O
he,PRP,O
does,VBZ,O
we,PRP,O
presume,VB,O
know,VBP,O
the,DT,O
value,NN,O
of,IN,O
earlier,JJR,O
binding,NN,O
precedents,NNS,O
declaring,VBG,O
the,DT,O
law,NN,O
by,IN,O
the,DT,O
highest,JJS,O
court,NN,O
of,IN,O
the,DT,O
land,NN,O
2,CD,O
this,DT,O
judgment,NN,O
shall,MD,O
dispose,VB,O
of,IN,O
election,NN,O
petition,NN,O
no,DT,O
1,CD,O
of,IN,O
2002,CD,O
and,CC,O
special,JJ,O
leave,JJ,O
petition,NN,O
no,DT,O
22385,CD,O
of,IN,O
2002,CD,O
the,DT,O
facts,NNS,O
are,VBP,O
being,VBG,O
stated,VBN,O
from,IN,O
the,DT,O
election,NN,O
petition,NN,O
which,WDT,O
covers,NNS,O
and,CC,O
takes,VBZ,O
care,NN,O
of,IN,O
the,DT,O
points,NNS,O
raised,VBN,O
in,IN,O
the,DT,O
special,JJ,O
leave,JJ,O
petition,NN,O
as,RB,O
well,RB,O
3,CD,O
petitioner,NN,O
has,VBZ,O
challenged,VBN,O
the,DT,O
election,NN,O
of,IN,O
respondent,NN,O
no,DT,O
1,CD,O
of,IN,O
the,DT,O
office,NN,O
of,IN,O
the,DT,O
president,NN,O
of,IN,O
india,NN,O
which,WDT,O
was,VBD,O
held,VBN,O
in,IN,O
pursuance,NN,O
to,TO,O
the,DT,O
notification,NN,O
dated,VBD,O
11th,CD,O
june,NN,O
2002,CD,O
published,VBN,O
by,IN,O
the,DT,O
returning,VBG,B-LEGAL
officer,NN,I-LEGAL
shri,NN,O
rc,NN,O
tripathi,NN,O
secretary,NN,O
general,JJ,O
rajya,NN,O
sabha,VBD,O
the,DT,O
said,VBD,O
election,NN,O
was,VBD,O
conducted,VBN,O
under,IN,O
the,DT,O
provisions,NNS,O
of,IN,O
presidential,JJ,O
and,CC,O
vice,NN,O
presidential,JJ,O
elections,NNS,O
act,NN,O
1952,CD,O
hereinafter,NN,O
referred,VBD,O
to,TO,O
as,IN,O
the,DT,O
act,NN,O
and,CC,O
the,DT,O
presidential,JJ,O
and,CC,O
vice,NN,O
presidential,JJ,O
election,NN,O
rules,NNS,O
1974,CD,O
hereinafter,NN,O
referred,VBD,O
to,TO,O
as,IN,O
the,DT,O
rules,NNS,O
4,CD,O
in,IN,O
all,DT,O
54,CD,O
nomination,NN,B-LEGAL
papers,NNS,O
were,VBD,O
filed,VBN,O
within,IN,O
the,DT,O
time,NN,O
prescribed,JJ,O
respondent,NN,O
no,DT,O
1,CD,O
was,VBD,O
nominated,VBN,O
by,IN,O
the,DT,O
ruling,VBG,O
national,JJ,O
democratic,JJ,O
alliance,NN,O
and,CC,O
its,PRP$,O
allies,NNS,O
and,CC,O
the,DT,O
main,JJ,O
opposition,NN,O
party,NN,O
ie,VBP,O
the,DT,O
indian,JJ,O
national,JJ,O
congressi,NN,O
and,CC,O
its,PRP$,O
allies,NNS,O
whereas,VBP,O
captain,VBP,O
lakshmi,JJ,O
sehgal,JJ,O
respondent,NN,O
no,DT,O
2,CD,O
was,VBD,O
sponsored,VBN,O
and,CC,O
nominated,VBN,O
by,IN,O
cmm,NN,O
and,CC,O
its,PRP$,O
allied,JJ,O
parties,NNS,O
5,CD,O
scrutiny,NN,O
of,IN,O
the,DT,O
nomination,NN,B-LEGAL
papers,NNS,O
in,IN,O
connection,NN,O
with,IN,O
the,DT,O
presidential,JJ,O
election,NN,O
2002,CD,O
was,VBD,O
conducted,VBN,O
on,IN,O
26th,CD,O
of,IN,O
june,NN,O
2002,CD,O
by,IN,O
the,DT,O
returning,VBG,B-LEGAL
officer,NN,I-LEGAL
nomination,NN,B-LEGAL
papers,NNS,O
of,IN,O
all,DT,O
candidates,NNS,O
other,JJ,O
than,IN,O
respondent,JJ,O
no,DT,O
1,CD,O
2,CD,O
were,VBD,O
rejected,VBN,O
nomination,JJ,B-LEGAL
paper,NN,I-LEGAL
