1,CD,O
the,JJ,O
appellant,NN,O
which,NN,O
is,NN,O
government,VBZ,O
of,DT,O
assam,NN,O
undertaking,NN,B-LEGAL
is,NN,O
engaged,NN,O
in,VBZ,O
the,DT,O
manufacturing,JJ,O
of,NN,O
formalim,NNP,O
menthol,NN,B-LEGAL
and,NN,O
carbon,JJ,O
dioxide,VBP,O
it,JJ,O
set,NN,O
up,NN,O
its,VBP,O
unit,JJ,O
somewhere,NN,O
in,NN,O
the,NN,O
1970s,NN,O
the,NN,O
government,JJ,O
of,NN,O
india,NN,B-LEGAL
issued,JJ,O
two,NN,O
notifications,NNP,O
viz,VBZ,O
notification,JJ,B-LEGAL
no,IN,O
32,DT,O
99,JJ,O
ce,NN,O
and,DT,O
notification,NN,B-LEGAL
no,NNP,O
33,JJ,O
99,RB,O
ce,VBP,O
both,JJ,O
dated,NN,O
8,VBZ,O
7,DT,O
1999,NN,O
whereby,NN,O
benefit,VBP,B-LEGAL
of,NN,O
exemption,NN,B-LEGAL
from,NN,O
payment,VBP,B-LEGAL
of,JJ,O
central,NN,O
excise,NNS,B-LEGAL
duty,VBP,I-LEGAL
was,DT,O
extended,NN,O
to,NN,O
factories,NN,O
in,NN,O
north,NN,O
eastern,VBP,O
states,JJ,O
this,NN,O
benefit,NN,B-LEGAL
was,NN,O
made,NNP,O
available,VBZ,O
to,DT,O
those,JJ,O
who,JJ,O
set,NN,O
up,DT,O
new,NN,O
industrial,NN,O
units,JJ,O
on,NN,O
or,NN,O
after,VBP,O
24th,NN,O
december,NNP,O
1997,VBZ,O
it,JJ,O
was,NNP,O
also,NN,O
made,NN,O
available,NN,O
to,VBD,O
the,DT,O
existing,NN,O
industrial,NN,O
units,VBP,O
if,NNP,O
they,NN,O
increased,NN,O
their,JJ,O
production,NN,B-LEGAL
capacity,NN,I-LEGAL
by,JJ,O
25,NN,O
in,VBD,O
para,DT,O
3,JJ,O
of,NN,O
the,NNP,O
notification,VBZ,B-LEGAL
conditions,DT,O
were,NN,O
laid,NN,O
down,NN,O
which,JJ,O
were,NNP,O
to,NN,O
be,NN,O
satisfied,VBP,O
in,NN,O
this,NN,O
behalf,VBP,O
this,NN,O
para,NN,O
reads,NN,O
as,VBP,O
under,JJ,O
3,NN,O
the,NN,O
exemption,NN,B-LEGAL
contained,NNP,O
in,JJ,O
this,NN,O
notification,NN,B-LEGAL
shall,NN,O
apply,VBP,O
only,NN,O
to,NNP,O
the,JJ,O
following,NN,O
kind,NN,O
of,VBP,O
units,JJ,O
namely,NN,O
a,NN,O
new,NN,O
industrial,NN,O
units,NN,O
which,NN,O
have,NN,O
commenced,NN,O
their,NN,O
commercial,NN,O
production,NN,O
on,VBP,O
or,JJ,O
after,NN,O
the,NN,O
24th,NN,O
day,VBD,O
of,CD,O
december,CD,O
1997,CD,O
b,CD,O
industrial,NN,O
units,NNP,O
existing,NN,O
before,NN,O
the,NN,O
24th,NNP,O
day,NN,O
of,NN,O
december,NN,O
1997,NN,O
but,NN,O
which,JJ,O
have,NN,O
undertaken,NN,O
substantial,JJ,O
expansion,NN,O
by,NNP,O
way,VBZ,O
of,JJ,O
increase,NN,O
in,NN,O
installed,VBP,O
capacity,NN,O
by,NN,O
not,DT,O
less,NN,O
than,NN,O
twenty,VBP,O
five,NN,O
percent,JJ,O
on,NN,O
or,NN,O
after,NNP,O
the,NN,O
24th,NN,O
day,NN,O
of,NNP,O
december,CC,O
1997,JJ,O
as,NN,O
mentioned,NN,O
above,VBP,O
appellant,NN,O
was,VBP,O
an,DT,O
existing,NN,O
industrial,NN,O
unit,VBP,O
it,JJ,O
extended,NN,O
its,NNP,O
capacity,NN,O
by,NN,O
more,VBP,O
than,JJ,O
50,JJ,O
machinery,IN,B-LEGAL
etc,NN,O
for,NN,O
this,VBP,O
purpose,NN,O
was,VBP,O
installed,DT,O
on,NN,O
30,NN,O
9,VBP,O
1997,JJ,O
however,NNP,O
the,NN,O
production,NN,O
started,VBD,O
on,CD,O
16,CD,O
2,NN,O
1998,CD,O
as,CD,O
pointed,JJ,O
out,NN,O
above,NN,O
in,VBZ,O
order,DT,B-LEGAL
to,JJ,O
get,NN,O
the,NNP,O
benefit,CC,B-LEGAL
the,JJ,O
substantial,NN,O
expansion,NN,O
had,VBP,O
to,NN,O
be,VBP,O
undertaken,DT,O
on,NN,O
or,NN,O
after,VBP,O
24,JJ,O
12,NNP,O
1997,NN,O
2,NN,O
the,VBD,O
appellant,CD,O
endeavored,CD,O
to,NN,O
seek,CD,O
the,CD,O
benefit,JJ,B-LEGAL
of,NN,O
the,NN,O
aforesaid,NNP,O
notice,NN,B-LEGAL
contending,NN,O
that,NN,O
since,NN,O
the,NNP,O
production,VBZ,O
was,DT,O
started,JJ,O
only,NN,O
on,NN,O
16,VBD,O
2,CD,O
1998,JJ,O
which,CD,O
was,JJ,O
after,CD,O
24,CD,O
12,CD,O
1997,CD,O
it,NN,O
was,NN,O
entitled,NN,O
to,NN,O
the,NN,O
benefit,NN,B-LEGAL
of,NN,O
the,NN,O
said,NN,O
circular,NN,O
the,NN,O
department,JJ,O
however,NN,O
denied,NN,O
the,NN,O
same,VBP,O
on,JJ,O
the,NN,O
ground,NN,O
that,NNP,O
the,NN,O
installation,NNP,O
took,VBZ,O
place,JJ,O
before,IN,O
the,NN,O
cutoff,NN,O
date,VBP,B-LEGAL
that,JJ,O
is,NNP,O
30,NN,O
9,NN,O
1997,IN,O
and,NN,O
not,NNP,O
thereafter,VBZ,O
against,DT,O
this,JJ,O
view,NN,O
taken,NN,O
by,JJ,O
the,NN,O
adjudicating,NNP,B-LEGAL
authority,VBZ,I-LEGAL
the,JJ,O
appellant,NNP,O
preferred,NN,O
the,NN,O
appeal,JJ,B-LEGAL
before,NN,O
the,NN,O
cestat,DT,O
which,NN,O
has,NNP,O
also,NN,O
dismissed,NNP,O
the,NN,O
appeal,NN,B-LEGAL
2004,VBP,O
170,NN,O
elt,NNP,O
306,NN,O
tri,JJ,O
del,NN,O
in,NN,O
arriving,NNP,O
at,VBZ,O
the,DT,O
aforesaid,JJ,O
conclusion,NN,O
the,NN,O
tribunal,NNP,B-LEGAL
has,NN,O
mentioned,NN,O
that,JJ,O
the,NN,O
language,NN,O
of,NN,O
the,NNP,O
para,NN,O
3b,NN,O
clearly,NNP,O
states,VBZ,O
that,DT,O
the,JJ,O
substantial,NN,O
expansion,IN,O
should,NN,O
have,NN,O
been,VBP,O
undertaken,JJ,O
after,NN,O
24,NN,O
12,VBP,O
1997,JJ,O
whereas,NN,O
in,NN,O
the,NN,O
present,NN,O
case,NN,O
it,NNP,O
was,VBZ,O
undertaken,DT,O
much,JJ,O
before,NN,O
ie,NN,O
on,NN,O
