prafulla,NN,O
c,NN,O
pant,JJ,O
j,NN,O
1,CD,O
this,DT,O
appeal,NN,O
is,VBZ,O
directed,VBN,O
against,IN,O
order,NN,O
dated,VBD,O
07112014,CD,O
passed,VBN,O
by,IN,O
the,DT,O
high,JJ,O
court,NN,O
of,IN,O
judicature,NN,O
at,IN,O
madras,NNS,O
bench,JJ,O
madurai,NN,O
in,IN,O
civil,JJ,O
revision,NN,O
petition,NN,O
pd,NN,O
md,VBZ,O
no,DT,O
1787,CD,O
of,IN,O
2008,CD,O
whereby,IN,O
the,DT,O
revision,NN,O
was,VBD,O
allowed,VBN,O
and,CC,O
order,NN,O
dated,VBD,O
12032008,CD,O
passed,VBN,O
by,IN,O
subordinate,NN,O
judge,NN,O
virudhunagar,NN,O
on,IN,O
la,NN,O
no,DT,O
3,CD,O
of,IN,O
2008,CD,O
in,IN,O
as,IN,O
no,DT,O
55,CD,O
of,IN,O
2007,CD,O
is,VBZ,O
set,VBN,O
aside,RB,O
2,CD,O
we,PRP,O
have,VBP,O
heard,VBN,O
learned,JJ,O
counsel,NN,O
for,IN,O
the,DT,O
parties,NNS,O
and,CC,O
perused,VBD,O
the,DT,O
papers,NNS,O
on,IN,O
record,NN,O
3,CD,O
succinctly,RB,O
stated,VBN,O
facts,NNS,O
of,IN,O
this,DT,O
case,NN,O
are,VBP,O
that,IN,O
the,DT,O
appellant,JJ,O
plaintiff,NN,O
instituted,VBD,O
original,JJ,O
suit,NN,O
no,DT,O
92,CD,O
of,IN,O
2003,CD,O
before,IN,O
district,NN,O
munsif,NN,O
virudhunagar,NN,O
for,IN,O
permanent,JJ,O
injunction,NN,O
restraining,VBG,O
the,DT,O
defendant,NN,O
from,IN,O
interfering,VBG,O
in,IN,O
his,PRP$,O
peaceful,JJ,O
possession,NN,B-LEGAL
and,CC,O
enjoyment,NN,O
of,IN,O
the,DT,O
property,NN,B-LEGAL
in,IN,O
suit,NN,O
it,PRP,O
is,VBZ,O
pleaded,VBN,O
in,IN,O
the,DT,O
plaint,NN,O
that,WDT,O
originally,RB,O
the,DT,O
