sb,NN,O
sinha,VBD,O
j,JJ,O
1,CD,O
leave,VBP,O
granted,VBN,O
2,CD,O
interpretation,NN,O
of,IN,O
order,NN,O
18,CD,O
rules,NNS,O
4,CD,O
and,CC,O
5,CD,O
of,IN,O
the,DT,O
code,NN,O
of,IN,O
civil,JJ,O
procedure,NN,O
falls,VBZ,O
for,IN,O
consideration,NN,O
in,IN,O
this,DT,O
appeal,NN,O
which,WDT,O
arises,VBZ,O
out,IN,O
of,IN,O
a,DT,O
judgment,NN,O
and,CC,O
order,NN,O
dated,VBD,O
372003,CD,O
passed,VBN,O
by,IN,O
the,DT,O
high,JJ,O
court,NN,O
of,IN,O
judicature,NN,O
at,IN,O
bombay,NN,O
in,IN,O
wp,NN,O
no,DT,O
2428,CD,O
2003,CD,O
3,CD,O
the,DT,O
said,VBD,O
question,NN,O
arises,NNS,O
in,IN,O
the,DT,O
following,JJ,O
circumstances,NNS,O
4,CD,O
the,DT,O
respondent,NN,O
herein,NN,O
filed,VBD,O
the,DT,O
suit,NN,O
no,DT,O
156,CD,O
169,CD,O
of,IN,O
2001,CD,O
in,IN,O
the,DT,O
court,NN,B-LEGAL
of,IN,I-LEGAL
small,JJ,I-LEGAL
cause,NN,I-LEGAL
bombay,NN,O
against,IN,O
the,DT,O
appellant,NN,O
for,IN,O
eviction,NN,O
of,IN,O
the,DT,O
appellant,JJ,O
inter,NN,O
alia,NN,O
on,IN,O
the,DT,O
ground,NN,O
that,IN,O
the,DT,O
provisions,NNS,O
of,IN,O
maharashtra,JJ,O
rent,NN,O
control,NN,O
act,NN,O
1999,CD,O
had,VBD,O
no,DT,O
application,NN,O
in,IN,O
relation,NN,O
to,TO,O
the,DT,O
premises,NNS,O
in,IN,O
question,NN,O
an,DT,O
affidavit,NN,O
was,VBD,O
filed,VBN,O
by,IN,O
the,DT,O
respondent,NN,O
herein,NN,O
purporting,VBG,O
to,TO,O
be,VB,O
his,PRP$,O
examination,NN,O
in,IN,O
chief,NN,O
to,TO,O
be,VB,O
taken,VBN,O
on,IN,O
evidence,NN,O
in,IN,O
the,DT,O
suit,NN,O
5,CD,O
an,DT,O
application,NN,O
was,VBD,O
filed,VBN,O
by,IN,O
the,DT,O
appellant,JJ,O
herein,NN,O
objecting,VBG,O
to,TO,O
the,DT,O
said,VBD,O
affidavit,NN,O
being,VBG,O
accepted,VBN,O
inter,NN,O
alia,NN,O
on,IN,O
the,DT,O
ground,NN,O
that,IN,O
the,DT,O
decree,NN,O
which,WDT,O
may,MD,O
be,VB,O
passed,VBN,O
in,IN,O
suit,NN,O
being,VBG,O
an,DT,O
appealable,JJ,O
one,CD,O
order,NN,O
18,CD,O
rule,NN,O
5,CD,O
of,IN,O
the,DT,O
code,NN,O
of,IN,O
civil,JJ,O
procedure,NN,O
will,MD,O
be,VB,O
applicable,JJ,O
by,IN,O
reason,NN,O
of,IN,O
an,DT,O
order,NN,O
dated,VBD,O
