s,JJ,O
orders,NNS,O
passed,VBN,O
by,IN,O
the,DT,O
high,JJ,O
courts,NNS,O
in,IN,O
writ,JJ,O
petitions,NNS,O
filed,VBD,O
as,IN,O
pil,NN,O
disposition,NN,O
petition,NN,O
dismissed,VBD,O
citing,VBG,O
reference,NN,O
discussed,VBD,O
1,CD,O
case,NN,O
note,NN,O
contempt,NN,B-LEGAL
of,IN,O
court,NN,O
violation,NN,O
of,IN,O
directions,NNS,O
contained,VBN,O
in,IN,O
judgment,NN,O
contempt,NN,B-LEGAL
petition,NN,I-LEGAL
under,IN,O
sections,NNS,O
23,CD,O
and,CC,O
15,CD,O
contempt,NN,B-LEGAL
of,IN,O
court,NN,O
act,NN,O
1971,CD,O
read,NN,O
with,IN,O
article,NN,O
129,CD,O
of,IN,O
constitution,NN,O
of,IN,O
india,NN,O
alleged,VBN,O
violation,NN,O
of,IN,O
directions,NNS,O
contained,VBN,O
in,IN,O
judgment,NN,O
and,CC,O
order,NN,O
passed,VBN,O
by,IN,O
this,DT,O
court,NN,O
court,NN,O
passed,VBD,O
certain,JJ,O
directions,NNS,O
alleged,VBN,O
state,NN,O
government,NN,O
issued,VBD,O
forest,JJS,O
clearance,NN,O
contempt,NN,B-LEGAL
of,IN,O
judgment,NN,O
of,IN,O
this,DT,O
court,NN,O
whether,IN,O
the,DT,O
alleged,JJ,O
contemnors,NNS,O
nos,VBP,O
1,CD,O
and,CC,O
2,CD,O
could,MD,O
be,VB,O
said,VBD,O
to,TO,O
have,VB,O
committed,VBN,O
any,DT,O
violation,NN,O
of,IN,O
the,DT,O
directions,NNS,O
contained,VBN,O
in,IN,O
judgment,NN,O
and,CC,O
order,NN,O
passed,VBN,O
by,IN,O
this,DT,O
court,NN,O
facts,VBZ,O
this,DT,O
contempt,JJ,B-LEGAL
petition,NN,I-LEGAL
under,IN,O
sections,NNS,O
23,CD,O
and,CC,O
15,CD,O
of,IN,O
the,DT,O
contempt,NN,B-LEGAL
of,IN,O
court,NN,O
act,NN,O
1971,CD,O
read,NN,O
with,IN,O
article,NN,O
129,CD,O
of,IN,O
the,DT,O
constitution,NN,O
of,IN,O
india,NN,O
alleges,NNS,O
violation,NN,O
of,IN,O
directions,NNS,O
contained,VBN,O
in,IN,O
judgment,NN,O
and,CC,O
order,NN,O
passed,VBN,O
by,IN,O
this,DT,O
court,NN,O
in,IN,O
alaknanda,NN,O
hydro,NN,O
power,NN,O
co,NN,O
limited,VBD,O
v,NN,O
anuj,NN,O
joshi,NN,O
and,CC,O
ors,NNS,O
four,CD,O
persons,NNS,O
were,VBD,O
arrayed,VBN,O
as,IN,O
alleged,JJ,O
contemnors,NNS,O
in,IN,O
this,DT,O
petition,NN,O
however,RB,O
during,IN,O
the,DT,O
course,NN,O
of,IN,O
arguments,NNS,O
the,DT,O
petitioners,NNS,O
gave,VBD,O
up,RP,O
their,PRP$,O
case,NN,O
against,IN,O
alleged,VBN,O
contemnor,NN,O
nos,CC,O
3,CD,O
and,CC,O
4,CD,O
this,DT,O
court,NN,O
was,VBD,O
also,RB,O
satisfied,VBN,O
that,IN,O
no,DT,O
case,NN,O
