jasti,NN,O
chelameswar,NN,O
j,NN,O
1,CD,O
this,DT,O
court,NN,O
by,IN,O
its,PRP$,O
judgment,NN,O
in,IN,O
union,NN,O
of,IN,O
india,NN,O
and,CC,O
ors,NNS,O
v,VBP,O
rafique,JJ,O
shaikh,NN,O
bhikan,NN,O
and,CC,O
ors,NNS,O
manu,VBP,O
sc,JJ,O
0382,CD,O
2013manu,CD,O
sc,NN,O
0382,CD,O
2013,CD,O
2013,CD,O
4,CD,O
scc,NN,O
699,CD,O
hereinafter,NN,O
rafique,NN,O
shaikh,NN,O
bhikan,JJ,O
2013,CD,O
approved,VBD,O
a,DT,O
policy,NN,O
with,IN,O
some,DT,O
modification,NN,O
framed,VBN,O
by,IN,O
government,NN,O
of,IN,O
india,NN,O
for,IN,O
the,DT,O
registration,NN,O
of,IN,O
private,JJ,O
tour,NN,O
operators,NNS,O
ptos,VBP,O
for,IN,O
haj,NN,O
2013,CD,O
hereafter,NN,O
referred,VBD,O
to,TO,O
as,IN,O
approved,JJ,O
policy,NN,O
this,DT,O
court,NN,O
opined,VBD,O
that,IN,O
such,PDT,O
a,DT,O
policy,NN,O
avoids,VBZ,O
creation,NN,O
of,IN,O
any,DT,O
monopoly,NN,O
and,CC,O
makes,VBZ,O
provision,NN,O
for,IN,O
entry,NN,O
of,IN,O
fresh,JJ,O
players,NNS,O
2,CD,O
the,DT,O
modified,VBN,O
and,CC,O
approved,JJ,O
policy,NN,O
is,VBZ,O
appended,VBN,O
to,TO,O
the,DT,O
judgment,NN,O
as,IN,O
appendix,NN,O
i,NN,O
1,CD,O
it,PRP,O
can,MD,O
be,VB,O
seen,VBN,O
from,IN,O
the,DT,O
said,VBD,O
judgment,NN,O
that,IN,O
though,IN,O
the,DT,O
policy,NN,O
as,IN,O
framed,VBN,O
by,IN,O
the,DT,O
government,NN,O
of,IN,O
india,NN,O
was,VBD,O
meant,VBN,O
only,RB,O
for,IN,O
one,CD,O
year,NN,O
ie,NN,O
for,IN,O
haj,NN,O
2013,CD,O
this,DT,O
court,NN,O
directed,VBD,O
that,IN,O
it,PRP,O
would,MD,O
be,VB,O
the,DT,O
policy,NN,O
for,IN,O
private,JJ,O
tour,NN,O
operators,NNS,O
for,IN,O
haj,NN,O
2013,CD,O
17,CD,O
valid,JJ,O
for,IN,O
five,CD,O
years,NNS,O
3,CD,O
under,IN,O
the,DT,O
approved,JJ,O
policy,NN,O
the,DT,O
ptos,NN,O
were,VBD,O
categorised,VBN,O
into,IN,O
two,CD,O
groups,NNS,O
category,NN,O
i,JJ,O
consists,NNS,O
of,IN,O
ptos,NNS,O
who,WP,O
were,VBD,O
registered,VBN,O
with,IN,O
the,DT,O
ministry,NN,O
of,IN,O
external,JJ,O
affairs,NNS,O
and,CC,O
facilitated,VBD,O
hajis,NN,O
at,IN,O
least,JJS,O
for,IN,O
7,CD,O
or,CC,O
more,JJR,O
years,NNS,O
by,IN,O
conducting,VBG,O
haj,JJ,O
tour,NN,O
operations,NNS,O
the,DT,O
second,JJ,O
category,NN,O
consists,NNS,O
of,IN,O
two,CD,O
classes,NNS,O
of,IN,O
ptos,JJ,O
class,NN,O
i,NN,O
consists,VBZ,O
of,IN,O
ptos,NN,O
who,WP,O
had,VBD,O
facilitated,VBN,O
hajis,NN,O
for,IN,O
less,JJR,O
than,IN,O
7,CD,O
years,NNS,O
and,CC,O
class,NN,O
ii,NN,O
consists,VBZ,O
of,IN,O
the,DT,O
ptos,NN,O
who,WP,O
had,VBD,O
facilitated,VBN,O
at,IN,O
least,JJS,O
50,CD,O
umrah,JJ,O
pilgrims,NNS,O
in,IN,O
a,DT,O
year,NN,O
for,IN,O
any,DT,O
five,CD,O
years,NNS,O
4,CD,O
obviously,RB,O
the,DT,O
requisite,JJ,O
experience,NN,O
for,IN,O
a,DT,O
pto,NN,O
to,TO,O
be,VB,O
categorized,VBN,O
in,IN,O
one,CD,O
of,IN,O
the,DT,O
abovementioned,JJ,O
two,CD,O
categories,NNS,O
must,MD,O
be,VB,O
anterior,JJ,O
to,TO,O
haj,VB,O
2013,CD,O
it,PRP,O
is,VBZ,O
to,TO,O
be,VB,O
noticed,VBN,O
that,IN,O
though,IN,O
the,DT,O
approved,JJ,O
policy,NN,O
stipulated,VBD,O
experience,NN,O
of,IN,O
conducting,VBG,O
a,DT,O
haj,NN,O
operation,NN,O
for,IN,O
7,CD,O
years,NNS,O
for,IN,O
category,NN,O
i,NN,O
and,CC,O
5,CD,O
years,NNS,O
experience,NN,O
of,IN,O
conducting,VBG,O
umrah,JJ,O
operation,NN,O
in,IN,O
second,JJ,O
class,NN,O
of,IN,O
category,NN,O
ii,VBP,O
the,DT,O
scheme,NN,O
did,VBD,O
not,RB,O
stipulate,VB,O
that,IN,O
those,DT,O
years,NNS,O
should,MD,O
be,VB,O
consecutive,JJ,O
years,NNS,O
or,CC,O
that,IN,O
they,PRP,O
should,MD,O
be,VB,O
the,DT,O
immediate,JJ,O
past,JJ,O
7,CD,O
years,NNS,O
or,CC,O
5,CD,O
years,NNS,O
as,IN,O
the,DT,O
case,NN,O
may,MD,O
be,VB,O
the,DT,O
consequences,NNS,O
of,IN,O
classification,NN,O
are,VBP,O
also,RB,O
specified,VBN,O
in,IN,O
para,JJ,O
4,CD,O
of,IN,O
the,DT,O
scheme,NN,O
4,CD,O
70,CD,O
of,IN,O
the,DT,O
overall,JJ,O
quota,NN,O
of,IN,O
seats,NNS,O
will,MD,O
be,VB,O
allocated,VBN,O
to,TO,O
eligible,VB,O
ptos,NNS,O
under,IN,O
category,NN,O
3i,CD,O
and,CC,O
30,CD,O
to,TO,O
eligible,VB,O
ptos,NNS,O
under,IN,O
category,NN,O
3ii,CD,O
distribution,NN,O
of,IN,O
seats,NNS,O
among,IN,O
qualified,JJ,O
ptos,NNS,O
will,MD,O
be,VB,O
done,VBN,O
as,IN,O
follows,VBZ,O
a,DT,O
70,CD,O
of,IN,O
the,DT,O
haj,NN,O
2013,CD,O
pto,NN,O
seats,NNS,O
31,CD,O
500,CD,O
will,MD,O
be,VB,O
allocated,VBN,O
to,TO,O
eligible,VB,O
ptos,NNS,O
under,IN,O
category,NN,O
3i,CD,O
at,IN,O
the,DT,O
rate,NN,O
of,IN,O
150,CD,O
seats,NNS,O
per,IN,O
pto,NN,O
in,IN,O
case,NN,O
the,DT,O
number,NN,O
of,IN,O
ptos,NNS,O
exceeds,VBZ,O
210,CD,O
the,DT,O
allocation,NN,O
of,IN,O
seats,NNS,O
will,MD,O
be,VB,O
done,VBN,O
on,IN,O
draw,NN,O
of,IN,O
lots,NNS,O
if,IN,O
the,DT,O
number,NN,O
of,IN,O
qualified,JJ,O
ptos,NN,O
is,VBZ,O
less,JJR,O
than,IN,O
210,CD,O
each,DT,O
pto,NN,O
will,MD,O
be,VB,O
allocated,VBN,O
150,CD,O
seats,NNS,O
and,CC,O
surplus,NN,O
seats,NNS,O
if,IN,O
any,DT,O
will,MD,O
be,VB,O
distributed,VBN,O
equally,RB,O
among,IN,O
them,PRP,O
b,VBP,O
30,CD,O
of,IN,O
haj,NN,O
2013,CD,O
pto,NN,O
seats,NNS,O
9000,CD,O
will,MD,O
be,VB,O
allocated,VBN,O
to,TO,O
eligible,VB,O
ptos,NNS,O
under,IN,O
category,NN,O
3ii,CD,O
at,IN,O
the,DT,O
rate,NN,O
of,IN,O
150,CD,O
seats,NNS,O
per,IN,O
qualified,VBN,O
pto,NN,O
if,IN,O
the,DT,O
number,NN,O
of,IN,O
qualified,JJ,O
ptos,NN,O
exceeds,VBZ,O
90,CD,O
the,DT,O
allocation,NN,O
of,IN,O
seats,NNS,O
will,MD,O
be,VB,O
done,VBN,O
by,IN,O
draw,NN,O
of,IN,O
lots,NNS,O
in,IN,O
case,NN,O
the,DT,O
number,NN,O
of,IN,O
ptos,NN,O
is,VBZ,O
less,JJR,O
than,IN,O
90,CD,O
each,DT,O
pto,NN,O
will,MD,O
be,VB,O
allocated,VBN,O
150,CD,O
seats,NNS,O
balance,NN,O
seats,NNS,O
if,IN,O
any,DT,O
will,MD,O
be,VB,O
transferred,VBN,O
to,TO,O
category,VB,O
i,NN,O
and,CC,O
distributed,VBN,O
equally,RB,O
among,IN,O
them,PRP,O
a,DT,O
qualified,JJ,O
pto,NN,O
which,WDT,O
fails,VBZ,O
to,TO,O
get,VB,O
selected,VBN,O
under,IN,O
the,DT,O
draw,NN,O
of,IN,O
lots,NNS,O
in,IN,O
any,DT,O
year,NN,O
will,MD,O
be,VB,O
allocated,VBN,O
150,CD,O
seats,NNS,O
in,IN,O
the,DT,O
ensuing,VBG,O
year,NN,O
without,IN,O
qurrah,NN,O
if,IN,O
it,PRP,O
remains,VBZ,O
a,DT,O
qualified,JJ,O
pto,NN,O
5,CD,O
there,EX,O
is,VBZ,O
no,DT,O
separate,JJ,O
scheme,NN,O
or,CC,O
statute,NN,O
regulating,VBG,O
the,DT,O
ptos,NN,O
