vn,NN,O
khare,NN,O
j,VBZ,O
1,CD,O
appellant,JJ,O
nos,NNS,O
4,CD,O
to,TO,O
22,CD,O
before,IN,O
us,PRP,O
are,VBP,O
the,DT,O
companies,NNS,O
incorporated,VBN,O
under,IN,O
the,DT,O
indian,JJ,O
companies,NNS,O
act,NN,O
and,CC,O
are,VBP,O
engaged,VBN,O
in,IN,O
the,DT,O
business,NN,O
of,IN,O
production,NN,O
and,CC,O
sale,NN,O
of,IN,O
sugar,NN,O
these,DT,O
appellants,NNS,O
own,VBP,O
sugar,NN,O
factories,NNS,O
hereinafter,RBR,O
referred,VBN,O
to,TO,O
as,IN,O
sugar,NN,O
factories,NNS,O
which,WDT,O
are,VBP,O
located,VBN,O
in,IN,O
various,JJ,O
parts,NNS,O
of,IN,O
the,DT,O
state,NN,O
of,IN,O
uttar,JJ,O
pradesh,JJ,O
one,CD,O
of,IN,O
the,DT,O
raw,JJ,O
materials,NNS,O
required,VBN,O
for,IN,O
production,NN,O
of,IN,O
sugar,NN,O
is,VBZ,O
sugarcane,JJ,O
which,WDT,O
is,VBZ,O
purchased,VBN,O
for,IN,O
sugarcane,NN,O
growers,NNS,O
through,IN,O
sugarcane,NN,O
cooperative,NN,O
societies,NNS,O
which,WDT,O
are,VBP,O
the,DT,O
respondents,NNS,O
in,IN,O
these,DT,O
matters,NNS,O
the,DT,O
purchase,NN,O
of,IN,O
sugarcane,NN,O
by,IN,O
the,DT,O
sugar,NN,O
factories,NNS,O
is,VBZ,O
regulated,VBN,O
under,IN,O
the,DT,O
provisions,NNS,O
of,IN,O
up,IN,O
sugarcane,NN,O
regulation,NN,O
of,IN,O
supply,NN,O
and,CC,O
purchase,NN,O
act,NN,O
1953,CD,O
hereinafter,NN,O
referred,VBD,O
to,TO,O
as,IN,O
the,DT,O
act,NN,O
in,IN,O
exercise,NN,O
of,IN,O
power,NN,O
conferred,VBN,O
under,IN,O
section,NN,O
28,CD,O
of,IN,O
the,DT,O
act,NN,O
the,DT,O
state,NN,O
government,NN,O
has,VBZ,O
framed,VBN,O
rules,NNS,O
known,VBN,O
as,IN,O
the,DT,O
up,RP,O
sugarcane,JJ,O
regulation,NN,O
of,IN,O
supply,NN,O
and,CC,O
purchase,NN,O
rules,NNS,O
1954,CD,O
hereinafter,NN,O
referred,VBD,O
to,TO,O
as,IN,O
the,DT,O
rules,NNS,O
section,VBP,O
13,CD,O
of,IN,O
the,DT,O
act,NN,O
requires,VBZ,O
the,DT,O
sugar,NN,O
factories,NNS,O
to,TO,O
pay,VB,O
a,DT,O
commission,NN,O
known,VBN,O
as,IN,O
society,NN,O
commission,NN,O
to,TO,O
the,DT,O
cooperative,JJ,O
cane,NN,O
societies,NNS,O
a,DT,O
share,NN,O
of,IN,O
which,WDT,O
is,VBZ,O
also,RB,O
transferred,VBN,O
to,TO,O
the,DT,O
cane,NN,O
development,NN,O
council,VBZ,O
the,DT,O
rate,NN,O
at,IN,O
which,WDT,O
the,DT,O
said,VBD,O
commission,NN,O
is,VBZ,O
payable,JJ,O
is,VBZ,O
left,VBN,O
to,TO,O
be,VB,O
determined,VBN,O
and,CC,O
prescribed,VBN,O
by,IN,O
the,DT,O
state,NN,O
government,NN,O
by,IN,O
the,DT,O
statutory,JJ,O
rules,NNS,O
the,DT,O
share,NN,O
of,IN,O
commission,NN,O
which,WDT,O
comes,VBZ,O
to,TO,O
the,DT,O
cooperative,JJ,O
societies,NNS,O
is,VBZ,O
to,TO,O
cover,VB,O
their,PRP$,O
administrative,JJ,O
costs,NNS,O
which,WDT,O
include,VBP,O
mainly,RB,O
the,DT,O
maintenance,NN,O
of,IN,O
staff,NN,O
deputed,VBN,O
for,IN,O
undertaking,VBG,O
various,JJ,O
cooperatives,NNS,O
activities,NNS,O
connected,VBN,O
with,IN,O
the,DT,O
sale,NN,O
of,IN,O
sugarcane,NN,O
to,TO,O
the,DT,O
sugar,NN,O
factories,NNS,O
2,CD,O
in,IN,O
the,DT,O
year,NN,O
1985,CD,O
the,DT,O
government,NN,O
of,IN,O
uttar,JJ,O
pradesh,NN,O
by,IN,O
amending,VBG,O
rule,NN,O
49,CD,O
of,IN,O
the,DT,O
rules,NNS,O
raised,VBD,O
the,DT,O
society,NN,O
commission,NN,O
to,TO,O
50,CD,O
paise,NN,O
per,IN,O
quintal,JJ,O
vide,NN,O
notification,NN,O
dated,VBD,O
