kurian,JJ,O
joseph,NN,O
j,NN,O
1,CD,O
leave,NN,O
granted,VBN,O
2,CD,O
we,PRP,O
have,VBP,O
heard,VBN,O
learned,VBN,O
senior,JJ,O
counsel,NN,O
appearing,VBG,O
on,IN,O
behalf,NN,O
of,IN,O
the,DT,O
appellants,NNS,O
as,RB,O
well,RB,O
as,IN,O
learned,VBN,O
advocate,NN,O
general,NN,O
for,IN,O
the,DT,O
state,NN,O
of,IN,O
haryana,NN,O
3,CD,O
the,DT,O
appellants,NNS,O
are,VBP,O
aggrieved,VBN,O
by,IN,O
the,DT,O
rejection,NN,O
of,IN,O
the,DT,O
review,NN,O
application,NN,B-LEGAL
filed,VBN,O
before,IN,O
the,DT,O
high,JJ,O
court,NN,O
on,IN,O
the,DT,O
ground,NN,O
of,IN,O
delay,NN,O
of,IN,O
706,CD,O
days,NNS,O
in,IN,O
filing,VBG,O
the,DT,O
review,NN,O
application,NN,B-LEGAL
there,EX,O
is,VBZ,O
a,DT,O
delay,NN,O
of,IN,O
1705,CD,O
days,NNS,O
before,IN,O
this,DT,O
court,NN,O
4,CD,O
be,VB,O
that,IN,O
as,IN,O
it,PRP,O
may,MD,O
the,DT,O
issues,NNS,O
pertain,VBP,O
to,TO,O
the,DT,O
claim,NN,B-LEGAL
made,VBN,O
by,IN,O
the,DT,O
appellants,NNS,O
for,IN,O
enhancement,NN,O
of,IN,O
compensation,NN,B-LEGAL
the,DT,O
review,NN,O
application,NN,B-LEGAL
was,VBD,O
filed,VBN,O
before,IN,O
the,DT,O
high,JJ,O
court,NN,O
seeking,VBG,O
land,NN,O
value,NN,O
at,IN,O
the,DT,O
rate,NN,O
of,IN,O
rs,NN,O
1608,CD,O
per,NN,O
acre,NN,O
as,IN,O
they,PRP,O
are,VBP,O
granted,VBN,O
to,TO,O
the,DT,O
adjoining,VBG,O
property,NN,O
covered,VBN,O
by,IN,O
rfa,NN,O
no,DT,O
363,CD,O
of,IN,O
2005,CD,O
titled,VBD,O
as,IN,O
ram,NN,O
chand,NN,O
ram,NN,O
chander,NN,O
since,IN,O
deceased,VBN,O
through,IN,O
lr,NN,O
raghbir,NN,O
singh,NN,O
v,NN,O
state,NN,O
of,IN,O
haryana,NN,O
and,CC,O
ors,NNS,O
decided,VBD,O
on,IN,O
2952009,CD,O
5,CD,O
we,PRP,O
also,RB,O
find,VBP,O
that,IN,O
this,DT,O
court,NN,O
in,IN,O
all,DT,O
connected,VBN,O
cases,NNS,O
have,VBP,O
set,VBN,O
aside,RP,O
the,DT,O
orders,NNS,O
passed,VBN,O
by,IN,O
the,DT,O
high,JJ,O
court,NN,O
and,CC,O
remanded,VBD,O
the,DT,O
matters,NNS,O
before,IN,O
the,DT,O
high,JJ,O
court,NN,O
6,CD,O
we,PRP,O
are,VBP,O
informed,VBN,O
on,IN,O
remand,NN,O
the,DT,O
high,JJ,O
court,NN,O
has,VBZ,O
allowed,VBN,O
the,DT,O
review,NN,O
application,NN,B-LEGAL
by,IN,O
fixing,VBG,O
the,DT,O
compensation,NN,B-LEGAL
at,IN,O
the,DT,O
rate,NN,O
of,IN,O
rs,NN,O
16,CD,O
08,CD,O
000,CD,O
per,IN,O
acre,NN,O
7,CD,O
therefore,IN,O
these,DT,O
appeals,NNS,O
are,VBP,O
allowed,VBN,O
the,DT,O
appellants,NNS,O
shall,MD,O
be,VB,O
entitled,VBN,O
to,TO,O
land,VB,O
value,NN,O
fixed,VBN,O
at,IN,O
rs,NN,O
16,CD,O
08,CD,O
000,CD,O
per,IN,O
acre,NN,O
however,RB,O
the,DT,O
appellants,NNS,O
shall,MD,O
not,RB,O
be,VB,O
entitled,VBN,O
for,IN,O
any,DT,O
statutory,JJ,O
benefits,NNS,O
for,IN,O
a,DT,O
period,NN,B-LEGAL
of,IN,O
2411,CD,O
days,NNS,O
covered,VBN,O
by,IN,O
delay,NN,O
before,IN,O
the,DT,O
high,JJ,O
court,NN,O
as,RB,O
well,RB,O
as,IN,O
before,IN,O
this,DT,O
court,NN,O
