1,CD,O
the,DT,O
respondent,NN,O
is,VBZ,O
manufacturing,VBG,O
motor,NN,O
vehicles,NNS,O
and,CC,O
it,PRP,O
had,VBD,O
availed,VBN,O
of,IN,O
modvat,NN,O
credit,NN,B-LEGAL
of,IN,O
the,DT,O
duty,NN,O
paid,VBN,O
on,IN,O
inputs,NNS,O
under,IN,O
rule,NN,O
57a,CD,O
of,IN,O
the,DT,O
central,JJ,O
excise,NN,O
rules,NNS,O
as,IN,O
it,PRP,O
had,VBD,O
not,RB,O
paid,VBN,O
any,DT,O
excise,NN,O
duty,NN,O
on,IN,O
the,DT,O
raw,JJ,O
material,NN,O
it,PRP,O
became,VBD,O
liable,JJ,O
to,TO,O
pay,VB,O
excise,VB,O
duty,NN,O
on,IN,O
the,DT,O
waste,NN,O
and,CC,O
scrap,NN,O
of,IN,O
aluminium,NN,B-LEGAL
and,CC,O
iron,NN,O
and,CC,O
steel,NN,O
which,WDT,O
scrap,NN,O
had,VBD,O
been,VBN,O
sold,VBN,O
by,IN,O
the,DT,O
respondent,NN,O
2,CD,O
the,DT,O
collector,NN,B-LEGAL
raised,VBD,O
a,DT,O
demand,NN,O
of,IN,O
excise,JJ,O
duty,NN,O
on,IN,O
the,DT,O
waste,NN,O
and,CC,O
scrap,NN,O
which,WDT,O
was,VBD,O
sold,VBN,O
the,DT,O
demand,NN,O
was,VBD,O
challenged,VBN,O
by,IN,O
the,DT,O
respondent,NN,O
who,WP,O
contended,VBD,O
that,IN,O
excise,NN,O
duty,NN,O
was,VBD,O
not,RB,O
payable,JJ,O
having,VBG,O
been,VBN,O
unsuccessful,JJ,O
before,IN,O
the,DT,O
collector,NN,B-LEGAL
an,DT,O
appeal,NN,B-LEGAL
was,VBD,O
filed,VBN,O
before,IN,O
the,DT,O
customs,NNS,O
excise,NN,O
and,CC,O
gold,NN,O
control,NN,O
appellate,JJ,O
tribunal,JJ,O
the,DT,O
tribunal,JJ,O
by,IN,O
the,DT,O
impugned,JJ,O
order,NN,O
came,VBD,O
to,TO,O
the,DT,O
conclusion,NN,O
that,WDT,O
excise,VBP,O
duty,NN,O
was,VBD,O
payable,JJ,O
on,IN,O
the,DT,O
scrap,NN,O
sold,VBN,O
by,IN,O
the,DT,O
respondent,NN,O
it,PRP,O
further,RBR,O
came,VBD,O
to,TO,O
the,DT,O
conclusion,NN,O
that,IN,O
the,DT,O
price,NN,O
on,IN,O
which,WDT,O
the,DT,O
waste,NN,O
and,CC,O
scrap,NN,O
had,VBD,O
been,VBN,O
sold,VBN,O
should,MD,O
be,VB,O
considered,VBN,O
to,TO,O
be,VB,O
cum,JJ,B-LEGAL
duty,NN,O
price,NN,O
and,CC,O
the,DT,O
assessable,JJ,O
value,NN,O
should,MD,O
be,VB,O
determined,VBN,O
after,IN,O
deducting,VBG,O
the,DT,O
element,NN,O
of,IN,O
excise,NN,O
duty,NN,O
it,PRP,O
is,VBZ,O
this,DT,O
part,NN,O
of,IN,O
the,DT,O
decision,NN,O
of,IN,O
the,DT,O
tribunal,NN,O
which,WDT,O
is,VBZ,O
sought,VBN,O
to,TO,O
be,VB,O
challenged,VBN,O
by,IN,O
the,DT,O
revenue,NN,O
in,IN,O
this,DT,O
appeal,NN,B-LEGAL
3,CD,O
the,DT,O
respondent,NN,O
had,VBD,O
sold,VBN,O
the,DT,O
scrap,NN,O
and,CC,O
according,VBG,O
to,TO,O
it,PRP,O
the,DT,O
purchaser,NN,O
was,VBD,O
not,RB,O
liable,JJ,O
to,TO,O
pay,VB,O
any,DT,O
amount,NN,O
in,IN,O
addition,NN,O
thereto,NN,O
and,CC,O
it,PRP,O
is,VBZ,O
for,IN,O
this,DT,O
reason,NN,O
the,DT,O
tribunal,NN,O
regarded,VBD,O
this,DT,O
transaction,NN,O
as,IN,O
being,VBG,O
one,CD,O
of,IN,O
cum,NN,B-LEGAL
duty,NN,O
price,NN,O
4,CD,O
section,NN,O
4,CD,O
of,IN,O
the,DT,O
central,JJ,O
excises,NNS,O
and,CC,O
salt,NN,O
act,NN,O
1944,CD,O
provides,VBZ,O
for,IN,O
valuation,NN,O
of,IN,O
excisable,JJ,O
goods,NNS,O
for,IN,O
purpose,NN,O
of,IN,O
charging,VBG,O
of,IN,O
duty,NN,O
of,IN,O
excise,NN,O
under,IN,O
section,NN,O
41,CD,O
the,DT,O
duty,NN,O
of,IN,O
excise,NN,O
is,VBZ,O
chargeable,JJ,O
on,IN,O
any,DT,O
excisable,JJ,O
goods,NNS,O
with,IN,O
reference,NN,O
to,TO,O
the,DT,O
value,NN,O
which,WDT,O
is,VBZ,O
deemed,VBN,O
to,TO,O
be,VB,O
the,DT,O
price,NN,O
at,IN,O
which,WDT,O
such,JJ,O
goods,NNS,O
are,VBP,O
ordinarily,RB,O
sold,VBN,O
by,IN,O
the,DT,O
assessee,NN,B-LEGAL
to,TO,O
a,DT,O
buyer,NN,B-LEGAL
in,IN,O
the,DT,O
course,NN,O
of,IN,O
wholesale,JJ,O
trade,NN,O
where,WRB,O
the,DT,O
buyer,NN,B-LEGAL
is,VBZ,O
not,RB,O
a,DT,O
related,JJ,O
person,NN,O
and,CC,O
the,DT,O
price,NN,O
is,VBZ,O
the,DT,O
sole,JJ,O
consideration,NN,B-LEGAL
for,IN,O
the,DT,O
sale,NN,O
section,NN,O
44dii,CD,O
states,NNS,O
that,IN,O
value,NN,O
in,IN,O
relation,NN,O
to,TO,O
any,DT,O
excisable,JJ,O
goods,NNS,O
does,VBZ,O
not,RB,O
include,VB,O
the,DT,O
amount,NN,O
of,IN,O
duty,NN,O
of,IN,O
excise,NN,O
sales,NNS,O
tax,NN,O
and,CC,O
other,JJ,O
taxes,NNS,O
if,IN,O
any,DT,O
payable,JJ,O
on,IN,O
such,JJ,O
goods,NNS,O
and,CC,O
subject,JJ,O
to,TO,O
such,JJ,O
rules,NNS,O
as,IN,O
may,MD,O
be,VB,O
made,VBN,O
the,DT,O
trade,NN,O
discount,NN,O
etc,NN,O
is,VBZ,O
also,RB,O
to,TO,O
be,VB,O
allowed,VBN,O
as,IN,O
a,DT,O
deduction,NN,O
5,CD,O
a,DT,O
reading,NN,O
of,IN,O
the,DT,O
aforesaid,NN,O
section,NN,O
clearly,RB,O
indicates,VBZ,O
that,IN,O
the,DT,O
wholesale,JJ,O
price,NN,O
which,WDT,O
is,VBZ,O
charged,VBN,O
is,VBZ,O
deemed,VBN,O
to,TO,O
be,VB,O
the,DT,O
value,NN,O
for,IN,O
the,DT,O
purpose,NN,O
of,IN,O
levy,NN,O
of,IN,O
excise,NN,O
duty,NN,O
by,IN,O
the,DT,O
element,NN,O
of,IN,O
excise,NN,O
duty,NN,O
sales,NNS,O
tax,NN,O
or,CC,O
other,JJ,O
taxes,NNS,O
which,WDT,O
is,VBZ,O
included,VBN,O
in,IN,O
the,DT,O
wholesale,JJ,O
price,NN,O
is,VBZ,O
to,TO,O
be,VB,O
excluded,VBN,O
in,IN,O
arriving,VBG,O
at,IN,O
the,DT,O
excisable,JJ,O
value,NN,O
this,DT,O
section,NN,O
has,VBZ,O
been,VBN,O
so,RB,O
construed,VBN,O
by,IN,O
this,DT,O
court,NN,O
in,IN,O
asstt,JJ,O
collector,NN,B-LEGAL
of,IN,O
central,JJ,O
excise,NN,O
and,CC,O
ors,NNS,O
v,VBP,O
bata,IN,O
india,NN,O
ltd,NN,O
manu,NN,O
sc,NN,O
1167,CD,O
1996manu,CD,O
sc,NN,O
1167,CD,O
1996,CD,O
199684elt164sc,CD,O
199684elt164sc,CD,O
and,CC,O
it,PRP,O
is,VBZ,O
thus,RB,O
clear,JJ,O
that,IN,O
when,WRB,O
cum,JJ,B-LEGAL
duty,NN,O
price,NN,O
is,VBZ,O
charged,VBN,O
then,RB,O
in,IN,O
arriving,VBG,O
at,IN,O
the,DT,O
excisable,JJ,O
value,NN,O
of,IN,O
the,DT,O
goods,NNS,O
the,DT,O
element,NN,O
of,IN,O
duty,NN,O
which,WDT,O
is,VBZ,O
payable,JJ,O
has,VBZ,O
to,TO,O
be,VB,O
excluded,VBN,O
the,DT,O
tribunal,NN,O
has,VBZ,O
therefore,RB,O
rightly,RB,O
proceeded,VBN,O
on,IN,O
the,DT,O
basis,NN,O
that,IN,O
the,DT,O
amount,NN,O
realised,VBN,O
by,IN,O
the,DT,O
respondent,NN,O
from,IN,O
the,DT,O
sale,NN,O
of,IN,O
scrap,NN,O
has,VBZ,O
to,TO,O
be,VB,O
regarded,VBN,O
as,IN,O
a,DT,O
normal,JJ,O
wholesale,JJ,O
price,NN,O
and,CC,O
in,IN,O
determining,VBG,O
the,DT,O
value,NN,O
on,IN,O
which,WDT,O
excise,NN,O
duty,NN,O
is,VBZ,O
payable,JJ,O
the,DT,O
element,NN,O
of,IN,O
excise,NN,O
duty,NN,O
which,WDT,O
must,MD,O
be,VB,O
regarded,VBN,O
as,IN,O
having,VBG,O
been,VBN,O
incorporated,VBN,O
in,IN,O
the,DT,O
sale,NN,O
price,NN,O
must,MD,O
be,VB,O
excluded,VBN,O
there,EX,O
is,VBZ,O
nothing,NN,O
to,TO,O
show,VB,O
that,DT,O
once,RB,O
the,DT,O
demand,NN,O
was,VBD,O
raised,VBN,O
by,IN,O
the,DT,O
department,NN,O
the,DT,O
respondent,NN,O
sought,VBD,O
to,TO,O
recover,VB,O
the,DT,O
same,JJ,O
from,IN,O
the,DT,O
purchaser,NN,O
of,IN,O
scrap,NN,O
the,DT,O
facts,NNS,O
indicate,VBP,O
that,IN,O
after,IN,O
the,DT,O
sale,NN,O
transaction,NN,O
was,VBD,O
completed,VBN,O
the,DT,O
purchaser,NN,O
was,VBD,O
under,IN,O
no,DT,O
obligation,NN,O
to,TO,O
pay,VB,O
any,DT,O
extra,JJ,O
amount,NN,O
to,TO,O
the,DT,O
seller,NN,O
namely,RB,O
the,DT,O
respondent,NN,O
in,IN,O
such,JJ,O
a,DT,O
transaction,NN,O
it,PRP,O
is,VBZ,O
the,DT,O
seller,NN,O
who,WP,O
takes,VBZ,O
on,IN,O
