dipak,NN,O
misra,NN,O
j,NN,O
1,CD,O
the,DT,O
appellant,NN,O
entered,VBD,O
into,IN,O
an,DT,O
agreement,NN,B-LEGAL
on,IN,O
08041993,CD,O
with,IN,O
cochin,JJ,O
cement,NN,B-LEGAL
limited,VBD,O
a,DT,O
company,NN,B-LEGAL
registered,VBN,O
under,IN,O
the,DT,O
companies,NNS,O
act,VBP,B-LEGAL
1956,CD,O
the,DT,O
relevant,JJ,O
clauses,NNS,O
of,IN,O
the,DT,O
agreement,NN,B-LEGAL
are,VBP,O
as,IN,O
follows,VBZ,O
1,CD,O
acc,JJ,O
shall,MD,O
sell,VB,O
to,TO,O
cocem,VB,O
cement,NN,B-LEGAL
clinker,NN,O
ex,VBZ,O
its,PRP$,O
wadi,JJ,O
cement,NN,B-LEGAL
works,NNS,O
on,IN,O
regular,JJ,O
basis,NN,O
at,IN,O
the,DT,O
supply,NN,O
rate,NN,O
of,IN,O
300,CD,O
t,NNS,O
per,IN,O
day,NN,O
so,RB,O
as,IN,O
to,TO,O
enable,VB,O
cocem,NN,O
to,TO,O
produce,VB,O
ordinary,JJ,O
portland,NN,O
cement,NN,B-LEGAL
or,CC,O
any,DT,O
other,JJ,O
type,NN,O
of,IN,O
cement,NN,B-LEGAL
as,IN,O
per,IN,O
the,DT,O
marketing,NN,O
need,NN,O
from,IN,O
time,NN,O
to,TO,O
time,NN,O
the,DT,O
price,NN,O
of,IN,O
clinker,NN,O
will,MD,O
be,VB,O
linked,VBN,O
to,TO,O
the,DT,O
price,NN,O
of,IN,O
cement,NN,B-LEGAL
in,IN,O
the,DT,O
kerala,NN,O
market,NN,O
and,CC,O
will,MD,O
be,VB,O
reviewed,VBN,O
every,DT,O
six,CD,O
months,NNS,O
on,IN,O
this,DT,O
basis,NN,O
the,DT,O
formula,NN,O
for,IN,O
such,JJ,O
price,NN,O
adjustments,NNS,O
will,MD,O
be,VB,O
as,IN,O
detailed,VBN,O
in,IN,O
annexure,NN,O
a,DT,O
attached,VBN,B-LEGAL
to,TO,O
and,CC,O
forming,VBG,O
part,NN,O
of,IN,O
this,DT,O
agreement,NN,B-LEGAL
for,IN,O
the,DT,O
sake,NN,O
of,IN,O
easier,JJR,O
operation,NN,O
of,IN,O
the,DT,O
