ts,NN,O
thakur,NN,O
cji,VBZ,O
1,CD,O
a,DT,O
three,CD,O
judge,NN,O
bench,NN,O
of,IN,O
this,DT,O
court,NN,O
has,VBZ,O
by,IN,O
an,DT,O
order,NN,O
dated,VBD,O
21st,CD,O
april,NN,O
2015,CD,O
referred,VBD,O
these,DT,O
transfer,NN,O
petitions,NNS,O
to,TO,O
a,DT,O
constitution,NN,O
bench,NN,O
to,TO,O
examine,VB,O
whether,IN,O
this,DT,O
court,NN,O
has,VBZ,O
the,DT,O
power,NN,O
to,TO,O
transfer,VB,O
a,DT,O
civil,JJ,O
or,CC,O
criminal,JJ,O
case,NN,O
pending,VBG,O
in,IN,O
any,DT,O
court,NN,O
in,IN,O
the,DT,O
state,NN,O
of,IN,O
jammu,NN,O
and,CC,O
kashmir,NN,O
to,TO,O
a,DT,O
court,NN,O
outside,IN,O
that,DT,O
state,NN,O
and,CC,O
vice,NN,O
versa,NN,O
out,IN,O
of,IN,O
thirteen,JJ,O
transfer,NN,O
petitions,NNS,O
placed,VBD,O
before,IN,O
us,PRP,O
pursuant,VBP,O
to,TO,O
the,DT,O
reference,NN,O
order,NN,O
eleven,RB,O
seek,JJ,O
transfer,NN,O
of,IN,O
civil,JJ,O
cases,NNS,O
from,IN,O
or,CC,O
to,TO,O
the,DT,O
state,NN,O
of,IN,O
jammu,NN,O
and,CC,O
kashmir,NN,O
while,IN,O
the,DT,O
remaining,VBG,O
two,CD,O
seek,JJ,O
transfer,NN,O
of,IN,O
criminal,JJ,O
cases,NNS,O
from,IN,O
the,DT,O
state,NN,O
to,TO,O
courts,NNS,O
outside,IN,O
that,DT,O
state,NN,O
2,CD,O
the,DT,O
transfer,NN,O
petitions,NNS,O
are,VBP,O
opposed,VBN,O
by,IN,O
the,DT,O
respondents,NNS,O
inter,VBP,O
alia,NNS,O
on,IN,O
the,DT,O
ground,NN,O
that,IN,O
the,DT,O
provisions,NNS,O
of,IN,O
section,NN,O
25,CD,O
of,IN,O
the,DT,O
code,NN,O
of,IN,O
civil,JJ,O
procedure,NN,O
and,CC,O
section,NN,O
406,CD,O
of,IN,O
the,DT,O
code,NN,O
of,IN,O
criminal,JJ,O
procedure,NN,O
which,WDT,O
empower,VBP,O
this,DT,O
court,NN,O
to,TO,O
direct,VB,O
transfer,NN,O
of,IN,O
civil,JJ,O
and,CC,O
criminal,JJ,O
cases,NNS,O
respectively,RB,O
from,IN,O
one,CD,O
state,NN,O
to,TO,O
the,DT,O
other,JJ,O
do,VBP,O
not,RB,O
extend,VB,O
to,TO,O
the,DT,O
state,NN,O
of,IN,O
jammu,NN,O
and,CC,O
kashmir,NN,O
and,CC,O
cannot,MD,O
therefore,RB,O
be,RB,O
invoked,VB,O
to,VBN,O
direct,TO,O
any,VB,O
such,DT,O
transfer,JJ,O
the,NN,O
transfer,DT,O
petitions,NN,O
are,NNS,O
also,VBP,O
opposed,RB,O
on,VBN,O
the,IN,O
ground,DT,O
that,NN,O
the,IN,O
jammu,DT,O
and,NN,O
kashmir,CC,O
code,VB,O
of,NN,O
civil,IN,O
procedure,JJ,O
1977,NN,O
and,CD,O
the,CC,O
jammu,DT,O
and,NN,O
kashmir,CC,O
code,VB,O
of,NN,O
criminal,IN,O
procedure,JJ,O
1989,NN,O
do,CD,O
not,VBP,O
contain,RB,O
any,VB,O
provision,DT,O
empowering,NN,O
the,VBG,O
supreme,DT,O
court,JJ,O
to,NN,O
direct,TO,O
transfer,VB,O
of,NN,O
any,IN,O
case,DT,O
from,NN,O
that,IN,O
state,DT,O
to,NN,O
a,TO,O
court,DT,O
outside,NN,O
the,IN,O
state,DT,O
or,NN,O
vice,CC,O
versa,NN,O
it,NN,O
is,PRP,O
also,VBZ,O
contended,RB,O
on,VBN,O
behalf,IN,O
of,NN,O
the,IN,O
respondents,DT,O
that,NNS,O
in,WDT,O
the,IN,O
absence,DT,O
of,NN,O
any,IN,O
provision,DT,O
empowering,NN,O
this,VBG,O
court,DT,O
to,NN,O
direct,TO,O
transfer,VB,O
of,NN,O
civil,IN,O
or,JJ,O
criminal,CC,O
cases,JJ,O
from,NNS,O
or,IN,O
to,CC,O
the,TO,O
state,DT,O
of,NN,O
jammu,IN,O
and,NN,O
kashmir,CC,O
no,VB,O
such,DT,O
power,JJ,O
can,NN,O
be,MD,O
invoked,VB,O
or,VBN,O
exercised,CC,O
by,VBN,O
this,IN,O
court,DT,O
it,NN,O
is,PRP,O
further,VBZ,O
urged,RBR,O
that,VBD,O
the,IN,O
provisions,DT,O
of,NNS,O
article,IN,O
139a,NN,O
of,CD,O
the,IN,O
constitution,DT,O
which,NN,O
empowers,WDT,O
this,VBZ,O
court,DT,O
to,NN,O
transfer,TO,O
a,VB,O
case,DT,O
pending,NN,O
before,VBG,O
one,IN,O
high,CD,O
court,JJ,O
to,NN,O
itself,TO,O
or,PRP,O
to,CC,O
another,TO,O
high,DT,O
court,JJ,O
also,NN,O
has,RB,O
no,VBZ,O
application,DT,O
to,NN,O
the,TO,O
cases,DT,O
at,NNS,O
hand,IN,O
as,NN,O
the,IN,O
constitution,DT,O
42nd,NN,O
amendment,CD,O
act,NN,O
1977,NN,O
which,CD,O
inserted,WDT,O
the,VBD,O
said,DT,O
provision,VBD,O
itself,NN,O
has,PRP,O
no,VBZ,O
application,DT,O
to,NN,O
the,TO,O
state,DT,O
of,NN,O
jammu,IN,O
and,NN,O
kashmir,CC,O
it,VB,O
is,PRP,O
argued,VBZ,O
that,VBN,O
in,IN,O
the,IN,O
absence,DT,O
of,NN,O
any,IN,O
enabling,DT,O
provision,VBG,O
in,NN,O
the,IN,O
code,DT,O
of,NN,O
civil,IN,O
and,JJ,O
criminal,CC,O
procedure,JJ,O
or,NN,O
in,CC,O
the,IN,O
constitution,DT,B-LEGAL
of,NN,I-LEGAL
india,IN,I-LEGAL
or,NN,O
the,CC,O
state,DT,O
constitution,NN,O
for,NN,O
that,IN,O
matter,DT,O
a,NN,O
litigant,DT,O
has,NN,O
no,VBZ,O
right,DT,O
to,NN,O
seek,TO,O
transfer,VB,O
of,NN,O
a,IN,O
civil,DT,O
or,JJ,O
a,CC,O
criminal,DT,O
case,JJ,O
pending,NN,O
in,VBG,O
the,IN,O
state,DT,O
of,NN,O
jammu,IN,O
and,NN,O
kashmir,CC,O
to,NN,O
a,TO,O
court,DT,O
outside,NN,O
the,IN,O
state,DT,O
or,NN,O
vice,CC,O
versa,NN,O
3,RB,O
on,CD,O
behalf,IN,O
of,NN,O
the,IN,O
petitioners,DT,O
it,NNS,O
was,PRP,O
on,VBD,O
the,IN,O
other,DT,O
hand,JJ,O
submitted,NN,O
that,VBD,O
while,IN,O
sections,IN,O
25,NNS,O
of,CD,O
the,IN,O
code,DT,O
of,NN,O
civil,IN,O
procedure,JJ,O
and,NN,O
406,CC,O
of,CD,O
code,IN,O
of,NN,O
criminal,IN,O
procedure,JJ,O
as,NN,O
applicable,IN,O
to,JJ,O
the,TO,O
rest,DT,O
of,NN,O
the,IN,O
country,DT,O
have,NN,O
no,VBP,O
application,DT,O
to,NN,O
the,TO,O
state,DT,O
of,NN,O
jammu,IN,O
and,NN,O
kashmir,CC,O
there,VB,O
was,EX,O
no,VBD,O
specific,DT,O
or,NN,O
implied,CC,O
prohibition,JJ,O
in,NN,O
the,IN,O
said,DT,O
two,VBD,O
codes,CD,O
against,NNS,O
the,IN,O
exercise,DT,O
of,NN,O
power,IN,O
of,NN,O
transfer,IN,O
by,NN,O
the,IN,O
supreme,DT,O
court,JJ,O
under,NN,O
the,IN,O
constitution,DT,O
or,NN,O
under,CC,O
any,IN,O
other,DT,O
provision,JJ,O
of,NN,O
the,IN,O
law,DT,O
whatsoever,NN,O
it,IN,O
was,PRP,O
urged,VBD,O
that,VBN,O
inapplicability,IN,O
of,NN,O
the,IN,O
central,DT,O
civil,JJ,O
and,JJ,O
or,CC,O
code,CC,O
of,NN,O
criminal,IN,O
procedure,JJ,O
to,NN,O
the,TO,O
state,DT,O
of,NN,O
jammu,IN,O
and,NN,O
kashmir,CC,O
or,NN,O
the,CC,O
absence,DT,O
of,NN,O
an,IN,O
enabling,DT,O
provision,VBG,O
in,NN,O
the,IN,O
state,DT,O
code,NN,O
of,NN,O
civil,IN,O
and,JJ,O
or,CC,O
criminal,CC,O
procedure,JJ,O
does,NN,O
not,VBZ,O
necessarily,RB,O
imply,RB,O
that,VB,O
this,IN,O
court,DT,O
cannot,NN,O
exercise,MD,O
the,RB,O
power,VB,O
of,DT,O
transfer,NN,O
if,IN,O
the,NN,O
same,IN,O
is,DT,O
otherwise,JJ,O
available,VBZ,O
under,RB,O
the,JJ,O
provisions,IN,O
of,DT,O
the,NNS,O
constitution,IN,O
so,DT,O
also,NN,O
the,RB,O
inapplicability,RB,O
of,DT,O
article,NN,O
139a,IN,O
to,NN,O
the,CD,O
state,TO,O
of,DT,O
jammu,NN,O
and,IN,O
kashmir,NN,O
by,CC,O
reason,NN,O
of,IN,O
non,NN,O
extension,IN,O
of,JJ,O
the,NN,O
constitution,IN,O
42nd,DT,O
amendment,NN,O
act,CD,O
to,NN,O
that,NN,O
state,TO,O
does,DT,O
not,NN,O
constitute,VBZ,O
a,RB,O
disability,VB,O
leave,DT,O
alone,NN,O
a,VBP,O
prohibition,RB,O
against,DT,O
the,NN,O
exercise,IN,O
of,DT,O
the,NN,O
power,IN,O
of,DT,O
transfer,NN,O
if,IN,O
such,NN,O
power,IN,O
could,JJ,O
otherwise,NN,O
be,MD,O
traced,RB,O
to,VB,O
any,VBN,O
other,TO,O
source,DT,O
within,JJ,O
constitutional,NN,O
framework,IN,O
4,JJ,O
the,NN,O
code,CD,O
of,DT,O
civil,NN,O
procedure,IN,O
1908,JJ,O
and,NN,O
so,CD,O
also,CC,O
the,RB,O
code,RB,O
of,DT,O
criminal,NN,O
procedure,IN,O
1973,JJ,O
hereinafter,NN,O
referred,CD,O
to,NN,O
as,VBD,O
central,TO,O
codes,IN,O
as,JJ,O
applicable,NNS,O
to,IN,O
the,JJ,O
rest,TO,O
of,DT,O
the,NN,O
country,IN,O
specifically,DT,O
exclude,NN,O
the,RB,O
application,VBP,O
thereof,DT,O
to,NN,O
the,NN,O
state,TO,O
of,DT,O
jammu,NN,O
and,IN,O
kashmir,NN,O
this,CC,O
is,VB,O
evident,DT,O
from,VBZ,O
section,JJ,O
1,IN,O
of,NN,O
code,CD,O
of,IN,O
civil,NN,O
procedure,IN,O
1908,JJ,O
which,NN,O
deals,CD,O
with,WDT,O
short,NNS,O
title,IN,O
commencement,JJ,O
and,NN,O
extent,NN,O
reads,CC,O
1,NN,O
short,NNS,O
title,CD,O
commencement,JJ,O
and,NN,O
extent,NN,O
1,CC,O
this,NN,O
act,CD,O
may,DT,O
be,NN,O
cited,MD,O
as,VB,O
the,VBN,O
code,IN,O
of,DT,O
civil,NN,O
procedure,IN,O
1908,JJ,O
2,NN,O
it,CD,O
shall,CD,O
come,PRP,O
into,MD,O
force,VB,O
on,IN,O
the,NN,O
first,IN,O
day,DT,O
of,JJ,O
january,NN,O
1909,IN,O
2,JJ,O
3,CD,O
it,CD,O
extends,CD,O
to,PRP,O
the,VBZ,O
whole,TO,O
of,DT,O
india,NN,O
except,IN,O
a,NN,O
the,IN,O
state,DT,O
of,DT,O
jammu,NN,O
and,IN,O
kashmir,NN,O
b,CC,O
the,NN,O
state,VBP,O
of,DT,O
nagaland,NN,O
and,IN,O
the,NN,O
tribal,CC,O
areas,DT,O
provided,JJ,O
that,NNS,O
the,VBD,O
state,IN,O
government,DT,O
concerned,NN,O
may,NN,O
by,VBD,O
notification,MD,O
in,IN,O
the,NN,O
official,IN,O
gazette,DT,O
extend,JJ,O
the,NN,O
provisions,VBP,O
of,DT,O
this,NNS,O
code,IN,O
or,DT,O
any,NN,O
of,CC,O
them,DT,O
to,IN,O
the,PRP,O
whole,TO,O
or,DT,O
part,NN,O
of,CC,O
the,NN,O
state,IN,O
of,DT,O
nagaland,NN,O
or,IN,O
such,NN,O
tribal,CC,O
areas,JJ,O
as,JJ,O
the,NNS,O
case,IN,O
may,DT,O
be,NN,O
with,MD,O
such,VB,O
supplemental,IN,O
incidental,JJ,O
or,JJ,O
consequential,NN,O
modifications,CC,O
as,JJ,O
may,NNS,O
be,IN,O
specified,MD,O
in,VB,O
the,VBN,O
notification,IN,O
explanation,DT,O
in,NN,O
this,NN,O
clause,IN,O
tribal,DT,O
areas,NN,O
means,JJ,O
the,NNS,O
territories,VBZ,O
which,DT,O
immediately,NNS,O
before,WDT,O
the,RB,O
21st,IN,O
day,DT,O
of,CD,O
january,NN,O
1972,IN,O
were,JJ,O
included,CD,O
in,VBD,O
the,VBN,O
tribal,IN,O
areas,DT,O
of,JJ,O
assam,NNS,O
as,IN,O
referred,NN,O
to,IN,O
in,VBN,O
paragraph,TO,O
20,IN,O
of,JJ,O
the,CD,O
sixth,IN,O
schedule,DT,O
to,JJ,O
the,NN,O
constitution,TO,O
4,DT,O
in,NN,O
relation,CD,O
to,IN,O
the,NN,O
amindivi,TO,O
islands,DT,O
and,NN,O
the,NNS,O
east,CC,O
godavari,DT,O
west,JJ,O
godavari,NN,O
and,NN,O
visakhapatnam,NN,O
agencies,CC,O
in,NN,O
the,NNS,O
state,IN,O
of,DT,O
andhra,NN,O
pradesh,IN,O
and,NN,O
the,NN,O
union,CC,O
territory,DT,O
of,NN,O
lakshadweep,NN,O
the,IN,O
application,NN,O
of,DT,O
this,NN,O
code,IN,O
shall,DT,O
be,NN,O
without,MD,B-LEGAL
prejudice,VB,I-LEGAL
to,IN,O
the,NN,O
application,TO,O
of,DT,O
any,NN,O
rule,IN,O
or,DT,O
regulation,NN,O
for,CC,O
the,NN,O
time,IN,O
being,DT,O
in,NN,O
force,VBG,O
in,IN,O
such,NN,O
islands,IN,O
agencies,JJ,O
or,NNS,O
such,NNS,O
union,CC,O
territory,JJ,O
as,NN,O
the,NN,O
case,IN,O
may,DT,O
be,NN,O
relating,MD,O
to,VB,O
the,VBG,O
application,TO,O
of,DT,O
this,NN,O
code,IN,O
emphasis,DT,O
supplied,NN,O
5,NN,O
to,VBD,O
the,CD,O
same,TO,O
effect,DT,O
is,JJ,O
section,NN,O
1,VBZ,O
of,JJ,O
the,CD,O
code,IN,O
of,DT,O
criminal,NN,O
procedure,IN,O
1973,JJ,O
which,NN,O
reads,CD,O
as,WDT,O
under,VBZ,O
short,IN,O
title,IN,O
extent,JJ,O
and,NN,O
commencement,NN,O
1,CC,O
short,NN,O
title,CD,O
extent,JJ,O
and,NN,O
commencement,NN,O
1,CC,O
this,NN,O
act,CD,O
may,DT,O
be,NN,O
called,MD,O
the,VB,O
code,VBN,O
of,DT,O
criminal,NN,O
procedure,IN,O
1973,JJ,O
2,NN,O
it,CD,O
extends,CD,O
to,PRP,O
the,VBZ,O
whole,TO,O
of,DT,O
india,NN,O
except,IN,O
the,NN,O
state,IN,O
of,DT,O
jammu,NN,O
and,IN,O
kashmir,NN,O
provided,CC,O
that,NN,O
the,VBD,O
provisions,IN,O
of,DT,O
this,NNS,O
code,IN,O
other,DT,O
than,NN,O
those,JJ,O
relating,IN,O
to,DT,O
chapters,VBG,O
viii,TO,O
x,NNS,O
and,FW,O
xi,NN,O
thereof,CC,O
shall,JJ,O
not,NN,O
apply,MD,O
a,RB,O
to,VB,O
the,DT,O
state,TO,O
of,DT,O
nagaland,NN,O
b,IN,O
to,NN,O
the,NN,O
tribal,TO,O
areas,DT,O
but,JJ,O
the,NNS,O
concerned,CC,O
state,DT,O
government,JJ,O
may,NN,O
by,NN,O
notification,MD,O
apply,IN,O
such,NN,O
provisions,NN,O
or,JJ,O
any,NNS,O
of,CC,O
them,DT,O
to,IN,O
the,PRP,O
whole,TO,O
or,DT,O
part,NN,O
of,CC,O
the,NN,O
state,IN,O
of,DT,O
nagaland,NN,O
or,IN,O
such,NN,O
tribal,CC,O
areas,JJ,O
as,JJ,O
the,NNS,O
case,IN,O
may,DT,O
be,NN,O
with,MD,O
such,VB,O
supplemental,IN,O
incidental,JJ,O
or,JJ,O
consequential,NN,O
modifications,CC,O
as,JJ,O
may,NNS,O
be,IN,O
specified,MD,O
in,VB,O
the,VBN,O
notification,IN,O
explanation,DT,O
in,NN,O
this,NN,O
section,IN,O
tribal,DT,O
areas,NN,O
means,VBZ,O
the,NNS,O
territories,VBZ,O
which,DT,O
immediately,NNS,O
before,WDT,O
the,RB,O
21st,IN,O
day,DT,O
of,CD,O
january,NN,O
1972,IN,O
were,JJ,O
included,CD,O
in,VBD,O
the,VBN,O
tribal,IN,O
areas,DT,O
of,JJ,O
assam,NNS,O
as,IN,O
referred,NN,O
to,IN,O
in,VBN,O
paragraph,TO,O
20,IN,O
of,JJ,O
the,CD,O
sixth,IN,O
schedule,DT,O
to,JJ,O
the,NN,O
constitution,TO,O
other,DT,O
than,NN,O
those,JJ,O
within,IN,O
the,DT,O
local,IN,O
limits,DT,O
of,JJ,O
the,NNS,O
municipality,IN,O
of,DT,O
shillong,NN,O
emphasis,IN,O
supplied,JJ,O
6,NN,O
learned,VBD,O
