js,NN,O
khehar,VBD,O
j,$,O
1,CD,O
it,PRP,O
is,VBZ,O
not,RB,O
a,DT,O
matter,NN,O
of,IN,O
dispute,NN,O
that,IN,O
the,DT,O
conditions,NNS,O
of,IN,O
service,NN,O
including,VBG,O
the,DT,O
manner,NN,O
and,CC,O
method,NN,O
of,IN,O
determining,VBG,O
seniority,NN,B-LEGAL
in,IN,O
the,DT,O
cadre,NN,O
of,IN,O
sub,JJ,O
inspectors,NNS,O
of,IN,O
police,NN,O
in,IN,O
the,DT,O
state,NN,O
of,IN,O
andhra,NN,O
pradesh,NN,O
are,VBP,O
regulated,VBN,O
by,IN,O
the,DT,O
andhra,NN,O
pradesh,JJ,O
police,NN,O
civil,JJ,O
subordinate,NN,B-LEGAL
service,NN,I-LEGAL
rules,NNS,O
hereinafter,RB,O
referred,VBD,O
to,TO,O
as,IN,O
the,DT,O
service,NN,O
rules,NNS,O
notified,VBN,O
on,IN,O
2681959,CD,O
read,NN,O
with,IN,O
the,DT,O
special,JJ,O
rules,NNS,O
notified,VBN,O
on,IN,O
14121990,CD,O
learned,JJ,O
counsel,NN,O
for,IN,O
the,DT,O
rival,JJ,O
parties,NNS,O
are,VBP,O
agreed,VBN,O
that,IN,O
the,DT,O
issue,NN,O
of,IN,O
seniority,NN,B-LEGAL
which,WDT,O
is,VBZ,O
the,DT,O
pointed,JJ,O
issue,NN,O
of,IN,O
dispute,NN,O
between,IN,O
the,DT,O
rival,JJ,O
parties,NNS,O
in,IN,O
the,DT,O
present,JJ,O
appeals,NNS,O
is,VBZ,O
to,TO,O
be,VB,O
determined,VBN,O
under,IN,O
rule,NN,O
15,CD,O
of,IN,O
the,DT,O
said,VBD,O
rules,NNS,O
which,WDT,O
is,VBZ,O
extracted,VBN,O
hereunder,NN,O
15,CD,O
seniority,NN,B-LEGAL
a,DT,O
the,DT,O
seniority,NN,B-LEGAL
of,IN,O
a,DT,O
person,NN,O
in,IN,O
the,DT,O
class,NN,O
or,CC,O
category,NN,O
or,CC,O
grade,VB,O
shall,MD,O
unless,IN,O
he,PRP,O
has,VBZ,O
been,VBN,O
reduced,VBN,O
to,TO,O
lower,JJR,O
rank,NN,O
as,IN,O
a,DT,O
punishment,NN,O
be,VB,O
determined,VBN,O
by,IN,O
the,DT,O
date,NN,O
of,IN,O
his,PRP$,O
first,JJ,O
appointment,NN,B-LEGAL
to,TO,O
such,JJ,O
class,NN,O
or,CC,O
category,NN,O
or,CC,O
grade,VB,O
if,IN,O
any,DT,O
portion,NN,O
of,IN,O
the,DT,O
service,NN,O
of,IN,O
such,JJ,O
person,NN,O
does,VBZ,O
not,RB,O
count,VB,O
towards,NNS,O
his,PRP$,O
probation,NN,B-LEGAL
under,IN,O
the,DT,O
general,JJ,O
rules,NNS,O
his,PRP$,O
seniority,NN,B-LEGAL
shall,MD,O
be,VB,O
determined,VBN,O
by,IN,O
the,DT,O
date,NN,O
of,IN,O
commencement,NN,O
of,IN,O
his,PRP$,O
service,NN,O
which,WDT,O
counts,VBZ,O
towards,NNS,O
probation,NN,B-LEGAL
provided,VBD,O
that,IN,O
in,IN,O
the,DT,O
case,NN,O
of,IN,O
sub,NN,O
inspectors,NNS,O
sub,VBP,O
inspectors,NNS,O
of,IN,O
police,NN,O
intelligence,NN,O
and,CC,O
reserve,NN,O
sub,NN,O
inspectors,VBZ,O
the,DT,O
seniority,NN,B-LEGAL
inter,NN,O
se,VBD,O
shall,MD,O
be,VB,O
fixed,VBN,O
on,IN,O
completion,NN,O
of,IN,O
training,NN,O
in,IN,O
the,DT,O
police,NN,O
training,NN,O
college,NN,O
or,CC,O
with,IN,O
the,DT,O
andhra,NN,O
pradesh,JJ,O
special,JJ,O
police,NN,O
as,IN,O
the,DT,O
case,NN,O
may,MD,O
be,VB,O
instead,RB,O
of,IN,O
at,IN,O
the,DT,O
time,NN,O
of,IN,O
selection,NN,O
in,IN,O
accordance,NN,O
with,IN,O
the,DT,O
list,NN,O
which,WDT,O
shall,MD,O
be,VB,O
arranged,VBN,O
in,IN,O
order,NN,O
of,IN,O
merit,NN,O
which,WDT,O
shall,MD,O
be,VB,O
determined,VBN,O
in,IN,O
accordance,NN,O
with,IN,O
the,DT,O
aggregate,NN,O
of,IN,O
marks,NNS,O
obtained,VBN,O
by,IN,O
each,DT,O
probationer,NN,B-LEGAL
i,NN,O
in,IN,O
respect,NN,O
of,IN,O
his,PRP$,O
record,NN,O
in,IN,O
the,DT,O
police,NN,O
training,NN,O
college,NN,O
or,CC,O
with,IN,O
the,DT,O
andhra,NN,O
pradesh,JJ,O
special,JJ,O
police,NN,O
as,IN,O
the,DT,O
case,NN,O
may,MD,O
be,VB,O
and,CC,O
ii,VB,O
at,IN,O
the,DT,O
final,JJ,O
examination,NN,O
in,IN,O
determining,VBG,O
such,JJ,O
order,NN,O
of,IN,O
merit,NN,O
no,DT,O
account,NN,O
shall,MD,O
be,VB,O
taken,VBN,O
of,IN,O
marks,NNS,O
awarded,VBN,O
to,TO,O
a,DT,O
probationer,NN,B-LEGAL
in,IN,O
any,DT,O
subject,NN,O
in,IN,O
which,WDT,O
he,PRP,O
has,VBZ,O
failed,VBN,O
but,CC,O
such,JJ,O
seniority,NN,B-LEGAL
shall,MD,O
be,VB,O
liable,JJ,O
to,TO,O
revision,NN,O
by,IN,O
the,DT,O
deputy,NN,O
inspector,NN,O
general,NN,O
of,IN,O
police,NN,O
concerned,VBN,O
if,IN,O
he,PRP,O
considers,VBZ,O
it,PRP,O
necessary,JJ,O
before,IN,O
completion,NN,O
of,IN,O
probation,NN,B-LEGAL
this,DT,O
sub,NN,O
rule,NN,O
shall,MD,O
not,RB,O
affect,VB,O
the,DT,O
seniority,NN,B-LEGAL
of,IN,O
any,DT,O
members,NNS,O
of,IN,O
the,DT,O
service,NN,O
which,WDT,O
may,MD,O
have,VB,O
been,VBN,O
fixed,VBN,O
expressly,RB,O
or,CC,O
by,IN,O
implication,NN,O
before,IN,O
the,DT,O
19th,CD,O
november,JJ,O
1941,CD,O
or,CC,O
any,DT,O
orders,NNS,O
as,IN,O
to,TO,O
seniority,NN,B-LEGAL
which,WDT,O
may,MD,O
have,VB,O
been,VBN,O
passed,VBN,O
by,IN,O
competent,JJ,B-LEGAL
authority,NN,I-LEGAL
before,IN,O
the,DT,O
19th,CD,O
november,NN,O
1941,CD,O
provided,VBD,O
that,IN,O
in,IN,O
the,DT,O
case,NN,O
of,IN,O
directly,RB,O
recruited,VBN,O
sub,JJ,O
inspectors,NNS,O
of,IN,O
police,NN,O
intelligence,NN,O
the,DT,O
inter,NN,O
se,NN,O
seniority,NN,B-LEGAL
shall,MD,O
be,VB,O
fixed,VBN,O
on,IN,O
completion,NN,O
of,IN,O
training,VBG,O
the,DT,O
police,NN,O
training,NN,O
college,NN,O
andhra,NN,O
pradesh,JJ,O
police,NNS,O
academy,VBP,O
instead,RB,O
of,IN,O
at,IN,O
the,DT,O
time,NN,O
of,IN,O
selection,NN,O
in,IN,O
accordance,NN,O
with,IN,O
the,DT,O
list,NN,O
which,WDT,O
shall,MD,O
be,VB,O
arranged,VBN,O
in,IN,O
order,NN,O
of,IN,O
merit,NN,O
which,WDT,O
shall,MD,O
be,VB,O
determined,VBN,O
in,IN,O
accordance,NN,O
with,IN,O
the,DT,O
aggregate,NN,O
of,IN,O
marks,NNS,O
obtained,VBN,O
by,IN,O
each,DT,O
probationer,NN,B-LEGAL
in,IN,O
the,DT,O
tests,NNS,O
and,CC,O
examinations,NNS,O
prescribed,VBN,O
for,IN,O
them,PRP,O
in,IN,O
the,DT,O
training,NN,O
modules,NNS,O
conducted,VBN,O
at,IN,O
these,DT,O
institutions,NNS,O
the,DT,O
seniority,NN,B-LEGAL
of,IN,O
the,DT,O
sub,JJ,O
inspectors,NNS,O
of,IN,O
police,NN,O
intelligence,NN,O
appointed,VBN,O
by,IN,O
transfer,NN,B-LEGAL
from,IN,O
among,IN,O
sub,JJ,O
inspectors,NNS,O
of,IN,O
police,NN,O
civil,JJ,O
or,CC,O
equivalent,JJ,O
ranks,NNS,O
of,IN,O
this,DT,O
service,NN,O
carrying,VBG,O
the,DT,O
same,JJ,O
scale,NN,B-LEGAL
of,IN,I-LEGAL
pay,NN,I-LEGAL
shall,MD,O
not,RB,O
be,VB,O
treated,VBN,O
as,IN,O
