sn,NN,O
variava,NN,O
j,NN,O
1,CD,O
leave,NN,O
granted,VBN,O
2,CD,O
these,DT,O
appeals,NNS,O
are,VBP,O
against,IN,O
the,DT,O
judgment,NN,O
dated,VBD,O
27th,CD,O
march,NN,O
2001,CD,O
briefly,NN,O
stated,VBD,O
the,DT,O
facts,NNS,O
are,VBP,O
as,IN,O
follows,VBZ,O
on,IN,O
20th,CD,O
january,JJ,O
2000,CD,O
the,DT,O
election,NN,O
for,IN,O
the,DT,O
post,NN,O
of,IN,O
sarpanch,JJ,O
gram,NN,O
panchayat,NN,O
ringnodiya,NN,O
indore,NN,O
was,VBD,O
held,VBN,O
after,IN,O
the,DT,O
counting,NN,B-LEGAL
of,IN,O
the,DT,O
votes,NNS,O
the,DT,O
appellant,NN,O
was,VBD,O
orally,RB,O
informed,VBN,O
that,IN,O
he,PRP,O
had,VBD,O
won,VBN,O
the,DT,O
elections,NNS,O
however,RB,O
when,WRB,O
the,DT,O
result,NN,O
was,VBD,O
officially,RB,O
declared,VBN,O
respondent,NN,O
no,DT,O
1,CD,O
was,VBD,O
shown,VBN,O
to,TO,O
have,VB,O
won,VBN,O
the,DT,O
returning,VBG,B-LEGAL
officer,NN,I-LEGAL
then,RB,O
issued,VBD,O
a,DT,O
certificate,NN,B-LEGAL
showing,NN,O
that,WDT,O
respondent,VBD,O
no,DT,O
1,CD,O
had,VBD,O
won,VBN,O
3,CD,O
the,DT,O
appellant,NN,O
therefore,NN,O
filed,VBD,O
an,DT,O
election,NN,O
petition,NN,O
before,IN,O
the,DT,O
sub,JJ,O
divisional,JJ,O
officer,NN,O
respondent,NN,O
no,DT,O
1,CD,O
evaded,VBD,O
services,NNS,O
by,IN,O
an,DT,O
ex,NN,O
parte,NN,O
order,NN,O
the,DT,O
sub,JJ,O
divisional,JJ,O
officer,NN,O
directed,VBD,O
recounting,NN,B-LEGAL
of,IN,O
ballot,NN,O
papers,NNS,O
on,IN,O
such,JJ,O
recounting,VBG,B-LEGAL
it,PRP,O
was,VBD,O
found,VBN,O
that,IN,O
in,IN,O
respect,NN,O
of,IN,O
booth,JJ,O
no,DT,O
151,CD,O
the,DT,O
votes,NNS,O
polled,VBN,O
in,IN,O
favour,NN,O
of,IN,O
the,DT,O
appellant,NN,O
had,VBD,O
been,VBN,O
erroneously,RB,O
shown,VBN,O
as,IN,O
having,VBG,O
been,VBN,O
polled,VBN,O
in,IN,O
favour,NN,O
of,IN,O
respondent,NN,O
no,DT,O
4,CD,O
on,IN,O
a,DT,O
recounting,NN,B-LEGAL
of,IN,O
the,DT,O
votes,NNS,O
it,PRP,O
was,VBD,O
found,VBN,O
that,IN,O
the,DT,O
appellant,NN,O
had,VBD,O
won,VBN,O
the,DT,O
sub,JJ,O
divisional,JJ,O
officer,NN,O
therefore,RB,O
corrected,VBD,O
the,DT,O
mistake,NN,O
by,IN,O
order,NN,O
dated,VBD,O
3rd,CD,O
february,JJ,O
2000,CD,O
and,CC,O
declared,VBD,O
the,DT,O
appellant,NN,O
to,TO,O
have,VB,O
won,VBN,O
the,DT,O
election,NN,O
4,CD,O
against,IN,O
the,DT,O
order,NN,O
of,IN,O
the,DT,O
sub,JJ,O
divisional,JJ,O
officer,NN,O
respondent,NN,O
no,DT,O
1,CD,O
filed,VBD,O
a,DT,O
writ,NN,O
petition,NN,O
in,IN,O
the,DT,O
high,JJ,O
court,NN,O
on,IN,O
23rd,CD,O
february,JJ,O
2000,CD,O
the,DT,O
high,JJ,O
court,NN,O
disposed,VBD,O
of,IN,O
the,DT,O
writ,NN,O
petition,NN,O
by,IN,O
remanding,VBG,O
the,DT,O
matter,NN,O
back,RB,O
to,TO,O
sub,VB,O
divisional,JJ,O
officer,NN,O
the,DT,O
sub,JJ,O
divisional,JJ,O
officer,NN,O
thereafter,RB,O
heard,VBD,O
all,DT,O
parties,NNS,O
and,CC,O
again,RB,O
passed,VBD,O
an,DT,O
order,NN,O
to,TO,O
recount,VB,O
on,IN,O
a,DT,O
second,JJ,O
recount,NN,O
it,PRP,O
was,VBD,O
again,RB,O
found,VBN,O
that,IN,O
the,DT,O
votes,NNS,O
polled,VBN,O
in,IN,O
favour,NN,O
of,IN,O
the,DT,O
appellant,NN,O
had,VBD,O
been,VBN,O
erroneously,RB,O
shown,VBN,O
as,IN,O
having,VBG,O
been,VBN,O
polled,VBN,O
in,IN,O
favour,NN,O
of,IN,O
respondent,NN,O
no,DT,O
4,CD,O
thus,RB,O
the,DT,O
sub,JJ,O
divisional,JJ,O
officer,NN,O
again,RB,O
corrected,VBD,O
the,DT,O
results,NNS,O
and,CC,O
declared,VBD,O
the,DT,O
appellant,NN,O
as,IN,O
having,VBG,O
won,VBD,O
the,DT,O
elections,NNS,O
5,CD,O
the,DT,O
1st,CD,O
respondent,NN,O
again,RB,O
filed,VBD,O
a,DT,O
writ,NN,O
petition,NN,O
before,IN,O
the,DT,O
high,JJ,O
court,NN,O
this,DT,O
writ,NN,O
petition,NN,O
has,VBZ,O
been,VBN,O
allowed,VBN,O
by,IN,O
the,DT,O
impugned,JJ,O
judgment,NN,O
in,IN,O
the,DT,O
impugned,JJ,O
judgment,NN,O
the,DT,O
high,JJ,O
court,NN,O
was,VBD,O
followed,VBN,O
a,DT,O
decision,NN,O
of,IN,O
this,DT,O
court,NN,O
in,IN,O
the,DT,O
case,NN,O
of,IN,O
smt,NN,O
ram,NN,O
rati,NN,O
v,NN,O
saroj,NN,O
devi,NN,O
and,CC,O
ors,NNS,O
manu,VBP,O
sc,JJ,O
0797,CD,O
1997manu,CD,O
sc,NN,O
0797,CD,O
1997,CD,O
1997,CD,O
3scr1050,CD,O
in,IN,O
this,DT,O
decision,NN,O
it,PRP,O
has,VBZ,O
been,VBN,O
held,VBN,O
that,IN,O
unless,IN,O
a,DT,O
party,NN,O
first,JJ,O
applies,NNS,O
to,TO,O
the,DT,O
returning,VBG,B-LEGAL
officer,NN,I-LEGAL
for,IN,O
recounting,VBG,B-LEGAL
of,IN,O
votes,NNS,O
it,PRP,O
is,VBZ,O
not,RB,O
open,JJ,O
to,TO,O
the,DT,O
tribunal,NN,O
or,CC,O
the,DT,O
court,NN,O
to,TO,O
direct,VB,O
recounting,VBG,B-LEGAL
it,PRP,O
was,VBD,O
hold,VBN,O
that,IN,O
an,DT,O
application,NN,O
for,IN,O
recounting,VBG,B-LEGAL
in,IN,O
writing,VBG,O
to,TO,O
the,DT,O
returning,VBG,B-LEGAL
officer,NN,I-LEGAL
was,VBD,O
an,DT,O
essential,JJ,O
pre,NN,O
condition,NN,O
6,CD,O
based,VBN,O
on,IN,O
this,DT,O
authority,NN,O
the,DT,O
high,JJ,O
court,NN,O
set,VBD,O
aside,RB,O
the,DT,O
order,NN,O
of,IN,O
the,DT,O
sub,JJ,O
divisional,JJ,O
officer,NN,O
solely,RB,O
on,IN,O
the,DT,O
ground,NN,O
that,IN,O
the,DT,O
appellant,NN,O
had,VBD,O
not,RB,O
applied,VBN,O
to,TO,O
the,DT,O
returning,VBG,B-LEGAL
officer,NN,I-LEGAL
for,IN,O
recounting,VBG,B-LEGAL
the,DT,O
high,JJ,O
court,NN,O
did,VBD,O
not,RB,O
decide,VB,O
any,DT,O
other,JJ,O
points,NNS,O
raised,VBN,O
in,IN,O
the,DT,O
writ,NN,O
petition,NN,O
7,CD,O
when,WRB,O
these,DT,O
appeals,NNS,O
came,VBD,O
up,RP,O
before,IN,O
a,DT,O
bench,NN,O
of,IN,O
two,CD,O
judges,NNS,O
of,IN,O
this,DT,O
court,NN,O
they,PRP,O
had,VBD,O
reservation,NN,O
about,IN,O
the,DT,O
principle,NN,O
laid,VBD,O
down,RB,O
in,IN,O
ram,JJ,O
rati,NN,O
s,NN,O
case,NN,O
this,DT,O
matter,NN,O
was,VBD,O
therefore,RB,O
directed,VBN,O
to,TO,O
be,VB,O
placed,VBN,O
before,IN,O
a,DT,O
three,CD,O
judge,NN,O
bench,NN,O
it,PRP,O
has,VBZ,O
accordingly,RB,O
been,VBN,O
placed,VBN,O
before,IN,O
us,PRP,O
8,CD,O
in,IN,O
order,NN,O
to,TO,O
consider,VB,O
the,DT,O
correctness,NN,O
of,IN,O
the,DT,O
ratio,NN,O
laid,VBD,O
down,RB,O
in,IN,O
ram,JJ,O
rati,NN,O
s,NN,O
case,NN,O
it,PRP,O
is,VBZ,O
necessary,JJ,O
to,TO,O
see,VB,O
the,DT,O
provisions,NNS,O
of,IN,O
the,DT,O
mp,NN,O
panchayat,NN,O
raj,NN,O
avam,JJ,O
gram,NN,O
swaraj,NN,O
adhiniyam,NN,O
1993,CD,O
hereinafter,NN,O
called,VBD,O
the,DT,O
said,VBD,O
act,JJ,O
section,NN,O
43,CD,O
of,IN,O
the,DT,O
said,VBD,O
act,NN,O
empowers,NNS,O
the,DT,O
state,NN,O
government,NN,O
in,IN,O
consultation,NN,O
with,IN,O
the,DT,O
state,NN,O
election,NN,O
commission,NN,O
to,TO,O
make,VB,O
rules,NNS,O
for,IN,O
preparation,NN,O
of,IN,O
electoral,JJ,O
rolls,NNS,O
and,CC,O
conduct,NN,O
or,CC,O
all,DT,O
elections,NNS,O
section,NN,O
95,CD,O
further,JJ,O
empowers,NNS,O
the,DT,O
state,NN,O
government,NN,O
to,TO,O
make,VB,O
rules,NNS,O
for,IN,O
carrying,VBG,O
out,RP,O
the,DT,O
purposes,NNS,O
of,IN,O
the,DT,O
said,VBD,O
act,JJ,O
section,NN,O
122,CD,O
provides,VBZ,O
that,IN,O
an,DT,O
election,NN,O
can,MD,O
be,VB,O
called,VBN,O
in,IN,O
question,NN,O
only,RB,O
by,IN,O
a,DT,O
petition,NN,O
presented,VBN,O
in,IN,O
case,NN,O
of,IN,O
a,DT,O
gram,NN,O
panchayat,NN,O
to,TO,O
the,DT,O
sub,JJ,O
divisional,JJ,O
officer,NN,O
rule,NN,O
80,CD,O
reads,NNS,O
as,IN,O
follows,VBZ,O
80,CD,O
recount,NN,O
of,IN,O
votes,NNS,O
1,CD,O
after,IN,O
an,DT,O
announcement,NN,O
has,VBZ,O
been,VBN,O
made,VBN,O
by,IN,O
the,DT,O
returning,VBG,B-LEGAL
officer,NN,I-LEGAL
or,CC,O
such,JJ,O
other,JJ,O
officer,NN,O
authorised,VBN,O
by,IN,O
him,PRP,O
of,IN,O
the,DT,O
total,JJ,O
number,NN,O
of,IN,O
votes,NNS,O
polled,VBN,O
by,IN,O
each,DT,O
candidate,NN,O
under,IN,O
sub,NN,O
rule,NN,O
2,CD,O
of,IN,O
rule,NN,O
77,CD,O
