mb,NN,O
shah,VBD,O
j,JJ,O
1,CD,O
leave,VBP,O
granted,VBN,O
2,CD,O
appellant,NN,O
was,VBD,O
convicted,VBN,O
by,IN,O
the,DT,O
special,JJ,O
judge,NN,O
city,NN,O
civil,JJ,O
court,NN,O
ahmedabad,NN,O
by,IN,O
judgment,NN,O
and,CC,O
order,NN,O
dated,VBD,O
1091997,CD,O
for,IN,O
the,DT,O
offence,NN,O
punishable,JJ,O
under,IN,O
section,NN,O
7,CD,O
of,IN,O
the,DT,O
prevention,NN,B-LEGAL
of,IN,I-LEGAL
corruption,NN,I-LEGAL
act,NN,O
1988,CD,O
hereinafter,NN,O
referred,VBD,O
to,TO,O
as,IN,O
the,DT,O
act,NN,O
and,CC,O
sentenced,VBN,O
to,TO,O
suffer,VB,O
rigorous,JJ,B-LEGAL
imprisonment,NN,I-LEGAL
for,IN,O
six,CD,O
months,NNS,O
and,CC,O
to,TO,O
pay,VB,O
a,DT,O
fine,NN,O
of,IN,O
rs,NN,O
500,CD,O
in,IN,O
default,NN,O
of,IN,O
payment,NN,O
of,IN,O
which,WDT,O
to,TO,O
further,RBR,O
undergo,RB,O
rigorous,JJ,B-LEGAL
imprisonment,NN,I-LEGAL
for,IN,O
15,CD,O
days,NNS,O
he,PRP,O
was,VBD,O
also,RB,O
convicted,VBN,O
for,IN,O
offence,NN,O
punishable,JJ,O
under,IN,O
sections,NNS,O
131d,CD,O
and,CC,O
132,CD,O
of,IN,O
the,DT,O
act,NN,O
and,CC,O
was,VBD,O
sentenced,VBN,O
to,TO,O
suffer,VB,O
rigorous,JJ,B-LEGAL
imprisonment,NN,I-LEGAL
for,IN,O
one,CD,O
year,NN,O
and,CC,O
to,TO,O
pay,VB,O
a,DT,O
fine,NN,O
of,IN,O
rs,NN,O
500,CD,O
in,IN,O
default,NN,O
to,TO,O
further,JJ,O
undergo,RB,O
rigorous,JJ,B-LEGAL
imprisonment,NN,I-LEGAL
for,IN,O
15,CD,O
days,NNS,O
against,IN,O
that,DT,O
judgment,NN,O
and,CC,O
order,NN,O
appellant,NN,O
preferred,VBD,O
criminal,JJ,O
appeal,NN,O
no,DT,O
881,CD,O
97,CD,O
before,IN,O
the,DT,O
high,JJ,O
court,NN,O
of,IN,O
gujarat,NN,O
at,IN,O
ahmedabad,PDT,O
the,DT,O
high,JJ,O
court,NN,O
dismissed,VBD,O
the,DT,O
said,VBD,O
appeal,NN,O
by,IN,O
passing,VBG,O
the,DT,O
impugned,JJ,O
judgment,NN,O
that,IN,O
order,NN,O
is,VBZ,O
challenged,VBN,O
by,IN,O
filling,VBG,O
this,DT,O
appeal,NN,O
3,CD,O
at,IN,O
the,DT,O
time,NN,O
of,IN,O
admission,NN,O
hearing,VBG,O
this,DT,O
court,NN,O
passed,VBD,O
the,DT,O
following,JJ,O
order,NN,O
considering,VBG,O
the,DT,O
contentions,NNS,O
raised,VBN,O
by,IN,O
learned,JJ,O
counsel,NN,O
for,IN,O
the,DT,O
petitioner,NN,O
and,CC,O
the,DT,O
evidence,NN,O
on,IN,O
record,NN,O
the,DT,O
impugned,JJ,O
order,NN,O
passed,VBN,O
by,IN,O
special,JJ,O
judge,NN,O
and,CC,O
confirmed,VBN,O
by,IN,O
the,DT,O
high,JJ,O
court,NN,O
with,IN,O
regard,NN,O
to,TO,O
the,DT,O
conviction,NN,O
of,IN,O
the,DT,O
petitioner,NN,O
under,IN,O
section,NN,O
7,CD,O
of,IN,O
the,DT,O
prevention,NN,B-LEGAL
of,IN,I-LEGAL
corruption,NN,I-LEGAL
act,NN,O
cannot,MD,O
be,RB,O
assailed,VB,O
in,VBN,O
any,IN,O
manner,DT,O
hence,NN,O
with,NN,O
regard,IN,O
to,NN,O
that,TO,O
part,DT,O
of,NN,O
the,IN,O
judgment,DT,O
this,NN,O
petition,DT,O
is,NN,O
dismissed,VBZ,O
however,VBN,O
with,RB,O
regard,IN,O
to,NN,O
the,TO,O
conviction,DT,O
of,NN,O
the,IN,O
petitioner,DT,O
under,NN,O
section,IN,O
131d,NN,O
issue,CD,O
notice,NN,O
returnable,RB,O
on,JJ,O
9th,IN,O
january,CD,O
2002,JJ,O
4,CD,O
thereafter,CD,O
the,RB,O
matter,DT,O
was,NN,O
directed,VBD,O
to,VBN,O
be,TO,O
placed,VB,O
on,VBN,O
an,IN,O
non,DT,O
miscellaneous,JJ,O
day,JJ,O
for,NN,O
final,IN,O
hearing,JJ,O
5,NN,O
the,CD,O
learned,DT,O
senior,VBN,O
counsel,JJ,O
mr,NN,O
anand,NN,O
appearing,NN,O
on,VBG,O
behalf,IN,O
of,NN,O
appellant,IN,O
submitted,NN,O
that,VBN,O
the,IN,O
judgment,DT,O
and,NN,O
order,CC,O
passed,NN,O
by,VBN,O
the,IN,O
high,DT,O
court,JJ,O
confirming,NN,O
the,VBG,O
conviction,DT,O
of,NN,O
the,IN,O
appellant,DT,O
under,JJ,O
section,IN,O
131di,NN,O
of,CD,O
the,IN,O
act,DT,O
is,NN,O
on,VBZ,O
the,IN,O
face,DT,O
of,NN,O
it,IN,O
illegal,PRP,O
and,JJ,O
erroneous,CC,O
he,JJ,O
submitted,PRP,O
that,VBD,O
for,IN,O
convicting,IN,O
the,VBG,O
appellant,DT,O
for,NN,O
the,IN,O
offence,DT,O
under,NN,O
section,IN,O
131d,NN,O
the,CD,O
prosecution,DT,O
must,NN,O
establish,MD,O
that,VB,O
by,IN,O
corrupt,IN,O
and,NN,O
illegal,CC,O
means,JJ,O
accused,NNS,O
has,VBN,O
obtained,VBZ,O
for,VBN,O
himself,IN,O
or,PRP,O
for,CC,O
any,IN,O
other,DT,O
person,JJ,O
any,NN,O
valuable,DT,O
thing,JJ,O
or,NN,O
pecuniary,CC,O
advantage,JJ,O
he,NN,O
submitted,PRP,O
that,VBD,O
in,IN,O
the,IN,O
present,DT,O
case,JJ,O
there,NN,O
is,EX,O
no,VBZ,O
evidence,DT,O
on,NN,O
record,IN,O
that,NN,O
appellant,IN,O
obtained,JJ,O
any,VBD,O
amount,DT,O
by,NN,O
corrupt,IN,O
or,NN,O
illegal,CC,O
means,JJ,O
6,NNS,O
in,CD,O
our,IN,O
view,PRP$,O
mere,NN,O
acceptance,JJ,O
of,NN,O
money,IN,O
without,NN,O
there,IN,O
being,RB,O
any,VBG,O
other,DT,O
evidence,JJ,O
would,NN,O
not,MD,O
be,RB,O
sufficient,VB,O
for,JJ,O
convicting,IN,O
the,VBG,O
accused,DT,O
under,VBN,O
section,IN,O
131di,NN,O
section,CD,O
131d,NN,O
is,CD,O
as,VBZ,O
under,IN,O
13,IN,O
criminal,CD,O
misconduct,JJ,O
by,NN,O
a,IN,O
public,DT,B-LEGAL
servant,JJ,I-LEGAL
1,NN,O
a,CD,O
public,DT,B-LEGAL
servant,JJ,I-LEGAL
is,NN,O
said,VBZ,O
to,VBD,O
commit,TO,O
the,VB,O
offence,DT,O
of,NN,O
criminal,IN,O
misconduct,JJ,O
b,NN,O
if,NN,O
he,IN,O
i,PRP,O
by,VBZ,O
corrupt,IN,O
or,NN,O
illegal,CC,O
means,JJ,O
obtains,NNS,O
for,NNS,O
himself,IN,O
or,PRP,O
for,CC,O
any,IN,O
other,DT,O
person,JJ,O
any,NN,O
valuable,DT,O
thing,JJ,O
or,NN,O
pecuniary,CC,O
advantage,JJ,O
or,NN,O
ii,CC,O
by,NN,O
abusing,IN,O
his,VBG,O
position,PRP$,O
as,NN,O
a,IN,O
public,DT,B-LEGAL
servant,JJ,I-LEGAL
obtains,NN,O
for,NNS,O
himself,IN,O
or,PRP,O
for,CC,O
any,IN,O
other,DT,O
person,JJ,O
any,NN,O
valuable,DT,O
thing,JJ,O
or,NN,O
pecuniary,CC,O
advantage,JJ,O
or,NN,O
iii,CC,O
while,NN,O
holding,IN,O
office,VBG,O
as,NN,O
a,IN,O
public,DT,B-LEGAL
servant,JJ,I-LEGAL
obtains,NN,O
for,NNS,O
any,IN,O
person,DT,O
any,NN,O
valuable,DT,O
thing,JJ,O
or,NN,O
pecuniary,CC,O
advantage,JJ,O
without,NN,O
any,IN,O
public,DT,O
interest,JJ,O
7,NN,O
in,CD,O
section,IN,O
7,NN,O
and,CD,O
131a,CC,O
and,CD,O
b,CC,O
of,NN,O
the,IN,O
act,DT,O
the,NN,O
legislature,DT,O
has,NN,O
specifically,VBZ,O
used,RB,O
the,VBN,O
words,DT,O
accepts,NNS,O
or,NNS,O
obtains,CC,O
as,NNS,O
against,IN,O
this,IN,O
there,DT,O
is,EX,O
departure,VBZ,O
in,NN,O
the,IN,O
language,DT,O
used,NN,O
in,VBN,O
clause,IN,O
1d,NN,O
of,CD,O
section,IN,O
13,NN,O
and,CD,O
it,CC,O
has,PRP,O
omitted,VBZ,O
the,VBN,O
word,DT,O
accepts,NN,O
and,NN,O
