sb,NN,O
sinha,VBD,O
j,$,O
1,CD,O
the,DT,O
effect,NN,O
of,IN,O
the,DT,O
recommendations,NNS,O
of,IN,O
a,DT,O
committee,NN,O
of,IN,O
two,CD,O
judges,NNS,O
as,IN,O
regards,NNS,O
criteria,NNS,O
for,IN,O
grant,NN,O
of,IN,O
selection,NN,O
scale,NN,O
appointed,VBN,O
by,IN,O
an,DT,O
acting,NN,B-LEGAL
chief,NN,I-LEGAL
justice,NN,I-LEGAL
which,WDT,O
have,VBP,O
subsequently,RB,O
been,VBN,O
approved,VBN,O
by,IN,O
a,DT,O
full,JJ,O
court,NN,O
of,IN,O
the,DT,O
high,JJ,O
court,NN,O
is,VBZ,O
in,IN,O
question,NN,O
in,IN,O
these,DT,O
appeals,NNS,O
which,WDT,O
arise,VBP,O
out,IN,O
of,IN,O
a,DT,O
judgment,NN,O
and,CC,O
order,NN,O
passed,VBN,O
by,IN,O
a,DT,O
division,NN,O
bench,NN,O
of,IN,O
rajasthan,JJ,O
high,JJ,O
court,NN,O
dated,VBD,O
23rd,CD,O
november,JJ,O
2000,CD,O
in,IN,O
db,JJ,O
civil,JJ,O
writ,NN,O
petitions,NNS,O
no,DT,O
671,CD,O
of,IN,O
2000,CD,O
987,CD,O
of,IN,O
2000,CD,O
and,CC,O
1263,CD,O
of,IN,O
2000,CD,O
2,CD,O
the,DT,O
high,JJ,O
court,NN,O
of,IN,O
rajasthan,NN,O
in,IN,O
exercise,NN,O
of,IN,O
its,PRP$,O
power,NN,O
conferred,VBN,O
upon,IN,O
it,PRP,O
under,IN,O
section,NN,O
46,CD,O
of,IN,O
the,DT,O
rajasthan,JJ,O
high,JJ,O
court,NN,O
ordinance,NN,O
1949,CD,O
read,NN,O
with,IN,O
article,NN,O
225,CD,O
of,IN,O
the,DT,O
constitution,NN,B-LEGAL
of,IN,I-LEGAL
india,NN,I-LEGAL
and,CC,O
all,DT,O
other,JJ,O
powers,NNS,O
enabling,VBG,O
it,PRP,O
in,IN,O
that,DT,O
behalf,NN,O
made,VBD,O
rules,NNS,O
known,VBN,O
as,IN,O
rules,NNS,O
of,IN,O
the,DT,O
high,JJ,O
court,NN,O
of,IN,O
judicature,NN,O
for,IN,O
rajasthan,NN,O
1952,CD,O
hereinafter,NN,O
called,VBN,O
and,CC,O
referred,VBN,O
to,TO,O
as,IN,O
the,DT,O
rules,NNS,O
3,CD,O
the,DT,O
rules,NNS,O
came,VBD,O
into,IN,O
force,NN,O
on,IN,O
or,CC,O
about,IN,O
1st,CD,O
october,JJ,O
1952,CD,O
chapter,NN,O
