rp,NN,O
sethi,VBD,O
j,JJ,O
1,CD,O
aggrieved,VBN,O
by,IN,O
the,DT,O
determination,NN,O
of,IN,O
annual,JJ,O
valuation,NN,O
made,VBN,O
in,IN,O
terms,NNS,O
of,IN,O
section,NN,O
174,CD,O
of,IN,O
the,DT,O
calcutta,NN,O
municipal,JJ,B-LEGAL
corporation,NN,I-LEGAL
act,NN,O
1980,CD,O
hereinafter,NN,O
called,VBD,O
the,DT,O
1980,CD,O
act,NN,O
the,DT,O
appellant,JJ,O
owner,NN,O
of,IN,O
a,DT,O
nine,CD,O
storeyed,VBN,O
building,NN,O
admittedly,RB,O
used,VBD,O
for,IN,O
commercial,JJ,O
purposes,NNS,O
filed,VBD,O
an,DT,O
appeal,NN,O
before,IN,O
the,DT,O
municipal,JJ,O
assessment,JJ,B-LEGAL
tribunal,NN,O
who,WP,O
vide,VBP,O
its,PRP$,O
order,NN,O
dated,VBD,O
26,CD,O
th,NN,O
february,JJ,O
1999,CD,O
allowed,VBD,O
the,DT,O
appeal,NN,O
and,CC,O
fixed,VBD,O
the,DT,O
annual,JJ,B-LEGAL
value,NN,I-LEGAL
on,IN,O
the,DT,O
basis,NN,O
of,IN,O
rent,NN,O
actually,RB,O
received,VBN,O
by,IN,O
the,DT,O
appellant,NN,O
owner,NN,O
feeling,VBG,O
aggrieved,VBD,O
the,DT,O
respondent,NN,O
corporation,NN,O
approached,VBD,O
the,DT,O
high,JJ,O
court,NN,O
under,IN,O
article,NN,O
227,CD,O
of,IN,O
the,DT,O
constitution,NN,O
of,IN,O
india,NN,O
who,WP,O
vide,VBP,O
the,DT,O
order,NN,O
impugned,VBN,O
in,IN,O
this,DT,O
appeal,NN,O
set,VBN,O
aside,RB,O
the,DT,O
order,NN,O
of,IN,O
the,DT,O
tribunal,JJ,O
and,CC,O
directed,VBD,O
it,PRP,O
to,TO,O
hear,VB,O
the,DT,O
appeals,NNS,O
on,IN,O
merits,NNS,O
keeping,VBG,O
in,IN,O
mind,NN,O
that,IN,O
total,JJ,O
amount,NN,O
paid,VBN,O
by,IN,O
the,DT,O
sub,NN,O
tenants,NNS,O
to,TO,O
the,DT,O
tenant,NN,O
of,IN,O
the,DT,O
appellant,NN,O
should,MD,O
also,RB,O
be,VB,O
taken,VBN,O
into,IN,O
consideration,NN,O
in,IN,O
assessing,VBG,O
the,DT,O
annual,JJ,O
valuation,NN,O
2,CD,O
it,PRP,O
is,VBZ,O
not,RB,O
disputed,VBN,O
that,IN,O
the,DT,O
property,NN,O
in,IN,O
question,NN,O
was,VBD,O
leased,VBN,O
out,RP,O
by,IN,O
the,DT,O
appellants,NNS,O
to,TO,O
their,PRP$,O
tenant,NN,O
named,VBN,O
banwarilal,NN,O
pasari,NN,O
at,IN,O
a,DT,O
rental,NN,O
of,IN,O
rs,NN,O
75,CD,O
000,CD,O
per,IN,O
month,NN,O
vide,IN,O
a,DT,O
duly,NN,O
executed,JJ,O
lease,NN,O
deed,NN,O
annexure,NN,O
p,VBZ,O
1,CD,O
there,EX,O
is,VBZ,O
also,RB,O
no,DT,O
dispute,NN,O
that,IN,O
the,DT,O
building,NN,O
is,VBZ,O
a,DT,O
nine,CD,O
storeyed,VBN,O
building,NN,O
and,CC,O
issued,VBN,O
for,IN,O
commercial,JJ,O
purposes,NNS,O
the,DT,O
respondent,NN,O
corporation,NN,O
carried,VBD,O
out,IN,O
the,DT,O
general,JJ,O
revision,NN,O
of,IN,O
the,DT,O
annual,JJ,O
valuation,NN,O
of,IN,O
the,DT,O
premises,NNS,O
effective,JJ,O
from,IN,O
fourth,JJ,O
quarter,NN,O
of,IN,O
1984,CD,O
85,CD,O
and,CC,O
also,RB,O
for,IN,O
the,DT,O
period,NN,O
from,IN,O
fourth,JJ,O
quarter,NN,O
of,IN,O
1990,CD,O
91,CD,O
proposed,VBN,O
valuation,NN,O
was,VBD,O
communicated,VBN,O
to,TO,O
the,DT,O
owners,NNS,O
vide,VBP,O
two,CD,O
notices,NNS,O
issued,VBN,O
under,IN,O
the,DT,O
1980,CD,O
act,NN,O
directing,VBG,O
them,PRP,O
to,TO,O
attend,VB,O
the,DT,O
hearing,NN,O
before,IN,O
the,DT,O
hearing,JJ,O
officer,NN,O
of,IN,O
the,DT,O
corporation,NN,O
on,IN,O
the,DT,O
date,NN,O
specified,VBN,O
in,IN,O
the,DT,O
notice,NN,O
the,DT,O
appellant,NN,O
submitted,VBD,O
objections,NNS,O
to,TO,O
the,DT,O
notices,NNS,O
and,CC,O
objected,VBD,O
to,TO,O
the,DT,O
same,JJ,O
challenging,VBG,O
the,DT,O
proposed,VBN,O
valuation,NN,O
and,CC,O
the,DT,O
basis,NN,O
thereof,VBD,O
the,DT,O
hearing,NN,O
officer,NN,O
vide,IN,O
his,PRP$,O
two,CD,O
orders,NNS,O
dated,VBD,O
1541996,CD,O
fixed,JJ,O
annual,JJ,O
valuation,NN,O
from,IN,O
fourth,JJ,O
quarter,NN,O
of,IN,O
1984,CD,O
85,CD,O
at,IN,O
rs,NN,O
18,CD,O
80,CD,O
600,CD,O
and,CC,O
from,IN,O
fourth,JJ,O
quarter,NN,O
of,IN,O
1990,CD,O
91,CD,O
at,IN,O
rs,NN,O
21,CD,O
63,CD,O
560,CD,O
the,DT,O
annual,JJ,O
valuation,NN,O
assessment,NN,B-LEGAL
was,VBD,O
made,VBN,O
under,IN,O
section,NN,O
174,CD,O
of,IN,O
the,DT,O
1980,CD,O
act,NN,O
by,IN,O
taking,VBG,O
into,IN,O
consideration,NN,O
the,DT,O
rent,NN,O
paid,VBN,O
by,IN,O
the,DT,O
sub,NN,O
tenants,VBZ,O
the,DT,O
municipal,JJ,O
assessment,JJ,B-LEGAL
tribunal,NN,O
accepted,VBD,O
the,DT,O
appeal,NN,O
of,IN,O
the,DT,O
owners,NNS,O
by,IN,O
relying,VBG,O
upon,IN,O
the,DT,O
judgment,NN,O
of,IN,O
this,DT,O
court,NN,O
in,IN,O
corporation,NN,O
of,IN,O
calcutta,NN,O
v,NN,O
life,NN,O
insurance,NN,O
corporation,NN,O
of,IN,O
india,NN,O
manu,NN,O
sc,NN,O
0392,CD,O
1970manu,CD,O
sc,NN,O
0392,CD,O
1970,CD,O
1971,CD,O
1scr249,CD,O
not,RB,O
satisfied,VBN,O
with,IN,O
the,DT,O
judgment,NN,O
of,IN,O
the,DT,O
tribunal,JJ,O
municipal,JJ,B-LEGAL
corporation,NN,I-LEGAL
moved,VBD,O
the,DT,O
high,JJ,O
court,NN,O
byway,NN,O
of,IN,O
a,DT,O
petition,NN,O
under,IN,O
article,NN,O
227,CD,O
of,IN,O
the,DT,O
constitution,NN,O
of,IN,O
india,NN,O
which,WDT,O
was,VBD,O
allowed,VBN,O
by,IN,O
setting,VBG,O
aside,RP,O
the,DT,O
order,NN,O
of,IN,O
the,DT,O
tribunal,JJ,O
vide,NN,O
judgment,NN,O
impugned,VBN,O
in,IN,O
this,DT,O
appeal,NN,O
the,DT,O
high,JJ,O
court,NN,O
held,VBD,O
that,IN,O
the,DT,O
aforesaid,JJ,O
decision,NN,O
of,IN,O
this,DT,O
court,NN,O
had,VBD,O
no,DT,O
application,NN,O
to,TO,O
an,DT,O
assessment,NN,B-LEGAL
made,VBN,O
under,IN,O
section,NN,O
174,CD,O
of,IN,O
the,DT,O
1980,CD,O
act,NN,O
which,WDT,O
was,VBD,O
found,VBN,O
to,TO,O
be,VB,O
materially,RB,O
different,JJ,O
from,IN,O
section,NN,O
168,CD,O
of,IN,O
the,DT,O
calcutta,NN,O
municipal,JJ,B-LEGAL
act,NN,I-LEGAL
1951,CD,O
under,IN,O
which,WDT,O
the,DT,O
assessment,NN,B-LEGAL
had,VBD,O
been,VBN,O
made,VBN,O
in,IN,O
life,NN,O
insurance,NN,O
corporation,NN,O
s,VBD,O
case,NN,O
supra,VB,O
the,DT,O
high,JJ,O
court,NN,O
further,RBR,O
held,VBD,O
that,IN,O
under,IN,O
1951,CD,O
act,NN,O
the,DT,O
annual,JJ,O
valuation,NN,O
in,IN,O
no,DT,O
case,NN,O
could,MD,O
exceed,VB,O
the,DT,O
standard,JJ,B-LEGAL
rent,NN,I-LEGAL
fixed,VBN,O
by,IN,O
the,DT,O
west,NN,O
bengal,NN,O
premises,NNS,O
rent,VBP,O
controltemporary,JJ,O
provision,NN,O
act,NN,O
1950,CD,O
but,CC,O
under,IN,O
the,DT,O
1980,CD,O
act,NN,O
which,WDT,O
had,VBD,O
a,DT,O
non,JJ,O
obstante,NN,O
clause,NN,O
the,DT,O
annual,JJ,O
valuation,NN,O
can,MD,O
be,VB,O
fixed,VBN,O
notwithstanding,VBG,O
anything,NN,O
contained,VBN,O
in,IN,O
the,DT,O
west,NN,O
bengal,JJ,O
tenancy,NN,O
act,NN,O
1956,CD,O
or,CC,O
any,DT,O
other,JJ,O
law,NN,O
for,IN,O
the,DT,O
time,NN,O
being,VBG,O
inforce,NN,O
it,PRP,O
has,VBZ,O
been,VBN,O
further,RB,O
held,VBN,O
that,IN,O
under,IN,O
the,DT,O
