uu,JJ,O
lalit,VBD,O
j,NN,O
1,CD,O
leave,NN,O
granted,VBN,O
this,DT,O
appeal,NN,B-LEGAL
challenges,VBZ,O
correctness,NN,O
of,IN,O
the,DT,O
judgment,NN,B-LEGAL
and,CC,O
order,NN,O
dated,VBD,O
20102010,CD,O
passed,VBN,O
by,IN,O
the,DT,O
high,JJ,O
court,NN,O
of,IN,O
chhattisgarh,NN,O
at,IN,O
bilaspur,NN,O
allowing,VBG,O
second,JJ,B-LEGAL
appeal,NN,I-LEGAL
no,DT,O
242,CD,O
of,IN,O
1989,CD,O
and,CC,O
setting,VBG,O
aside,JJ,O
concurrent,JJ,O
decisions,NNS,O
of,IN,O
the,DT,O
trial,NN,B-LEGAL
court,NN,I-LEGAL
and,CC,O
lower,JJR,O
appellate,NN,B-LEGAL
court,NN,I-LEGAL
granting,VBG,B-LEGAL
decree,NN,O
of,IN,O
eviction,NN,B-LEGAL
in,IN,O
favour,NN,O
of,IN,O
the,DT,O
appellants,NNS,O
2,CD,O
civil,JJ,O
suit,NN,O
no,DT,O
67,CD,O
a,DT,O
of,IN,O
1979,CD,O
was,VBD,O
filed,VBN,O
by,IN,O
vasudev,NN,O
shyamji,NN,O
and,CC,O
govind,NN,O
shyamji,VBP,O
the,DT,O
predecessors,NNS,O
of,IN,O
the,DT,O
appellants,NNS,O
seeking,VBG,O
eviction,NN,B-LEGAL
of,IN,O
one,CD,O
bhanaram,NN,O
sharma,NN,O
predecessor,NN,O
of,IN,O
the,DT,O
respondents,NNS,O
from,IN,O
suit,NN,O
house,NN,O
which,WDT,O
was,VBD,O
described,VBN,O
in,IN,O
the,DT,O
plaint,NN,B-LEGAL
as,IN,O
the,DT,O
front,JJ,O
portion,NN,B-LEGAL
of,IN,I-LEGAL
house,NN,I-LEGAL
no,DT,O
189,CD,O
1,CD,O
ward,NN,O
no,DT,O
18,CD,O
raigarh,VBD,O
the,DT,O
eviction,NN,B-LEGAL
was,VBD,O
sought,VBN,O
on,IN,O
grounds,NNS,O
including,VBG,O
bona,NN,B-LEGAL
fide,RB,I-LEGAL
need,NN,O
in,IN,O
paragraph,JJ,O
2,CD,O
of,IN,O
his,PRP$,O
written,VBN,B-LEGAL
statement,NN,I-LEGAL
bhanaram,NN,O
stated,VBD,O
it,PRP,O
is,VBZ,O
specifically,RB,O
denied,VBN,O
that,IN,O
the,DT,O
plaintiffs,NNS,O
are,VBP,O
owners,NNS,O
of,IN,O
house,NN,O
no,DT,O
189,CD,O
1,CD,O
in,IN,O
ward,NN,O
no,DT,O
18,CD,O
of,IN,O
raigarh,NN,O
town,NN,O
this,DT,O
being,VBG,O
a,DT,O
suit,NN,B-LEGAL
for,IN,I-LEGAL
eviction,NN,I-LEGAL
of,IN,O
a,DT,O
tenant,NN,B-LEGAL
the,DT,O
question,NN,O
of,IN,O
ownership,NN,B-LEGAL
is,VBZ,O
not,RB,O
relevant,JJ,O
to,TO,O
the,DT,O
suit,NN,O
3,CD,O
thus,RB,O
though,IN,O
it,PRP,O
was,VBD,O
denied,VBN,O
that,IN,O
the,DT,O
plaintiffs,NNS,O
were,VBD,O
owners,NNS,O
of,IN,O
the,DT,O
suit,NN,O
house,NN,O
in,IN,O
the,DT,O
very,RB,O
next,JJ,O
sentence,NN,B-LEGAL
defendant,NN,O
bhanaram,NN,O
asserted,VBD,O
that,IN,O
the,DT,O
question,NN,O
of,IN,O
ownership,NN,B-LEGAL
was,VBD,O
not,RB,O
relevant,JJ,O
in,IN,O
the,DT,O
instant,JJ,O
suit,NN,O
bhanaram,NN,O
entered,VBD,O
the,DT,O
witness,NN,O
box,NN,O
and,CC,O
in,IN,O
his,PRP$,O
cross,NN,O
examination,NN,O
admitted,VBD,O
that,IN,O
the,DT,O
lease,NN,B-LEGAL
from,IN,O
nazul,JJ,O
department,NN,O
stood,VBD,O
in,IN,O
the,DT,O
name,NN,O
of,IN,O
plaintiffs,NNS,O
and,CC,O
that,IN,O
the,DT,O
witness,NN,O
himself,PRP,O
had,VBD,O
produced,VBN,O
the,DT,O
same,JJ,O
in,IN,O
some,DT,O
other,JJ,O
proceedings,NNS,O
it,PRP,O
was,VBD,O
further,RBR,O
accepted,VBD,O
that,IN,O
he,PRP,O
had,VBD,O
paid,VBN,O
rent,NN,B-LEGAL
by,IN,O
money,NN,O
orders,NNS,O
sent,VBD,O
in,IN,O
the,DT,O
name,NN,O
of,IN,O
shyamji,NN,O
gangji,NN,O
father,NN,O
of,IN,O
the,DT,O
plaintiffs,NNS,O
4,CD,O
the,DT,O
aforesaid,NN,O
suit,NN,O
was,VBD,O
re,RB,O
numbered,VBN,O
as,IN,O
civil,JJ,O
suit,NN,O
no,DT,O
417a,CD,O
of,IN,O
1986,CD,O
after,IN,O
considering,VBG,O
the,DT,O
evidence,NN,B-LEGAL
on,IN,O
record,NN,O
the,DT,O
trial,NN,B-LEGAL
court,NN,I-LEGAL
by,IN,O
its,PRP$,O
judgment,NN,B-LEGAL
and,CC,O
order,NN,O
dated,VBD,O
21011987,CD,O
decreed,VBD,O
the,DT,O
suit,NN,O
principally,RB,O
on,IN,O
the,DT,O
ground,NN,B-LEGAL
that,IN,O
the,DT,O
plaintiffs,NNS,O
required,VBD,O
the,DT,O
suit,NN,O
house,NN,O
for,IN,O
reconstruction,NN,B-LEGAL
and,CC,O
for,IN,O
bona,JJ,B-LEGAL
fide,JJ,I-LEGAL
need,NN,O
5,CD,O
the,DT,O
matter,NN,O
having,VBG,O
been,VBN,O
carried,VBN,O
in,IN,O
appeal,NN,B-LEGAL
by,IN,O
bhanaram,NN,O
the,DT,O
lower,JJR,O
appellate,JJ,B-LEGAL
court,NN,I-LEGAL
also,RB,O
considered,VBD,O
the,DT,O
question,NN,O
regarding,VBG,O
ownership,NN,B-LEGAL
of,IN,O
the,DT,O
suit,NN,O
house,NN,O
while,IN,O
considering,VBG,O
the,DT,O
evidence,NN,B-LEGAL
of,IN,O
bhanaram,NN,O
it,PRP,O
observed,VBD,O
this,DT,O
witness,NN,O
has,VBZ,O
also,RB,O
admitted,VBN,O
that,IN,O
lease,NN,B-LEGAL
from,IN,O
nazul,NN,O
of,IN,O
this,DT,O
property,NN,B-LEGAL
was,VBD,O
also,RB,O
accepted,VBN,O
in,IN,O
the,DT,O
name,NN,O
of,IN,O
plaintiffs,NNS,O
and,CC,O
he,PRP,O
himself,PRP,O
has,VBZ,O
produced,VBN,O
that,IN,O
lease,NN,B-LEGAL
on,IN,O
his,PRP$,O
behalf,NN,O
in,IN,O
other,JJ,O
civil,JJ,B-LEGAL
court,NN,I-LEGAL
the,DT,O
lower,JJR,O
appellate,JJ,B-LEGAL
court,NN,I-LEGAL
affirmed,VBD,O
the,DT,O
view,NN,O
taken,VBN,O
by,IN,O
the,DT,O
trial,NN,B-LEGAL
court,NN,I-LEGAL
and,CC,O
dismissed,VBN,O
civil,JJ,O
appeal,NN,B-LEGAL
no,DT,O
3a,CD,O
87,CD,O
vide,NN,O
its,PRP$,O
judgment,NN,B-LEGAL
and,CC,O
order,NN,O
dated,VBD,O
20031989,CD,O
6,CD,O
the,DT,O
heirs,NN,O
of,IN,O
bhanaram,NN,O
namely,RB,O
the,DT,O
respondents,NNS,O
being,VBG,O
aggrieved,VBN,O
filed,VBN,O
second,JJ,B-LEGAL
appeal,NN,I-LEGAL
no,DT,O
242,CD,O
of,IN,O
1989,CD,O
in,IN,O
the,DT,O
high,JJ,O
court,NN,O
of,IN,O
chhattisgarh,NN,O
at,IN,O
bilaspur,NN,O
this,DT,O
appeal,NN,B-LEGAL
came,VBD,O
to,TO,O
be,VB,O
allowed,VBN,O
by,IN,O
the,DT,O
high,JJ,O
court,NN,O
vide,IN,O
judgment,NN,B-LEGAL
and,CC,O
order,NN,O
dated,VBD,O
20102010,CD,O
it,PRP,O
was,VBD,O
observed,VBN,O
by,IN,O
the,DT,O
high,JJ,O
court,NN,O
that,IN,O
for,IN,O
a,DT,O
plaintiff,NN,O
to,TO,O
succeed,VB,O
in,IN,O
seeking,VBG,O
eviction,NN,B-LEGAL
of,IN,I-LEGAL
tenant,NN,I-LEGAL
on,IN,O
the,DT,O
ground,NN,B-LEGAL
of,IN,O
bona,NN,B-LEGAL
fide,VBP,I-LEGAL
need,NN,O
under,IN,O
section,NN,O
121e,CD,O
of,IN,O
the,DT,O
chhatisgarh,JJ,O
accommodation,NN,B-LEGAL
control,NN,O
act,NN,O
1961,CD,O
hereinafter,NN,O
referred,VBD,O
to,TO,O
as,IN,O
the,DT,O
act,NN,O
it,PRP,O
was,VBD,O
incumbent,JJ,O
to,TO,O
establish,VB,O
that,IN,O
he,PRP,O
was,VBD,O
owner,NN,B-LEGAL
of,IN,O
the,DT,O
accommodation,NN,B-LEGAL
in,IN,O
question,NN,O
after,IN,O
considering,VBG,O
the,DT,O
evidence,NN,B-LEGAL
on,IN,O
record,NN,O
particularly,RB,O
that,IN,O
of,IN,O
defendant,NN,O
bhanaram,NN,O
it,PRP,O
was,VBD,O
observed,VBN,O
evidence,NN,B-LEGAL
of,IN,O
this,DT,O
witness,JJ,O
pleadings,NNS,B-LEGAL
and,CC,O
evidence,NN,B-LEGAL
of,IN,O
defendant,JJ,O
bhanaram,NN,O
sharma,VBD,O
clearly,RB,O
reveal,NN,O
that,IN,O
father,NN,O
of,IN,O
vasudev,NN,O
shyamji,NN,O
ie,NN,O
shyamji,NN,O
gangji,NN,O
was,VBD,O
landlord,NN,B-LEGAL
of,IN,O
the,DT,O
suit,NN,O
accommodation,NN,B-LEGAL
but,CC,O
was,VBD,O
not,RB,O
owner,NN,B-LEGAL
of,IN,O
the,DT,O
suit,NN,O
accommodation,NN,B-LEGAL
in,IN,O
his,PRP$,O
detailed,JJ,O
evidence,NN,B-LEGAL
vasudev,NN,O
shyamji,NN,O
has,VBZ,O
not,RB,O
stated,VBN,O
anything,NN,O
to,TO,O
show,VB,O
that,IN,O
how,WRB,O
he,PRP,O
became,VBD,O
owner,NN,B-LEGAL
of,IN,O
the,DT,O
suit,NN,O
accommodation,NN,B-LEGAL
according,VBG,O
to,TO,O
the,DT,O
