dipak,NN,O
misra,NN,O
j,NN,O
1,CD,O
despite,IN,O
completion,NN,O
of,IN,O
a,DT,O
decade,NN,O
from,IN,O
the,DT,O
date,NN,O
of,IN,O
solemnisation,NN,O
of,IN,O
the,DT,O
marriage,NN,O
and,CC,O
in,IN,O
spite,NN,O
of,IN,O
two,CD,O
off,IN,O
springs,NNS,O
in,IN,O
the,DT,O
wedlock,NN,O
neither,CC,O
the,DT,O
time,NN,O
nor,CC,O
the,DT,O
expansion,NN,O
of,IN,O
family,NN,O
nor,CC,O
the,DT,O
concern,NN,O
for,IN,O
the,DT,O
children,NNS,O
could,MD,O
cement,VB,O
the,DT,O
bond,NN,O
or,CC,O
weld,VBD,O
the,DT,O
affinity,NN,O
between,IN,O
the,DT,O
appellant,JJ,O
husband,NN,O
and,CC,O
the,DT,O
wife,NN,O
the,DT,O
2nd,CD,O
respondent,NN,O
herein,NN,O
as,IN,O
a,DT,O
consequence,NN,O
of,IN,O
which,WDT,O
she,PRP,O
was,VBD,O
compelled,VBN,O
to,TO,O
set,VB,O
the,DT,O
criminal,JJ,O
law,NN,O
in,IN,O
motion,NN,O
by,IN,O
lodging,VBG,O
fir,JJ,O
no,DT,O
376,CD,O
dated,VBD,O
23112013,CD,O
which,WDT,O
was,VBD,O
registered,VBN,O
for,IN,O
the,DT,O
offences,NNS,O
punishable,JJ,O
under,IN,O
section,NN,O
498a,CD,O
323,CD,O
34,CD,O
of,IN,O
the,DT,O
indian,JJ,O
penal,JJ,O
code,NN,O
ipc,NN,O
against,IN,O
the,DT,O
husband,NN,O
and,CC,O
the,DT,O
mother,NN,O
in,IN,O
law,NN,O
alleging,NN,O
that,IN,O
the,DT,O
husband,NN,O
was,VBD,O
insistent,JJ,O
upon,IN,O
getting,VBG,O
mutual,JJ,O
divorce,NN,O
and,CC,O
on,IN,O
her,PRP$,O
resistance,NN,O
he,PRP,O
had,VBD,O
physically,RB,O
assaulted,VBN,O
her,PRP$,O
and,CC,O
deprived,VBD,O
her,PRP$,O
of,IN,O
basic,JJ,O
facilities,NNS,O
of,IN,O
life,NN,O
all,PDT,O
these,DT,O
allegations,NNS,O
had,VBD,O
the,DT,O
foundation,NN,O
in,IN,O
demand,NN,O
of,IN,O
dowry,NN,O
and,CC,O
