hk,NN,O
sema,NN,O
j,VBD,O
1,CD,O
four,CD,O
appellants,NNS,O
anthony,JJ,O
d,NN,O
souza,NN,O
anil,NN,O
kumar,NN,O
anil,NN,O
d,NN,O
souza,NN,O
seril,NN,O
d,NN,O
souza,NN,O
and,CC,O
george,NN,O
d,NN,O
souza,NN,O
babli,NN,O
were,VBD,O
tried,VBN,O
by,IN,O
the,DT,O
additional,JJ,O
sessions,NNS,O
judge,NN,O
chikmagalur,NN,O
and,CC,O
convicted,VBN,O
for,IN,O
the,DT,O
offences,NNS,O
under,IN,O
section,NN,O
143,CD,O
ipc,NN,O
section,NN,O
396,CD,O
read,NN,O
with,IN,O
149,CD,O
ipc,NNS,O
and,CC,O
section,NN,O
201,CD,O
read,NN,O
with,IN,O
149,CD,O
ipc,NNS,O
and,CC,O
sentenced,VBN,O
to,TO,O
undergo,VB,O
si,NN,O
for,IN,O
six,CD,O
months,NNS,O
for,IN,O
the,DT,O
offence,NN,O
under,IN,O
section,NN,O
143,CD,O
ipc,NN,O
rigorous,JJ,B-LEGAL
imprisonment,NN,I-LEGAL
for,IN,O
life,NN,O
for,IN,O
the,DT,O
offence,NN,O
under,IN,O
section,NN,O
396,CD,O
read,NN,O
with,IN,O
section,NN,O
149,CD,O
ipc,NN,O
and,CC,O
a,DT,O
fine,NN,O
of,IN,O
rs,NN,O
5000,CD,O
each,DT,O
in,IN,O
default,NN,O
of,IN,O
payment,NN,O
of,IN,O
fine,JJ,O
si,NN,O
for,IN,O
three,CD,O
months,NNS,O
and,CC,O
to,TO,O
undergo,VB,O
two,CD,O
years,NNS,O
ri,RB,O
and,CC,O
to,TO,O
pay,VB,O
a,DT,O
fine,NN,O
of,IN,O
rs,NN,O
2000,CD,O
each,DT,O
for,IN,O
the,DT,O
offence,NN,O
under,IN,O
section,NN,O
201,CD,O
read,NN,O
with,IN,O
section,NN,O
149,CD,O
ipc,NN,O
in,IN,O
default,NN,O
of,IN,O
payment,NN,O
of,IN,O
fine,JJ,O
si,NN,O
for,IN,O
three,CD,O
months,NNS,O
all,PDT,O
the,DT,O
substantive,JJ,O
sentences,NNS,O
were,VBD,O
ordered,VBN,O
to,TO,O
run,VB,O
concurrently,RB,O
on,IN,O
appeal,VB,O
their,PRP$,O
conviction,NN,O
and,CC,O
sentence,NN,O
is,VBZ,O
confirmed,VBN,O
by,IN,O
the,DT,O
high,JJ,O
court,NN,O
hence,VBD,O
the,DT,O
present,JJ,O
appeal,NN,O
2,CD,O
briefly,NN,O
stated,VBN,O
facts,NNS,O
are,VBP,O
as,IN,O
follows,VBZ,O
3,CD,O
deceased,JJ,O
vittal,JJ,O
shetty,NN,O
and,CC,O
paul,NN,O
were,VBD,O
employed,VBN,O
as,IN,O
driver,NN,O
and,CC,O
cleaner,NN,O
in,IN,O
a,DT,O
lorry,JJ,O
bearing,NN,O
registration,NN,O
no,DT,O
cno,NN,O
8928,CD,O
belonging,NN,O
to,TO,O
kiran,VB,O
transport,NN,O
company,NN,O
owned,VBN,O
by,IN,O
pw,JJ,O
5,CD,O
sri,NN,O
castelino,NN,O
and,CC,O
his,PRP$,O
son,NN,O
pw,VBD,O
16,CD,O
kiran,NN,O
castelino,NN,O
on,IN,O
17,CD,O
2,CD,O
1992,CD,O
pws,NN,O
5,CD,O
and,CC,O
16,CD,O
had,VBD,O
sent,VBN,O
the,DT,O
lorry,NN,O
driven,VBN,O
by,IN,O
substituted,VBN,O
driver,NN,O
pw,NN,O
15,CD,O
puttumonu,NN,O
along,IN,O
with,IN,O
deceased,JJ,O
paul,NN,O
to,TO,O
penambur,VB,O
to,TO,O
take,VB,O
delivery,NN,O
of,IN,O
200,CD,O
bags,NNS,O
of,IN,O
mangala,JJ,O
urea,NN,O
from,IN,O
its,PRP$,O
factory,NN,O
to,TO,O
be,VB,O
taken,VBN,O
to,TO,O
mysore,VB,O
coffee,NN,O
curing,VBG,O
works,NNS,O
at,IN,O
balehonnur,NN,O
pw,NN,O
9,CD,O
balakrishna,NN,O
was,VBD,O
the,DT,O
clerk,NN,O
of,IN,O
venkatadri,NN,O
transport,NN,O
company,NN,O
which,WDT,O
has,VBZ,O
a,DT,O
office,NN,O
by,IN,O
the,DT,O
side,NN,O
of,IN,O
mangalore,NN,O
chemical,NN,O
fertilizer,NN,O
factory,NN,O
got,VBD,O
the,DT,O
fertilizer,NN,O
bags,NNS,O
loaded,VBD,O
between,IN,O
1130,CD,O
am,VBP,O
to,TO,O
330,CD,O
pm,NN,O
after,IN,O
handing,VBG,O
over,IN,O
necessary,JJ,O
documents,NNS,O
including,VBG,O
the,DT,O
delivery,NN,O
note,NN,O
the,DT,O
driver,NN,O
and,CC,O
the,DT,O
cleaner,NN,O
left,VBD,O
for,IN,O
mangalore,NN,O
sometime,RB,O
at,IN,O
about,RB,O
500,CD,O
pm,VBD,O
the,DT,O
regular,JJ,O
driver,NN,O
deceased,VBD,O
vittal,JJ,O
shetty,NN,O
reported,VBD,O
back,RB,O
to,TO,O
his,PRP$,O
duty,NN,O
and,CC,O
he,PRP,O
was,VBD,O
asked,VBN,O
by,IN,O
pw,NN,O
5,CD,O
to,TO,O
proceed,VB,O
to,TO,O
balehonnur,VB,O
with,IN,O
the,DT,O
loaded,JJ,O
lorry,NN,O
of,IN,O
fertilizer,NN,O
bags,NNS,O
deceased,VBD,O
driver,RB,O
along,RB,O
with,IN,O
his,PRP$,O
cleaner,NN,O
deceased,VBD,O
paul,NN,O
then,RB,O
proceeded,VBD,O
towards,NNS,O
balahonnur,NN,O
at,IN,O
about,IN,O
730,CD,O
p,NNS,O
on,IN,O
1721992,CD,O
it,PRP,O
is,VBZ,O
stated,VBN,O
that,IN,O
at,IN,O
about,RB,O
130,CD,O
in,IN,O
the,DT,O
night,NN,O
both,CC,O
the,DT,O
deceased,VBN,O
halted,VBD,O
the,DT,O
lorry,NN,O
at,IN,O
kottigehara,NN,O
at,IN,O
bharath,JJ,O
hotel,NN,O
run,VBN,O
by,IN,O
one,CD,O
ibrahim,NN,O
pw,VBZ,O
12,CD,O
for,IN,O
taking,VBG,O
tea,NN,O
when,WRB,O
both,DT,O
the,DT,O
deceased,VBN,O
were,VBD,O
about,RB,O
to,TO,O
leave,VB,O
along,RB,O
with,IN,O
the,DT,O
lorry,NN,O
it,PRP,O
is,VBZ,O
stated,VBN,O
that,IN,O
all,PDT,O
the,DT,O
four,CD,O
appellants,NNS,O
along,IN,O
with,IN,O
one,CD,O
juvenile,NN,B-LEGAL
offender,NN,I-LEGAL
boarded,VBD,O
the,DT,O
truck,NN,O
after,IN,O
some,DT,O
talk,NN,O
and,CC,O
left,VBD,O
kottigehara,NN,O
since,IN,O
then,RB,O
nothing,NN,O
has,VBZ,O
been,VBN,O
heard,VBN,O
about,IN,O
the,DT,O
truck,NN,O
or,CC,O
the,DT,O
driver,NN,O
it,PRP,O
is,VBZ,O
only,RB,O
on,IN,O
18,CD,O
2,CD,O
1992,CD,O
one,CD,O
parswanatha,NN,O
jain,NN,O
pw,VBD,O
1,CD,O
a,DT,O
resident,NN,O
of,IN,O
jenugudde,NN,O
village,NN,O
receives,VBZ,O
information,NN,O
of,IN,O
finding,VBG,O
a,DT,O
