jasti,NN,O
chelameswar,NN,O
j,NN,O
1,CD,O
this,DT,O
is,VBZ,O
an,DT,O
appeal,NN,O
under,IN,O
section,NN,O
125,CD,O
of,IN,O
the,DT,O
electricity,NN,O
act,NN,O
2003,CD,O
hereinafter,NN,O
referred,VBD,O
to,TO,O
as,IN,O
the,DT,O
act,NN,O
arising,VBG,O
out,IN,O
of,IN,O
an,DT,O
order,NN,O
dated,VBD,O
31102014,CD,O
in,IN,O
ia,NN,O
no,DT,O
380,CD,O
of,IN,O
2014,CD,O
in,IN,O
dfr,NN,O
no,DT,O
2355,CD,O
of,IN,O
2014,CD,O
of,IN,O
the,DT,O
appellate,JJ,O
tribunal,NN,O
for,IN,O
electricity,NN,O
delhi,NN,O
hereinafter,NN,O
referred,VBD,O
to,TO,O
as,IN,O
the,DT,O
appellate,JJ,O
tribunal,NN,O
constituted,VBD,O
under,IN,O
section,NN,O
110,CD,O
of,IN,O
the,DT,O
act,NN,O
2,CD,O
by,IN,O
the,DT,O
impugned,JJ,O
order,NN,O
the,DT,O
appellate,JJ,O
tribunal,NN,O
declined,VBD,O
to,TO,O
condone,VB,O
the,DT,O
delay,NN,O
of,IN,O
481,CD,O
days,NNS,O
in,IN,O
preferring,VBG,O
an,DT,O
appeal,NN,O
against,IN,O
the,DT,O
order,NN,O
dated,VBD,O
02042013,CD,O
of,IN,O
the,DT,O
central,JJ,O
electricity,NN,O
regulatory,JJ,O
commission,NN,O
hereinafter,NN,O
referred,VBD,O
to,TO,O
as,IN,O
the,DT,O
central,JJ,O
commission,NN,O
constituted,VBD,O
under,IN,O
section,NN,O
76,CD,O
of,IN,O
the,DT,O
act,NN,O
3,CD,O
the,DT,O
facts,NNS,O
giving,VBG,O
rise,NN,O
to,TO,O
this,DT,O
appeal,NN,O
are,VBP,O
as,IN,O
follows,VBZ,O
the,DT,O
appellant,JJ,O
m,NN,O
s,NN,O
adani,NN,O
power,NN,O
limited,VBN,O
is,VBZ,O
a,DT,O
subsidiary,NN,O
company,NN,O
of,IN,O
m,NN,O
s,NN,O
adani,NN,O
enterprises,NNS,O
limited,VBD,O
the,DT,O
appellant,NN,O
has,VBZ,O
established,VBN,O
a,DT,O
power,NN,O
generating,VBG,B-LEGAL
station,NN,I-LEGAL
with,IN,O
a,DT,O
total,JJ,O
capacity,NN,O
of,IN,O
4620,CD,O
mw,NN,O
in,IN,O
the,DT,O
special,JJ,O
economic,JJ,O
zone,NN,O
at,IN,O
mundra,NN,O
in,IN,O
the,DT,O
state,NN,O
of,IN,O
gujarat,NN,O
the,DT,O
appellant,NN,O
entered,VBD,O
into,IN,O
two,CD,O
power,NN,O
purchase,NN,O
agreements,NNS,O
for,IN,O
short,JJ,O
ppa,NN,O
dated,VBD,O
02022007,CD,O
and,CC,O
06022007,CD,O
by,IN,O
which,WDT,O
the,DT,O
appellant,NN,O
agreed,VBD,O
to,TO,O
supply,VB,O
2x1000,CD,O
mw,JJ,O
power,NN,O
to,TO,O
gujarat,VB,O
urja,JJ,O
vikas,NN,O
nigam,RB,O
limited,VBD,O
respondent,JJ,O
no,DT,O
4,CD,O
herein,NN,O
by,IN,O
another,DT,O
ppa,NN,O
dated,VBD,O
07082008,CD,O
the,DT,O
appellant,NN,O
agreed,VBD,O
to,TO,O
supply,VB,O
1424,CD,O
mw,NN,O
power,NN,O
to,TO,O
uttar,VB,O
haryana,JJ,O
bijli,NN,O
vitran,NN,O
nigam,RB,O
limited,JJ,O
and,CC,O
dakshin,JJ,O
haryana,NN,O
bijli,NN,O
vitran,NN,O
nigam,RB,O
limited,JJ,O
respondent,NN,O
nos,RB,O
2,CD,O
3,CD,O
herein,NN,O
4,CD,O
the,DT,O
appellant,NN,O
filed,VBD,O
a,DT,O
petition,NN,O
no,DT,O
155,CD,O
mp,NN,O
2012,CD,O
under,IN,O
section,NN,O
79,CD,O
of,IN,O
the,DT,O
act,NN,O
before,IN,O
the,DT,O
central,JJ,O
commission,NN,O
with,IN,O
prayers,NNS,O
as,IN,O
follows,VBZ,O
a,DT,O
to,TO,O
evolve,VB,O
a,DT,O
mechanism,NN,O
to,TO,O
restore,VB,O
the,DT,O
applicant,NN,O
to,TO,O
the,DT,O
same,JJ,O
economic,JJ,O
condition,NN,O
prior,RB,O
to,TO,O
occurrence,NN,O
of,IN,O
subsequent,JJ,O
events,NNS,O
mentioned,VBN,O
in,IN,O
respective,JJ,O
part,NN,O
i,NN,O
ii,VBP,O
hereinabove,NN,O
by,IN,O
adjudicating,VBG,O
the,DT,O
disputes,NNS,O
between,IN,O
the,DT,O
applicant,NN,O
and,CC,O
the,DT,O
respondents,NNS,O
in,IN,O
relation,NN,O
to,TO,O
regulate,VB,O
including,VBG,O
changing,VBG,O
and,CC,O
or,CC,O
revising,VBG,O
the,DT,O
price,NN,O
tariff,NN,B-LEGAL
under,IN,O
ppas,NN,O
dated,VBD,O
782008,CD,O
with,IN,O
uhbvnl,JJ,O
and,CC,O
dhbvnl,NN,O
and,CC,O
222007,CD,O
with,IN,O
guvnl,NN,O
b,NN,O
in,IN,O
the,DT,O
alternative,NN,O
to,TO,O
declare,VB,O
that,IN,O
the,DT,O
applicant,NN,O
is,VBZ,O
discharged,VBN,O
from,IN,O
the,DT,O
performance,NN,O
of,IN,O
the,DT,O
ppas,NN,O
on,IN,O
account,NN,B-LEGAL
of,IN,O
frustration,NN,O
of,IN,O
the,DT,O
ppas,NN,O
due,JJ,B-LEGAL
to,TO,O
subsequent,JJ,O
events,NNS,O
in,IN,O
respective,JJ,O
part,NN,O
i,NN,O
ii,VBP,O
c,NN,O
this,DT,O
hon,NN,O
ble,JJ,O
central,JJ,O
commission,NN,O
be,VB,O
pleased,VBN,O
to,TO,O
declare,VB,O
that,IN,O
the,DT,O
revised,VBN,O
tariff,NN,B-LEGAL
shall,MD,O
be,VB,O
applicable,JJ,O
from,IN,O
the,DT,O
scheduled,JJ,O
commercial,JJ,B-LEGAL
operation,NN,O
date,NN,O
scod,NN,O
of,IN,O
the,DT,O
ppas,NN,O
d,NN,O
that,WDT,O
during,IN,O
the,DT,O
pendency,NN,O
of,IN,O
the,DT,O
present,JJ,O
application,NN,O
hon,NN,O
ble,JJ,O
central,JJ,O
commission,NN,O
may,MD,O
direct,VB,O
the,DT,O
respondents,NNS,O
to,TO,O
procure,VB,O
power,NN,O
on,IN,O
the,DT,O
cost,NN,O
plus,CC,O
basis,NN,O
alternatively,RB,O
the,DT,O
hon,NN,O
ble,JJ,O
central,JJ,O
commission,NN,O
may,MD,O
suspend,VB,O
the,DT,O
operation,NN,O
of,IN,O
the,DT,O
ppas,NN,O
till,VBZ,O
the,DT,O
final,JJ,O
disposal,NN,O
of,IN,O
the,DT,O
application,NN,O
e,NN,O
pass,NN,O
such,JJ,O
further,JJ,O
or,CC,O
other,JJ,O
orders,NNS,O
as,IN,O
the,DT,O
hon,NN,O
ble,JJ,O
central,JJ,O
commission,NN,O
may,MD,O
deem,VB,O
just,RB,O
and,CC,O
proper,JJ,O
in,IN,O
the,DT,O
circumstances,NNS,O
of,IN,O
the,DT,O
case,NN,O
5,CD,O
the,DT,O
substance,NN,O
of,IN,O
the,DT,O
petition,NN,O
is,VBZ,O
that,IN,O
due,JJ,B-LEGAL
to,TO,O
various,JJ,O
reasons,NNS,O
stated,VBN,O
by,IN,O
the,DT,O
appellant,NN,O
in,IN,O
its,PRP$,O
petition,NN,O
the,DT,O
appellant,NN,O
will,MD,O
not,RB,O
be,VB,O
able,JJ,O
to,TO,O
supply,VB,O
power,NN,O
to,TO,O
respondents,VB,O
no,DT,O
2,CD,O
to,TO,O
4,CD,O
at,IN,O
the,DT,O
rates,NNS,O
agreed,VBD,O
between,IN,O
the,DT,O
appellant,NN,O
and,CC,O
those,DT,O
respondents,NNS,O
by,IN,O
the,DT,O
abovementioned,JJ,O
ppas,NN,O
therefore,IN,O
the,DT,O
appellant,JJ,O
sought,VBD,O
the,DT,O
abovementioned,JJ,O
reliefs,NNS,O
6,CD,O
the,DT,O
appellant,NN,O
submitted,VBN,O
before,IN,O
the,DT,O
central,JJ,O
commission,NN,O
that,IN,O
he,PRP,O
is,VBZ,O
entitled,VBN,O
for,IN,O
the,DT,O
various,JJ,O
reliefs,NNS,O
on,IN,O
three,CD,O
distinct,JJ,O
grounds,NNS,O
they,PRP,O
are,VBP,O
1,CD,O
that,IN,O
the,DT,O
subsequent,JJ,O
events,NNS,O
qualify,VBP,O
as,IN,O
force,NN,O
majeure,NN,O
as,IN,O
per,IN,O
article,NN,O
12,CD,O
of,IN,O
the,DT,O
ppas,NN,O
therefore,IN,O
the,DT,O
contracts,NNS,O
are,VBP,O
frustrated,VBN,O
2,CD,O
that,IN,O
the,DT,O
subsequent,JJ,O
events,NNS,O
tantamount,NN,O
to,TO,O
change,VB,O
of,IN,O
law,NN,O
as,IN,O
contemplated,VBN,O
under,IN,O
article,NN,O
13,CD,O
of,IN,O
the,DT,O
