bp,NN,O
singh,VBD,O
j,$,O
1,CD,O
the,DT,O
three,CD,O
appellants,NNS,O
herein,VBP,O
were,VBD,O
tried,VBN,O
by,IN,O
the,DT,O
second,JJ,O
additional,JJ,O
sessions,NNS,O
judge,NN,O
vidisha,NN,O
mp,NN,O
in,IN,O
sessions,NNS,O
trial,NN,O
no,DT,O
76,CD,O
of,IN,O
1992,CD,O
charged,NN,O
of,IN,O
offences,NNS,O
under,IN,O
section,NN,O
31x,CD,O
of,IN,O
the,DT,O
scheduled,JJ,O
castes,NNS,O
scheduled,VBN,O
tribes,JJ,O
prevention,NN,O
of,IN,O
atrocities,NNS,O
act,JJ,O
1989,CD,O
section,NN,O
3762g,CD,O
and,CC,O
section,NN,O
506,CD,O
of,IN,O
the,DT,O
indian,JJ,O
penal,JJ,O
code,NN,O
on,IN,O
the,DT,O
allegation,NN,O
that,IN,O
they,PRP,O
had,VBD,O
on,IN,O
march,NN,O
4,CD,O
1992,CD,O
committed,VBD,O
gang,NN,B-LEGAL
rape,NN,I-LEGAL
and,CC,O
criminally,RB,O
intimidated,VBN,O
kumari,NN,O
lusia,VBZ,O
a,DT,O
tribal,JJ,O
woman,NN,O
who,WP,O
was,VBD,O
posted,VBN,O
as,IN,O
assistant,NN,O
teacher,NN,O
in,IN,O
the,DT,O
primary,JJ,O
government,NN,O
school,NN,O
at,IN,O
village,NN,O
bagod,VBD,O
the,DT,O
trial,NN,O
court,NN,O
acquitted,VBD,O
them,PRP,O
of,IN,O
the,DT,O
charge,NN,O
under,IN,O
the,DT,O
scheduled,JJ,O
castes,NNS,O
scheduled,VBN,O
tribes,JJ,O
prevention,NN,O
of,IN,O
atrocities,NNS,O
act,JJ,O
1989,CD,O
but,CC,O
found,VBD,O
them,PRP,O
guilty,JJ,O
of,IN,O
the,DT,O
offence,NN,O
under,IN,O
section,NN,O
3762g,CD,O
of,IN,O
the,DT,O
indian,JJ,O
penal,JJ,O
code,NN,O
and,CC,O
sentenced,VBD,O
them,PRP,O
to,TO,O
ten,VB,O
years,NNS,O
rigorous,JJ,B-LEGAL
imprisonment,NN,I-LEGAL
and,CC,O
a,DT,O
fine,NN,O
of,IN,O
rs,NN,O
2,CD,O
000,CD,O
each,DT,O
under,IN,O
that,DT,O
section,NN,O
it,PRP,O
further,RBR,O
found,VBD,O
them,PRP,O
guilty,JJ,O
of,IN,O
the,DT,O
offence,NN,O
under,IN,O
section,NN,O
506,CD,O
part,NN,O
ii,NN,O
of,IN,O
the,DT,O
indian,JJ,O
penal,JJ,O
code,NN,O
for,IN,O
which,WDT,O
they,PRP,O
were,VBD,O
sentenced,VBN,O
to,TO,O
one,CD,O
year,NN,O
rigorous,JJ,B-LEGAL
imprisonment,NN,I-LEGAL
aggrieved,VBN,O
by,IN,O
the,DT,O
judgment,NN,O
and,CC,O
order,NN,O
of,IN,O
the,DT,O
trial,NN,O
court,NN,O
the,DT,O
appellant,JJ,O
malkhansingh,NN,O
preferred,VBD,O
criminal,JJ,O
appeal,NN,O
no,DT,O
49,CD,O
of,IN,O
1997,CD,O
while,IN,O
the,DT,O
