abhay,NN,O
manohar,NN,O
sapre,VBD,O
j,$,O
1,CD,O
delay,NN,O
in,IN,O
filing,VBG,O
special,JJ,O
leave,JJ,O
petition,NN,O
is,VBZ,O
condoned,VBN,O
leave,RB,O
granted,VBN,O
2,CD,O
this,DT,O
appeal,NN,O
is,VBZ,O
filed,VBN,O
against,IN,O
the,DT,O
final,JJ,O
judgment,NN,O
and,CC,O
order,NN,O
dated,VBD,O
08042015,CD,O
of,IN,O
the,DT,O
high,JJ,O
court,NN,O
of,IN,O
judicature,NN,O
at,IN,O
patna,NN,O
in,IN,O
cwjc,NN,O
no,DT,O
5402,CD,O
of,IN,O
2015,CD,O
whereby,IN,O
the,DT,O
high,JJ,O
court,NN,O
while,IN,O
disposing,VBG,O
of,IN,O
the,DT,O
appellant,JJ,O
s,NN,O
writ,NN,O
petition,NN,O
granted,VBD,O
liberty,NN,O
to,TO,O
file,VB,O
representation,NN,O
to,TO,O
the,DT,O
national,JJ,O
thermal,JJ,O
power,NN,O
corporation,NN,O
ntpc,RB,O
but,CC,O
at,IN,O
the,DT,O
same,JJ,O
time,NN,O
passed,VBD,O
an,DT,O
order,NN,O
that,IN,O
the,DT,O
appellants,NNS,O
will,MD,O
have,VB,O
no,DT,O
liberty,NN,O
to,TO,O
move,VB,O
the,DT,O
high,JJ,O
court,NN,O
again,RB,O
for,IN,O
the,DT,O
same,JJ,O
cause,NN,B-LEGAL
of,IN,I-LEGAL
action,NN,I-LEGAL
raised,VBN,O
therein,RB,O
3,CD,O
we,PRP,O
have,VBP,O
heard,VBN,O
learned,JJ,O
counsel,NN,O
for,IN,O
the,DT,O
appellant,NN,O
and,CC,O
have,VBP,O
perused,VBN,O
the,DT,O
record,NN,O
of,IN,O
the,DT,O
case,NN,O
4,CD,O
having,VBG,O
heard,VBN,O
learned,JJ,O
counsel,NN,O
for,IN,O
the,DT,O
appellant,NN,O
we,PRP,O
are,VBP,O
inclined,VBN,O
to,TO,O
dispose,VB,O
of,IN,O
this,DT,O
appeal,NN,O
after,IN,O
granting,VBG,O
leave,NN,O
at,IN,O
the,DT,O
admission,NN,O
stage,NN,O
itself,PRP,O
as,IN,O
we,PRP,O
are,VBP,O
of,IN,O
the,DT,O
view,NN,O
that,IN,O
the,DT,O
same,JJ,O
can,MD,O
be,VB,O
disposed,VBN,O
of,IN,O
without,IN,O
notice,NN,O
to,TO,O
the,DT,O
other,JJ,O
side,NN,O
5,CD,O
in,IN,O
the,DT,O
light,NN,O
of,IN,O
the,DT,O
order,NN,O
that,IN,O
we,PRP,O
have,VBP,O
passed,VBN,O
it,PRP,O
is,VBZ,O
neither,RB,O
necessary,JJ,O
to,TO,O
set,VB,O
out,RP,O
the,DT,O
facts,NNS,O
of,IN,O
the,DT,O
case,NN,O
in,IN,O
detail,NN,O
and,CC,O
as,IN,O
mentioned,VBN,O
above,IN,O
nor,CC,O
necessary,JJ,O
to,TO,O
issue,VB,O
notice,NN,O
of,IN,O
this,DT,O
appeal,NN,O
to,TO,O
the,DT,O
other,JJ,O
