shivaraj,NN,O
v,NN,O
patil,NN,O
j,NN,O
1,CD,O
from,IN,O
the,DT,O
order,NN,O
of,IN,O
reference,NN,O
made,VBN,O
in,IN,O
jaipur,JJ,O
zila,NN,O
sahkari,NN,O
bhoomi,NN,O
vikas,JJ,O
bank,NN,O
ltd,NN,O
v,JJ,O
ram,NN,O
gopal,JJ,O
sharma,NN,O
and,CC,O
anr,JJ,O
manu,NN,O
sc,NN,O
0867,CD,O
1994manu,CD,O
sc,NN,O
0867,CD,O
1994,CD,O
1993illj897sc,CD,O
the,DT,O
question,NN,O
that,WDT,O
arises,VBZ,O
for,IN,O
consideration,NN,O
is,VBZ,O
if,IN,O
the,DT,O
approval,NN,O
is,VBZ,O
not,RB,O
granted,VBN,O
under,IN,O
section,NN,O
332b,CD,O
of,IN,O
the,DT,O
industrial,JJ,O
disputes,NNS,O
act,IN,O
1947,CD,O
whether,IN,O
the,DT,O
order,NN,O
of,IN,O
dismissal,NN,B-LEGAL
becomes,NNS,O
ineffective,VBP,O
from,IN,O
the,DT,O
date,NN,O
it,PRP,O
was,VBD,O
passed,VBN,O
or,CC,O
from,IN,O
the,DT,O
date,NN,O
of,IN,O
non,JJ,O
approval,NN,O
of,IN,O
the,DT,O
order,NN,O
of,IN,O
dismissal,NN,B-LEGAL
and,CC,O
whether,IN,O
failure,NN,O
to,TO,O
make,VB,O
application,NN,B-LEGAL
under,IN,I-LEGAL
section,NN,O
332b,CD,O
would,MD,O
not,RB,O
render,VB,O
the,DT,O
order,NN,O
of,IN,O
dismissal,NN,B-LEGAL
inoperative,JJ,O
2,CD,O
finding,VBG,O
conflict,NN,O
of,IN,O
views,NNS,O
expressed,VBN,O
by,IN,O
benches,NNS,O
of,IN,O
three,CD,O
learned,VBD,O
judges,NNS,O
of,IN,O
this,DT,O
court,NN,O
on,IN,O
the,DT,O
question,NN,O
the,DT,O
reference,NN,O
is,VBZ,O
made,VBN,O
3,CD,O
the,DT,O
two,CD,O
benches,NNS,O
consisting,VBG,O
of,IN,O
three,CD,O
learned,VBD,O
judges,NNS,O
in,IN,O
1,CD,O
strawboard,NN,O
manufacturing,NN,O
co,NN,O
v,NN,O
gobind,NN,O
manu,NN,O
sc,NN,O
0298,CD,O
1962manu,CD,O
sc,NN,O
0298,CD,O
1962,CD,O
1962illj420sc,CD,O
and,CC,O
2,CD,O
tata,NN,O
iron,NN,O
steel,NN,O
co,NNS,O
ltd,VBP,O
v,JJ,O
sn,NN,O
modak,NN,O
manu,NN,O
sc,NN,O
0233,CD,O
1965manu,CD,O
sc,NN,O
0233,CD,O
1965,CD,O
1965iillj128sc,CD,O
have,VBP,O
taken,VBN,O
the,DT,O
view,NN,O
that,IN,O
if,IN,O
the,DT,O
approval,NN,O
is,VBZ,O
not,RB,O
granted,VBN,O
under,IN,O
section,NN,O
332b,CD,O
of,IN,O
the,DT,O
industrial,JJ,O
disputes,NNS,O
act,VBP,O
1947,CD,O
for,IN,O
short,JJ,O
the,DT,O
act,NN,O
the,DT,O
order,NN,O
of,IN,O
dismissal,NN,B-LEGAL
becomes,NNS,O
ineffective,VBP,O
from,IN,O
the,DT,O
date,NN,O
it,PRP,O
was,VBD,O
passed,VBN,O
and,CC,O
therefore,RB,O
the,DT,O
employee,NN,O
becomes,VBZ,O
entitled,VBN,O
to,TO,O
wages,NNS,O
from,IN,O
the,DT,O
date,NN,O
of,IN,O
dismissal,NN,B-LEGAL
to,TO,O
the,DT,O
date,NN,O
of,IN,O
disapproval,NN,O
of,IN,O
the,DT,O
application,NN,O
another,DT,O
bench,NN,O
of,IN,O
three,CD,O
learned,VBD,O
judges,NNS,O
in,IN,O
punjab,JJ,O
beverages,NNS,O
