hl,NN,O
dattu,NN,O
cji,NN,O
1,CD,O
leave,NN,O
granted,VBN,O
2,CD,O
the,DT,O
issue,NN,O
that,WDT,O
arises,VBZ,O
for,IN,O
our,PRP$,O
consideration,NN,O
and,CC,O
decision,NN,O
in,IN,O
the,DT,O
present,JJ,O
appeals,NNS,O
is,VBZ,O
whether,IN,O
an,DT,O
official,JJ,O
liquidator,NN,O
is,VBZ,O
a,DT,O
dealer,NN,O
within,IN,O
the,DT,O
meaning,NN,O
of,IN,O
section,NN,O
2viii,CD,O
of,IN,O
the,DT,O
kerala,JJ,O
general,JJ,O
sales,NNS,O
tax,NN,O
act,NN,O
1963,CD,O
for,IN,O
short,JJ,O
the,DT,O
act,NN,O
1963,CD,O
and,CC,O
therefore,RB,O
would,MD,O
be,VB,O
required,VBN,O
to,TO,O
collect,VB,O
sales,NNS,O
tax,NN,O
in,IN,O
respect,NN,O
of,IN,O
the,DT,O
sales,NNS,O
effected,VBN,O
by,IN,O
him,PRP,O
pursuant,VB,O
to,TO,O
winding,VBG,O
up,RP,O
proceedings,NNS,O
of,IN,O
a,DT,O
company,NN,B-LEGAL
in,IN,O
liquidation,NN,O
3,CD,O
these,DT,O
appeals,NNS,O
are,VBP,O
directed,VBN,O
against,IN,O
the,DT,O
judgments,NNS,O
and,CC,O
orders,NNS,O
passed,VBN,O
by,IN,O
the,DT,O
high,JJ,O
court,NN,O
of,IN,O
kerala,NN,O
in,IN,O
mfa,NN,O
no,DT,O
1394,CD,O
of,IN,O
2002,CD,O
dated,VBD,O
11022003,CD,O
and,CC,O
in,IN,O
review,NN,O
petition,NN,O
no,DT,O
191,CD,O
of,IN,O
2003,CD,O
dated,VBD,O
21032003,CD,O
the,DT,O
division,NN,O
bench,NN,O
of,IN,O
the,DT,O
high,JJ,O
court,NN,O
in,IN,O
review,NN,O
confirmed,VBD,O
the,DT,O
finding,NN,O
in,IN,O
mfa,NN,O
no,DT,O
1394,CD,O
of,IN,O
2002,CD,O
and,CC,O
concluded,VBD,O
that,IN,O
the,DT,O
official,JJ,O
liquidator,NN,O
is,VBZ,O
not,RB,O
a,DT,O
dealer,NN,O
under,IN,O
the,DT,O
act,NN,O
1963,CD,O
however,RB,O
by,IN,O
the,DT,O
impugned,JJ,O
judgment,NN,O
the,DT,O
high,JJ,O
court,NN,O
has,VBZ,O
set,VBN,O
aside,RP,O
the,DT,O
finding,NN,O
of,IN,O
the,DT,O
learned,VBN,O
single,JJ,O
judge,NN,O
which,WDT,O
held,VBD,O
that,IN,O
the,DT,O
machinery,NN,O
purchased,VBN,O
in,IN,O
the,DT,O
auction,NN,O
sale,NN,O
conducted,VBN,O
by,IN,O
the,DT,O
official,JJ,O
liquidator,NN,O
is,VBZ,O
not,RB,O
be,VB,O
liable,JJ,O
to,TO,O
be,VB,O
taxed,VBN,O
under,IN,O
the,DT,O
act,NN,O
1963,CD,O
the,DT,O
impugned,JJ,O
judgment,NN,O
has,VBZ,O
further,RB,O
accepted,VBN,O
a,DT,O
fresh,JJ,O
plea,NN,O
raised,VBN,O
by,IN,O
the,DT,O
appellant,NN,O
that,IN,O
the,DT,O
auction,NN,O
purchaser,NN,O
would,MD,O
be,VB,O
liable,JJ,O
to,TO,O
pay,VB,O
purchase,NN,O
tax,NN,O
under,IN,O
section,NN,O
5a,CD,O
of,IN,O
the,DT,O
act,NN,O
1963,CD,O
4,CD,O
it,PRP,O
is,VBZ,O
relevant,JJ,O
to,TO,O
state,NN,O
that,WDT,O
respondent,VBD,O
no,DT,O
1,CD,O
that,WDT,O
is,VBZ,O
hindustan,JJ,O
urban,JJ,O
infrastructure,NN,O
ltd,NN,O
had,VBD,O
filed,VBN,O
a,DT,O
separate,JJ,O
appeal,NN,O
civil,JJ,O
appeal,NN,O
no,DT,O
5048,CD,O
of,IN,O
2003,CD,O
against,IN,O
the,DT,O
specific,JJ,O
finding,NN,O
of,IN,O
the,DT,O
high,JJ,O
court,NN,O
in,IN,O
the,DT,O
impugned,JJ,O
judgment,NN,O
with,IN,O
regard,NN,O
to,TO,O
the,DT,O
liability,NN,O
to,TO,O
pay,VB,O
purchase,NN,O
tax,NN,O
which,WDT,O
was,VBD,O
imposed,VBN,O
upon,IN,O
the,DT,O
auction,NN,O
purchaser,NN,O
thereunder,NN,O
this,DT,O
court,NN,O
has,VBZ,O
separately,RB,O
dealt,VBN,O
with,IN,O
the,DT,O
aforesaid,JJ,O
question,NN,O
by,IN,O
its,PRP$,O
order,NN,O
dated,VBD,O
04092014,CD,O
in,IN,O
the,DT,O
said,VBD,O
civil,JJ,O
appeal,NN,O
facts,VBZ,O
5,CD,O
to,TO,O
appreciate,VB,O
the,DT,O
issues,NNS,O
involved,VBN,O
it,PRP,O
would,MD,O
be,VB,O
necessary,JJ,O
to,TO,O
notice,VB,O
the,DT,O
facts,NNS,O
leading,VBG,O
up,RB,O
to,TO,O
the,DT,O
present,JJ,O
appeals,NNS,O
m,VBP,O
s,RB,O
premier,RBR,O
cable,NN,O
company,NN,B-LEGAL
ltd,NN,O
for,IN,O
short,JJ,O
the,DT,O
company,NN,B-LEGAL
was,VBD,O
registered,VBN,O
under,IN,O
the,DT,O
companies,NNS,O
act,VBP,O
1956,CD,O
for,IN,O
short,JJ,O
the,DT,O
act,NN,O
1956,CD,O
and,CC,O
engaged,VBN,O
in,IN,O
the,DT,O
manufacturing,NN,O
of,IN,O
pvc,JJ,O
power,NN,O
cables,NNS,O
aluminium,VBP,O
conductors,NNS,O
enameled,VBD,O
wires,NNS,O
etc,FW,O
pursuant,NN,O
to,TO,O
a,DT,O
recommendation,NN,O
by,IN,O
the,DT,O
board,NN,B-LEGAL
for,IN,I-LEGAL
industrial,JJ,I-LEGAL
and,CC,I-LEGAL
financial,JJ,I-LEGAL
reconstruction,NN,I-LEGAL
for,IN,O
short,JJ,O
bifr,NN,B-LEGAL
the,DT,O
company,NN,B-LEGAL
was,VBD,O
ordered,VBN,O
to,TO,O
be,VB,O
wound,VBN,O
up,RP,O
by,IN,O
an,DT,O
order,NN,O
passed,VBN,O
by,IN,O
the,DT,O
high,JJ,O
court,NN,O
in,IN,O
cp,NN,O
no,DT,O
2,CD,O
of,IN,O
1996,CD,O
dated,VBD,O
18061998,CD,O
respondent,NN,O
no,DT,O
2,CD,O
that,WDT,O
is,VBZ,O
the,DT,O
official,JJ,O
liquidator,NN,O
attached,VBD,O
to,TO,O
the,DT,O
high,JJ,O
court,NN,O
was,VBD,O
appointed,VBN,O
to,TO,O
take,VB,O
charge,NN,B-LEGAL
of,IN,O
the,DT,O
assets,NNS,B-LEGAL
and,CC,I-LEGAL
liabilities,NNS,I-LEGAL
of,IN,O
the,DT,O
company,NN,B-LEGAL
and,CC,O
to,TO,O
deal,VB,O
with,IN,O
the,DT,O
same,JJ,O
in,IN,O
accordance,NN,O
with,IN,O
the,DT,O
provisions,NNS,O
of,IN,O
the,DT,O
act,NN,O
1956,CD,O
and,CC,O
the,DT,O
rules,NNS,O
framed,VBD,O
thereunder,NN,O
6,CD,O
pursuant,NN,O
to,TO,O
the,DT,O
aforesaid,NN,O
order,NN,O
the,DT,O
official,JJ,O
liquidator,NN,O
issued,VBD,O
a,DT,O
notice,JJ,O
inviting,NN,O
tenders,NNS,O
in,IN,O
respect,NN,O
of,IN,O
the,DT,O
sale,NN,O
of,IN,O
assets,NNS,O
of,IN,O
the,DT,O
company,NN,B-LEGAL
in,IN,O
liquidation,NN,O
dated,VBD,O
26112001,CD,O
the,DT,O
aforesaid,JJ,O
