v,NN,O
gopala,NN,O
gowda,NN,O
j,NN,O
1,CD,O
leave,NN,O
granted,VBN,O
2,CD,O
this,DT,O
appeal,NN,O
is,VBZ,O
filed,VBN,O
by,IN,O
the,DT,O
appellants,NNS,O
against,IN,O
the,DT,O
impugned,JJ,O
judgment,NN,O
and,CC,O
order,NN,O
dated,VBD,O
23022015,CD,O
passed,VBN,O
in,IN,O
criminal,JJ,O
appeal,NN,O
no,DT,O
101,CD,O
of,IN,O
2010,CD,O
by,IN,O
the,DT,O
high,JJ,O
court,NN,O
of,IN,O
judicature,NN,O
of,IN,O
gujarat,NN,O
at,IN,O
ahmedabad,JJ,O
wherein,VBP,O
the,DT,O
high,JJ,O
court,NN,O
has,VBZ,O
dismissed,VBN,O
the,DT,O
appeal,NN,O
of,IN,O
the,DT,O
appellants,NNS,O
and,CC,O
upheld,VBD,O
the,DT,O
order,NN,O
of,IN,O
conviction,NN,O
and,CC,O
sentence,NN,O
of,IN,O
the,DT,O
appellants,NNS,O
under,IN,O
sections,NNS,O
498a,CD,O
and,CC,O
306,CD,O
read,NN,O
with,IN,O
section,NN,O
114,CD,O
of,IN,O
the,DT,O
indian,JJ,O
penal,NN,O
code,NN,O
1860,CD,O
in,IN,O
short,JJ,O
ipc,NN,O
passed,VBN,O
by,IN,O
the,DT,O
fast,JJ,O
track,NN,O
court,NN,O
veraval,NN,O
camp,NN,O
una,NN,O
in,IN,O
sessions,NNS,O
case,NN,O
no,DT,O
9,CD,O
of,IN,O
2007,CD,O
hereinafter,NN,O
the,DT,O
trial,NN,O
court,NN,O
in,IN,O
its,PRP$,O
judgment,NN,O
and,CC,O
order,NN,O
dated,VBD,O
21112009,CD,O
the,DT,O
appellants,NNS,O
have,VBP,O
prayed,VBN,O
to,TO,O
set,VB,O
aside,RP,O
the,DT,O
same,JJ,O
and,CC,O
quash,VB,O
the,DT,O
criminal,JJ,O
proceedings,NNS,O
initiated,VBN,O
against,IN,O
them,PRP,O
by,IN,O
the,DT,O
respondent,NN,O
state,NN,O
urging,VBG,O
various,JJ,O
legal,JJ,O
grounds,NNS,O
3,CD,O
the,DT,O
brief,JJ,O
facts,NNS,O
of,IN,O
the,DT,O
case,NN,O
are,VBP,O
stated,VBN,O
hereunder,NN,O
to,TO,O
appreciate,VB,O
the,DT,O
rival,JJ,O
legal,JJ,O
contentions,NNS,O
urged,VBN,O
on,IN,O
behalf,NN,O
of,IN,O
the,DT,O
parties,NNS,O
the,DT,O
appellant,JJ,O
nos,JJ,O
1,CD,O
and,CC,O
2,CD,O
are,VBP,O
the,DT,O
mother,NN,O
in,IN,O
law,NN,O
and,CC,O
the,DT,O
sister,NN,O
in,IN,O
law,NN,O
of,IN,O
the,DT,O
deceased,VBN,O
respectively,RB,O
it,PRP,O
is,VBZ,O
the,DT,O
case,NN,O
of,IN,O
the,DT,O
prosecution,NN,O
that,IN,O
the,DT,O
deceased,VBN,O
was,VBD,O
residing,VBG,O
with,IN,O
her,PRP$,O
husband,NN,O
and,CC,O
in,IN,O
laws,NNS,O
in,IN,O
a,DT,O
joint,JJ,O
family,NN,O
at,IN,O
kodinar,NN,O
with,IN,O
a,DT,O
minor,JJ,O
daughter,NN,O
however,RB,O
within,IN,O
2,CD,O
years,NNS,O
of,IN,O
marriage,NN,O
the,DT,O
deceased,VBN,O
was,VBD,O
allegedly,RB,O
tortured,JJ,O
by,IN,O
her,PRP$,O
husband,NN,O
and,CC,O
her,PRP$,O
in,IN,O
laws,NNS,O
for,IN,O
not,RB,O
bringing,VBG,O
dowry,NNS,O
and,CC,O
not,RB,O
working,VBG,O
properly,RB,O
the,DT,O
deceased,VBN,O
was,VBD,O
also,RB,O
allegedly,RB,O
driven,VBN,O
out,IN,O
of,IN,O
her,PRP$,O
matrimonial,JJ,O
home,NN,O
and,CC,O
was,VBD,O
forced,VBN,O
to,TO,O
stay,VB,O
at,IN,O
kanta,NN,O
stri,NN,O
vikas,NN,O
gruh,NN,O
at,IN,O
rajkot,NN,O
4,CD,O
the,DT,O
deceased,VBN,O
informed,VBD,O
the,DT,O
complainant,NN,O
who,WP,O
is,VBZ,O
her,PRP$,O
paternal,JJ,O
uncle,NN,O
about,IN,O
the,DT,O
harassment,NN,O
and,CC,O
that,IN,O
her,PRP$,O
husband,NN,O
and,CC,O
in,IN,O
laws,NNS,O
were,VBD,O
demanding,VBG,O
an,DT,O
amount,NN,O
of,IN,O
rs,NN,O
20,CD,O
000,CD,O
from,IN,O
her,PRP$,O
the,DT,O
maternal,JJ,O
uncle,NN,O
of,IN,O
