ak,NN,O
goel,NN,O
j,NN,O
1,CD,O
leave,NN,O
granted,VBN,O
the,DT,O
issue,NN,O
raised,VBD,O
for,IN,O
consideration,NN,O
in,IN,O
these,DT,O
appeals,NNS,O
is,VBZ,O
whether,IN,O
recall,NN,O
of,IN,O
witnesses,NNS,O
at,IN,O
the,DT,O
stage,NN,O
when,WRB,O
statement,NN,O
of,IN,O
accused,VBN,O
under,IN,O
section,NN,O
313,CD,O
of,IN,O
the,DT,O
code,NN,O
of,IN,O
criminal,JJ,O
procedure,NN,O
code,NN,O
of,IN,O
criminal,JJ,O
procedure,NN,O
has,VBZ,O
been,VBN,O
recorded,VBN,O
could,MD,O
be,VB,O
allowed,VBN,O
on,IN,O
the,DT,O
plea,NN,O
that,IN,O
the,DT,O
defence,NN,O
counsel,NN,O
was,VBD,O
not,RB,O
competent,JJ,O
and,CC,O
had,VBD,O
not,RB,O
effectively,RB,O
cross,NN,O
examined,VBD,O
the,DT,O
witnesses,NNS,O
having,VBG,O
regard,NN,O
to,TO,O
the,DT,O
facts,NNS,O
and,CC,O
circumstances,NNS,O
of,IN,O
this,DT,O
case,NN,O
2,CD,O
facts,NNS,O
relevant,JJ,O
for,IN,O
deciding,VBG,O
the,DT,O
issue,NN,O
lie,NN,O
in,IN,O
a,DT,O
narrow,JJ,O
compass,NN,O
on,IN,O
6th,CD,O
december,NN,O
2014,CD,O
a,DT,O
first,JJ,B-LEGAL
information,NN,I-LEGAL
report,NN,I-LEGAL
was,VBD,O
lodged,VBN,O
alleging,VBG,O
that,IN,O
the,DT,O
respondent,NN,O
accused,VBD,O
who,WP,O
was,VBD,O
the,DT,O
driver,NN,O
of,IN,O
cab,NN,O
no,DT,O
dl,NN,O
1yd,CD,O
7910,CD,O
swift,NN,O
dzire,NN,O
hired,VBN,O
by,IN,O
the,DT,O
victim,NN,O
on,IN,O
5th,CD,O
december,NN,O
2014,CD,O
for,IN,O
returning,VBG,O
home,NN,O
from,IN,O
her,PRP$,O
office,NN,O
committed,VBD,O
rape,NN,O
on,IN,O
her,PRP$,O
the,DT,O
statement,NN,O
of,IN,O
the,DT,O
prosecutrix,NN,B-LEGAL
was,VBD,O
recorded,VBN,O
under,IN,O
section,NN,O
164,CD,O
code,NN,O
of,IN,O
criminal,JJ,O
procedure,NN,O
on,IN,O
8th,CD,O
december,NN,O
2014,CD,O
after,IN,O
investigation,NN,O
charge,NN,O
sheet,NN,O
was,VBD,O
filed,VBN,O
before,IN,O
the,DT,O
magistrate,NN,O
on,IN,O
24th,CD,O
december,NN,O
2014,CD,O
since,IN,O
the,DT,O
accused,VBN,O
was,VBD,O
not,RB,O
represented,VBN,O
by,IN,O
counsel,NN,O
he,PRP,O
was,VBD,O
provided,VBN,O
legal,JJ,O
aid,NN,O
counsel,NN,O
thereafter,RB,O
on,IN,O
2nd,CD,O
january,JJ,O
2015,CD,O
the,DT,O
accused,VBN,O
