s,JJ,O
orders,NNS,O
passed,VBN,O
by,IN,O
the,DT,O
high,JJ,O
courts,NNS,O
in,IN,O
writ,JJ,B-LEGAL
petitions,NNS,O
filed,VBD,O
as,IN,O
pil,NN,O
case,NN,B-LEGAL
note,VBP,O
civil,JJ,O
validity,NN,B-LEGAL
of,IN,O
interim,JJ,B-LEGAL
order,NN,I-LEGAL
direction,NN,B-LEGAL
restraining,VBG,O
tourism,NN,O
activity,NN,O
present,JJ,O
petition,NN,B-LEGAL
filed,VBN,O
against,IN,O
interim,JJ,B-LEGAL
order,NN,I-LEGAL
passed,VBN,O
by,IN,O
high,JJ,O
court,NN,O
declining,VBG,O
to,TO,O
issue,VB,B-LEGAL
any,DT,O
interim,JJ,O
directions,NNS,O
restraining,VBG,O
tourism,NN,O
activities,NNS,O
within,IN,O
core,NN,O
and,CC,O
critical,JJ,O
areas,NNS,O
of,IN,O
tiger,NN,O
reserves,NNS,B-LEGAL
in,IN,O
state,NN,B-LEGAL
whether,IN,O
interim,JJ,B-LEGAL
order,NN,I-LEGAL
was,VBD,O
sustainable,JJ,O
facts,NNS,O
present,JJ,O
petition,NN,B-LEGAL
was,VBD,O
directed,VBN,O
against,IN,O
an,DT,O
interim,JJ,B-LEGAL
order,NN,I-LEGAL
passed,VBN,O
by,IN,O
the,DT,O
high,JJ,O
court,NN,O
declining,VBG,O
to,TO,O
issue,VB,B-LEGAL
any,DT,O
interim,JJ,O
directions,NNS,O
restraining,VBG,O
tourism,NN,O
activities,NNS,O
within,IN,O
the,DT,O
core,NN,O
and,CC,O
critical,JJ,O
areas,NNS,O
of,IN,O
tiger,NN,O
reserves,NNS,B-LEGAL
in,IN,O
the,DT,O
state,NN,B-LEGAL
held,VBD,O
i,NN,O
when,WRB,O
the,DT,O
matter,NN,O
came,VBD,O
up,RP,O
before,IN,O
present,JJ,O
court,NN,O
earlier,RBR,O
present,JJ,O
court,NN,O
noted,VBD,O
the,DT,O
comprehensive,JJ,O
guidelines,NNS,B-LEGAL
for,IN,O
tiger,NN,O
conservation,NN,O
and,CC,O
tourism,NN,O
and,CC,O
while,IN,O
modifying,VBG,O
interim,JJ,B-LEGAL
order,NN,I-LEGAL
directed,VBD,O
that,IN,O
henceforth,JJ,O
tourism,NN,O
activities,NNS,O
would,MD,O
be,VB,O
strictly,RB,O
in,IN,O
accordance,NN,O
with,IN,O
the,DT,O
said,VBD,O
guidelines,NNS,B-LEGAL
present,JJ,O
court,NN,O
also,RB,O
directed,VBD,O
the,DT,O
authorities,NNS,O
concerned,VBN,O
to,TO,O
ensure,VB,O
that,IN,O
the,DT,O
requirements,NNS,O
in,IN,O
the,DT,O
aforesaid,NN,O
guidelines,NNS,B-LEGAL
are,VBP,O
complied,VBN,O
with,IN,O
before,IN,O
tourism,NN,O
activities,NNS,O
are,VBP,O
recommenced,VBN,O
2,CD,O
ii,NN,O
in,IN,O
the,DT,O
circumstances,NNS,O
therefore,RB,O
and,CC,O
keeping,VBG,O
in,IN,O
view,NN,O
the,DT,O
subsequent,NN,O
developments,NNS,O
which,WDT,O
sufficiently,RB,O
protect,VBP,O
the,DT,O
