sn,NN,O
variava,NN,O
j,NN,O
1,CD,O
the,DT,O
facts,NNS,O
relevant,VBP,O
for,IN,O
the,DT,O
purposes,NNS,O
of,IN,O
this,DT,O
writ,NN,O
petition,NN,O
are,VBP,O
as,IN,O
follows,VBZ,O
the,DT,O
state,NN,O
of,IN,O
andhra,NN,O
pradesh,NN,O
established,VBN,O
family,NN,O
courts,NNS,O
and,CC,O
mahila,NN,O
courts,NNS,O
the,DT,O
high,JJ,O
court,NN,O
of,IN,O
andhra,NN,O
pradesh,NN,O
desired,VBD,O
that,IN,O
these,DT,O
courts,NNS,O
be,VB,O
manned,VBN,O
by,IN,O
women,NNS,O
however,RB,O
in,IN,O
the,DT,O
cadre,NN,B-LEGAL
of,IN,O
district,NN,O
and,CC,O
sessions,NNS,O
judges,NNS,O
grade,VBP,O
ii,NN,O
there,EX,O
were,VBD,O
not,RB,O
enough,JJ,O
women,NNS,O
judges,NNS,O
who,WP,O
could,MD,O
be,VB,O
posted,VBN,O
in,IN,O
these,DT,O
courts,NNS,O
therefore,VBP,O
the,DT,O
high,JJ,O
court,NN,O
requested,VBD,O
the,DT,O
state,NN,O
to,TO,O
create,VB,O
additional,JJ,O
posts,NNS,O
on,IN,O
3rd,CD,O
september,NN,O
1996,CD,O
the,DT,O
state,NN,O
government,NN,O
issued,VBD,O
office,NN,O
memorandum,NN,O
no,DT,O
172,CD,O
sanctioning,VBG,O
10,CD,O
additional,JJ,O
posts,NNS,O
of,IN,O
district,NN,O
and,CC,O
sessions,NNS,O
judges,NNS,O
grade,VBP,O
ii,IN,O
the,DT,O
relevant,JJ,O
portion,NN,O
of,IN,O
the,DT,O
said,VBD,O
memorandum,NN,O
reads,NNS,O
as,IN,O
follows,VBZ,O
the,DT,O
registrar,JJ,O
high,JJ,O
court,NN,O
of,IN,O
andhra,NN,O
pradesh,NN,O
hyderabad,NN,O
has,VBZ,O
informed,VBN,O
in,IN,O
his,PRP$,O
letter,NN,O
6th,CD,O
read,NN,O
above,IN,O
that,DT,O
six,CD,O
family,NN,O
courts,NNS,O
in,IN,O
the,DT,O
cadre,NN,B-LEGAL
of,IN,O
district,NN,O
and,CC,O
sessions,NNS,O
judge,NN,O
were,VBD,O
sanctioned,VBN,O
at,IN,O
visakhapatnam,JJ,O
hyderabad,NN,O
vijayawada,NN,O
kurnool,NN,O
tirupathi,NN,O
and,CC,O
warangal,NN,O
in,IN,O
the,DT,O
go,NN,O
3rd,CD,O
read,NN,O
above,IN,O
and,CC,O
another,DT,O
family,NN,O
court,NN,O
at,IN,O
secunderabad,NN,O
was,VBD,O
sanctioned,VBN,O
in,IN,O
the,DT,O
go,NN,O
5th,CD,O
read,NN,O
above,IN,O
the,DT,O
registrar,JJ,O
high,JJ,O
court,NN,O
of,IN,O
andhra,NN,O
pradesh,NN,O
has,VBZ,O
further,RB,O
stated,VBN,O
that,IN,O
the,DT,O
high,JJ,O
court,NN,O
considers,NNS,O
it,PRP,O
necessary,JJ,O
to,TO,O
post,VB,O
lady,JJ,O
district,NN,O
judges,NNS,O
to,TO,O
preside,VB,O
over,IN,O
the,DT,O
family,NN,O
courts,NNS,O
in,IN,O
the,DT,O
state,NN,O
with,IN,O
a,DT,O
view,NN,O
to,TO,O
protect,VB,O
and,CC,O
preserve,VB,O
that,DT,O
institution,NN,O
of,IN,O
marriage,NN,O
and,CC,O
to,TO,O
promote,VB,O
the,DT,O
welfare,NN,O
of,IN,O
the,DT,O
children,NNS,O
as,IN,O
stipulated,VBN,O
in,IN,O
rule,NN,O
4,CD,O
4,CD,O
a,DT,O
and,CC,O
b,NN,O
of,IN,O
the,DT,O
family,NN,O
court,NN,O
act,NN,O
1984,CD,O
but,CC,O
due,JJ,O
to,TO,O
non,JJ,O
availability,NN,O
of,IN,O
women,NNS,O
judicial,JJ,O
officers,NNS,O
in,IN,O
the,DT,O
cadre,NN,B-LEGAL
of,IN,O
district,NN,O
judges,NNS,O
the,DT,O
high,JJ,O
court,NN,O
is,VBZ,O
unable,JJ,O
to,TO,O
post,VB,O
lady,JJ,O
district,NN,O
judges,NNS,O
to,TO,O
the,DT,O
family,NN,O
courts,VBZ,O
the,DT,O
registrar,NN,O
has,VBZ,O
also,RB,O
stated,VBN,O
that,IN,O
mahila,NN,O
courts,NNS,O
with,IN,O
lady,JJ,O
presiding,VBG,O
officer,NN,O
at,IN,O
hyderabad,NN,O
vijayawada,NN,O
and,CC,O
visakhapatnam,NN,O
were,VBD,O
sanctioned,VBN,O
exclusively,RB,O
to,TO,O
deal,VB,O
with,IN,O
offences,NNS,O
against,IN,O
women,NNS,O
in,IN,O
the,DT,O
gos,NN,O
first,RB,O
and,CC,O
fourth,JJ,O
read,VBN,O
above,IN,O
the,DT,O
registrar,JJ,O
high,JJ,O
court,NN,O
of,IN,O
andhra,NN,O
pradesh,NN,O
has,VBZ,O
finally,RB,O
requested,VBN,O
that,IN,O
10,CD,O
posts,NNS,O
of,IN,O
district,NN,O
and,CC,O
sessions,NNS,O
judge,NN,O
grade,VBD,O
ii,RB,O
be,VB,O
sanctioned,VBN,O
in,IN,O
addition,NN,O
to,TO,O
the,DT,O
existing,VBG,O
cadre,NN,B-LEGAL
strength,NN,O
exclusively,RB,O
to,TO,O
recruit,VB,O
the,DT,O
women,NNS,O
candidates,NNS,O
by,IN,O
direct,JJ,B-LEGAL
recruitment,NN,I-LEGAL
for,IN,O
being,VBG,O
posted,VBN,O
to,TO,O
the,DT,O
family,NN,O
courts,NNS,O
and,CC,O
mahila,JJ,O
courts,NNS,O
in,IN,O
the,DT,O
state,NN,O
2,CD,O
government,NN,O
after,IN,O
careful,JJ,O
consideration,NN,O
of,IN,O
the,DT,O
matter,NN,O
hereby,NN,O
sanction,NN,O
in,IN,O
relaxation,NN,B-LEGAL
of,IN,I-LEGAL
rule,NN,I-LEGAL
2,CD,O
of,IN,O
the,DT,O
special,JJ,O
rules,NNS,O
for,IN,O
the,DT,O
ap,NN,O
state,NN,O
higher,JJR,O
judicial,JJ,B-LEGAL
service,NN,I-LEGAL
10,CD,O
posts,NNS,O
of,IN,O
district,NN,O
and,CC,O
sessions,NNS,O
judges,NNS,O
grade,VBP,O
ii,NN,O
in,IN,O
addition,NN,O
to,TO,O
the,DT,O
existing,VBG,O
cadre,NN,B-LEGAL
strength,NN,O
exclusively,RB,O
for,IN,O
women,NNS,O
candidates,NNS,O
to,TO,O
be,VB,O
recruited,VBN,O
by,IN,O
direct,JJ,B-LEGAL
recruitment,NN,I-LEGAL
2,CD,O
pursuant,NN,O
to,TO,O
this,DT,O
memorandum,NN,O
the,DT,O
high,JJ,O
court,NN,O
issued,VBD,O
an,DT,O
advertisement,JJ,O
inviting,NN,O
applications,NNS,O
from,IN,O
women,NNS,O
candidates,NNS,O
for,IN,O
appointment,NN,B-LEGAL
to,TO,O
the,DT,O
post,NN,O
of,IN,O
district,NN,O
and,CC,O
sessions,NNS,O
judge,NN,O
grade,VBD,O
ii,IN,O
the,DT,O
advertisement,NN,O
specified,VBD,O
that,IN,O
five,CD,O
posts,NNS,O
would,MD,O
be,VB,O
available,JJ,O
for,IN,O
open,JJ,O
competition,NN,O
two,CD,O
posts,NNS,O
for,IN,O
the,DT,O
scheduled,JJ,O
castes,VBZ,O
one,CD,O
post,NN,O
for,IN,O
the,DT,O
scheduled,JJ,B-LEGAL
tribe,NN,I-LEGAL
one,CD,O
post,NN,O
for,IN,O
backward,JJ,B-LEGAL
class,NN,I-LEGAL
group,NN,O
a,DT,O
and,CC,O
one,CD,O
post,NN,O
for,IN,O
backward,JJ,B-LEGAL
class,NN,I-LEGAL
group,NN,O
b,VBD,O
3,CD,O
pursuant,NN,O
to,TO,O
this,DT,O
advertisement,NN,O
261,CD,O
candidates,NNS,O
applied,VBN,O
for,IN,O
the,DT,O
posts,NNS,O
the,DT,O
high,JJ,O
court,NN,O
called,VBD,O
210,CD,O
candidates,NNS,O
for,IN,O
a,DT,O
written,VBN,O
examination,NN,O
180,CD,O
candidates,NNS,O
participated,VBN,O
in,IN,O
the,DT,O
written,VBN,O
examination,NN,O
the,DT,O
high,JJ,O
court,NN,O
called,VBD,O
35,CD,O
candidates,NNS,O
for,IN,O
oral,JJ,O
interviews,NNS,O
the,DT,O
oral,JJ,O
interviews,NNS,O
were,VBD,O
conducted,VBN,O
on,IN,O
20th,CD,O
and,CC,O
21st,CD,O
of,IN,O
march,NN,O
1997,CD,O
a,DT,O
panel,NN,O
of,IN,O
10,CD,O
candidates,NNS,O
was,VBD,O
prepared,VBN,O
the,DT,O
10,CD,O
candidates,NNS,O
were,VBD,O
asked,VBN,O
for,IN,O
furnish,JJ,O
further,JJ,O
information,NN,O
relating,VBG,O
to,TO,O
their,PRP$,O
legal,JJ,O
practice,NN,O
after,IN,O
receipt,NN,O
of,IN,O
the,DT,O
information,NN,O
the,DT,O
high,JJ,O
court,NN,O
rejected,VBD,O
one,CD,O
name,NN,O
a,DT,O
panel,NN,O
of,IN,O
nine,CD,O
candidates,NNS,O
was,VBD,O
the,DT,O
approved,VBN,O
at,IN,O
full,JJ,O
court,NN,O
meeting,NN,O
held,VBD,O
on,IN,O
17th,CD,O
september,NN,O
1997,CD,O
and,CC,O
again,RB,O
on,IN,O
17th,CD,O
october,JJ,O
1997,CD,O
this,DT,O
panel,NN,O
consisted,VBD,O
of,IN,O
seven,CD,O
candidates,NNS,O
from,IN,O
the,DT,O
open,JJ,O
category,NN,O
one,CD,O
from,IN,O
scheduled,VBN,B-LEGAL
caste,NN,I-LEGAL
and,CC,O
one,CD,O
from,IN,O
backward,JJ,B-LEGAL
class,NN,I-LEGAL
group,NN,O
d,VBZ,O
the,DT,O
high,JJ,O
court,NN,O
then,RB,O
sent,VBD,O
the,DT,O
names,NNS,O
of,IN,O
the,DT,O
nine,CD,O
candidates,NNS,O
to,TO,O
the,DT,O
state,NN,O
government,NN,O
for,IN,O
appointment,NN,B-LEGAL
4,CD,O
the,DT,O
state,NN,O
government,NN,O
brought,VBD,O
to,TO,O
the,DT,O
notice,NN,O
of,IN,O
the,DT,O
high,JJ,O
court,NN,O
certain,JJ,O
aspects,NNS,O
and,CC,O
requested,VBD,O
the,DT,O
high,JJ,O
court,NN,O
to,TO,O
consider,VB,O
the,DT,O
same,JJ,O
and,CC,O
express,VB,O
its,PRP$,O
views,NNS,O
the,DT,O
aspects,NNS,O
brought,VBD,O
to,TO,O
the,DT,O
notice,NN,O
of,IN,O
the,DT,O
high,JJ,O
court,NN,O
were,VBD,O
as,IN,O
follows,VBZ,O
1,CD,O
