dm,NN,O
dharmadhikari,VBZ,O
j,$,O
1,CD,O
frailty,NN,O
thy,NN,O
name,NN,O
is,VBZ,O
woman,NN,O
that,WDT,O
is,VBZ,O
how,WRB,O
in,IN,O
one,CD,O
of,IN,O
his,PRP$,O
plays,NNS,O
shakespeare,VBP,O
described,JJ,O
one,CD,O
of,IN,O
the,DT,O
female,JJ,O
characters,NNS,O
in,IN,O
his,PRP$,O
play,NN,O
this,DT,O
description,NN,O
is,VBZ,O
more,JJR,O
and,CC,O
more,RBR,O
in,IN,O
evidence,NN,O
particularly,RB,O
in,IN,O
rural,JJ,O
indian,JJ,O
society,NN,O
where,WRB,O
married,VBN,O
woman,NN,O
who,WP,O
are,VBP,O
unable,JJ,O
to,TO,O
muster,VB,O
courage,NN,O
to,TO,O
fight,VB,O
against,IN,O
cruelty,NN,O
and,CC,O
harassment,NN,O
meted,VBN,O
out,RP,O
to,TO,O
them,PRP,O
by,IN,O
their,PRP$,O
spouses,NNS,O
and,CC,O
family,NN,O
members,NNS,O
find,VBP,O
no,DT,O
escape,NN,O
other,JJ,O
than,IN,O
ending,VBG,O
their,PRP$,O
own,JJ,O
life,NN,O
2,CD,O
the,DT,O
deceased,JJ,O
krishna,NN,O
kumari,VB,O
second,JJ,O
daughter,NN,O
of,IN,O
pw1,NN,O
was,VBD,O
married,VBN,O
to,TO,O
yadla,VB,O
srinivasa,JJ,O
rao,NN,O
hereinafter,NN,O
referred,VBD,O
to,TO,O
as,IN,O
accused,VBN,O
no,DT,O
1,CD,O
on,IN,O
2661988,CD,O
accused,VBD,O
no,DT,O
1,CD,O
was,VBD,O
employed,VBN,O
as,IN,O
branch,NN,O
post,NN,O
master,NN,O
in,IN,O
the,DT,O
village,NN,O
where,WRB,O
the,DT,O
spouses,NNS,O
lived,VBD,O
jointly,RB,O
with,IN,O
the,DT,O
parents,NNS,O
of,IN,O
accused,JJ,O
no,DT,O
1,CD,O
3,CD,O
at,IN,O
the,DT,O
time,NN,O
of,IN,O
marriage,NN,O
father,NN,O
of,IN,O
the,DT,O
deceased,VBN,O
who,WP,O
was,VBD,O
a,DT,O
teacher,NN,O
gave,VBD,O
a,DT,O
cash,NN,O
dowry,NN,O
of,IN,O
rupees,NNS,O
fifteen,JJ,O
thousand,CD,O
and,CC,O
jewels,NNS,O
wroth,VBP,O
fifteen,JJ,O
thousand,CD,O
besides,IN,O
gift,NN,O
of,IN,O
five,CD,O
acres,NNS,O
of,IN,O
land,NN,O
and,CC,O
a,DT,O
house,NN,O
site,NN,O
in,IN,O
the,DT,O
course,NN,O
of,IN,O
marriage,NN,O
ritual,JJ,O
described,VBD,O
as,IN,O
pasupukumkuma,NN,O
it,PRP,O
is,VBZ,O
explained,VBN,O
that,IN,O
this,DT,O
gift,NN,O
of,IN,O
land,NN,O
was,VBD,O
in,IN,O
the,DT,O
nature,NN,O
of,IN,O
stridhana,NN,O
given,VBN,O
to,TO,O
the,DT,O
bride,NN,O
by,IN,O
the,DT,O
father,NN,O
for,IN,O
her,PRP$,O
maintenance,NN,O
4,CD,O
after,IN,O
three,CD,O
or,CC,O
four,CD,O
months,NNS,O
of,IN,O
the,DT,O
marriage,NN,O
accused,VBD,O
no,DT,O
1,CD,O
husband,NN,O
of,IN,O
the,DT,O
deceased,VBN,O
started,VBD,O
demanding,VBG,O
from,IN,O
the,DT,O
deceased,JJ,O
execution,NN,O
of,IN,O
a,DT,O
deed,NN,O
in,IN,O
his,PRP$,O
favour,NN,O
of,IN,O
the,DT,O
land,NN,O
and,CC,O
house,NN,O
site,NN,O
gifted,VBD,O
to,TO,O
her,PRP$,O
refusal,NN,O
on,IN,O
the,DT,O
part,NN,O
of,IN,O
the,DT,O
deceased,VBN,O
to,TO,O
meet,VB,O
the,DT,O
demand,NN,O
was,VBD,O
the,DT,O
cause,NN,O
of,IN,O
her,PRP$,O
continuous,JJ,O
harassment,NN,O
taking,VBG,O
advantage,NN,O
of,IN,O
his,PRP$,O
position,NN,O
as,IN,O
the,DT,O
post,NN,O
master,NN,O
in,IN,O
the,DT,O
village,NN,O
accused,VBD,O
no,DT,O
1,CD,O
never,RB,O
delivered,VBN,O
mail,NN,O
sent,NN,O
to,TO,O
the,DT,O
deceased,VBN,O
by,IN,O
her,PRP$,O
father,NN,O
and,CC,O
her,PRP$,O
sister,NN,O
nagamani,IN,O
her,PRP$,O
younger,JJR,O
sister,NN,O
after,IN,O
passing,VBG,O
tenth,JJ,O
class,NN,O
examination,NN,O
had,VBD,O
to,TO,O
appear,VB,O
for,IN,O
polytechnic,JJ,O
entrance,NN,O
test,NN,O
as,IN,O
a,DT,O
part,NN,O
of,IN,O
harassment,NN,O
of,IN,O
the,DT,O
deceased,VBN,O
accused,VBD,O
no,DT,O
1,CD,O
did,VBD,O
not,RB,O
deliver,VB,O
the,DT,O
entrance,NN,O
card,NN,O
received,VBD,O
from,IN,O
kakatiya,NNP,O
university,NN,O
addressed,VBD,O
to,TO,O
the,DT,O
younger,JJR,O
sister,NN,O
of,IN,O
the,DT,O
deceased,JJ,O
which,WDT,O
resulted,VBD,O
in,IN,O
the,DT,O
former,JJ,O
losing,VBG,O
the,DT,O
admission,NN,O
to,TO,O
the,DT,O
test,NN,O
5,CD,O
the,DT,O
deceased,VBN,O
somebody,NN,O
was,VBD,O
able,JJ,O
to,TO,O
lay,VB,O
her,PRP$,O
hand,NN,O
on,IN,O
the,DT,O
letters,NNS,O
addressed,VBD,O
to,TO,O
her,PRP$,O
and,CC,O
which,WDT,O
had,VBD,O
been,VBN,O
concealed,VBN,O
by,IN,O
accused,JJ,O
no,DT,O
1,CD,O
on,IN,O
finding,VBG,O
those,DT,O
letters,NNS,O
she,PRP,O
handed,VBD,O
over,RP,O
the,DT,O
same,JJ,O
to,TO,O
her,PRP$,O
father,NN,O
this,DT,O
incident,NN,O
led,VBD,O
to,TO,O
extreme,VB,O
point,NN,O
of,IN,O
harassment,NN,O
accused,VBN,O
no,DT,O
1,CD,O
and,CC,O
his,PRP$,O
parents,NNS,O
accused,VBD,O
nos,RB,O
2,CD,O
3,CD,O
drove,VBD,O
the,DT,O
deceased,VBN,O
out,IN,O
from,IN,O
their,PRP$,O
house,NN,O
with,IN,O
stern,JJ,O
warning,NN,O
to,TO,O
her,PRP$,O
to,TO,O
restore,VB,O
those,DT,O
letters,NNS,O
this,DT,O
incident,NN,O
of,IN,O
cruelty,NN,O
was,VBD,O
so,RB,O
grave,JJ,O
and,CC,O
unbearable,JJ,O
that,IN,O
she,PRP,O
committed,VBD,O
suicide,NN,O
by,IN,O
consuming,VBG,O
a,DT,O
poisonous,JJ,O
insecticide,NN,O
endo,NN,O
sulphan,NN,O
on,IN,O
22101989,CD,O
pw4,NN,O
who,WP,O
had,VBD,O
witnessed,VBN,O
the,DT,O
incident,NN,O
of,IN,O
the,DT,O
