uc,JJ,O
banerjee,NN,O
j,NN,O
1,CD,O
the,DT,O
validity,NN,O
of,IN,O
the,DT,O
constitution,NN,O
72nd,CD,O
amendment,NN,O
act,NN,O
1992,CD,O
is,VBZ,O
the,DT,O
core,NN,O
question,NN,O
in,IN,O
this,DT,O
writ,NN,O
petition,NN,O
and,CC,O
pertains,NNS,O
to,TO,O
the,DT,O
issue,NN,O
of,IN,O
reservation,NN,O
the,DT,O
constitution,NN,O
72nd,CD,O
amendment,NN,O
act,NN,O
1992,CD,O
introduced,VBD,O
a,DT,O
further,JJ,O
sub,NN,O
article,NN,O
332,CD,O
of,IN,O
the,DT,O
existing,VBG,O
article,NN,O
332,CD,O
which,WDT,O
the,DT,O
learned,JJ,O
advocate,NN,O
appearing,VBG,O
in,IN,O
support,NN,O
of,IN,O
the,DT,O
petition,NN,O
has,VBZ,O
contended,VBN,O
runs,NNS,O
counter,RB,O
to,TO,O
the,DT,O
constitutional,JJ,O
requirement,NN,O
of,IN,O
population,NN,O
based,VBN,O
representation,NN,B-LEGAL
for,IN,O
the,DT,O
people,NNS,O
and,CC,O
proportional,JJ,O
reservation,NN,O
for,IN,O
the,DT,O
scheduled,JJ,O
castes,NNS,O
and,CC,O
scheduled,VBN,O
tribes,NNS,O
in,IN,O
the,DT,O
legislative,JJ,B-LEGAL
assemblies,NNS,I-LEGAL
of,IN,O
the,DT,O
states,NNS,O
it,PRP,O
would,MD,O
be,VB,O
convenient,JJ,O
however,RB,O
to,TO,O
advert,VB,O
to,TO,O
the,DT,O
relevant,JJ,O
extracts,NNS,O
of,IN,O
article,NN,O
332,CD,O
at,IN,O
this,DT,O
juncture,NN,O
and,CC,O
the,DT,O
same,JJ,O
reads,NN,O
as,IN,O
below,IN,O
2,CD,O
332,CD,O
reservation,NN,O
of,IN,O
seats,NNS,O
for,IN,O
schedules,NNS,O
castes,NNS,O
and,CC,O
scheduled,VBN,O
tribes,NNS,O
in,IN,O
the,DT,O
legislative,JJ,B-LEGAL
assemblies,NNS,I-LEGAL
of,IN,O
the,DT,O
states,NNS,O
1,CD,O
seats,NNS,O
shall,MD,O
be,VB,O
reserved,VBN,O
for,IN,O
the,DT,O
scheduled,JJ,O
castes,NNS,O
and,CC,O
the,DT,O
scheduled,JJ,O
tribes,NN,O
except,IN,O
the,DT,O
scheduled,JJ,O
tribes,NNS,O
in,IN,O
the,DT,O
autonomous,JJ,O
districts,NNS,O
of,IN,O
assam,NN,O
in,IN,O
the,DT,O
legislative,JJ,B-LEGAL
assembly,NN,I-LEGAL
of,IN,O
every,DT,O
state,NN,O
2,CD,O
3,CD,O
the,DT,O
number,NN,O
of,IN,O
seats,NNS,O
reserved,VBN,O
for,IN,O
the,DT,O
scheduled,JJ,O
castes,NNS,O
or,CC,O
the,DT,O
scheduled,JJ,O
tribes,NNS,O
in,IN,O
the,DT,O
legislative,JJ,B-LEGAL
assembly,NN,I-LEGAL
of,IN,O
any,DT,O
state,NN,O
under,IN,O
clause,NN,O
1,CD,O
shall,MD,O
bear,VB,O
as,RB,O
nearly,RB,O
as,IN,O
may,MD,O
be,VB,O
the,DT,O
same,JJ,O
proportion,NN,O
to,TO,O
the,DT,O
total,JJ,O
number,NN,O
of,IN,O
seats,NNS,O
in,IN,O
the,DT,O
assembly,NN,O
as,IN,O
the,DT,O
population,NN,O
of,IN,O
the,DT,O
scheduled,JJ,O
castes,NNS,O
in,IN,O
the,DT,O
state,NN,O
or,CC,O
of,IN,O
the,DT,O
scheduled,JJ,O
tribes,NNS,O
in,IN,O
the,DT,O
state,NN,O
or,CC,O
part,NN,O
of,IN,O
the,DT,O
state,NN,O
as,IN,O
the,DT,O
case,NN,O
may,MD,O
be,VB,O
in,IN,O
respect,NN,O
of,IN,O
which,WDT,O
seats,NNS,O
are,VBP,O
so,RB,O
reserved,JJ,O
bears,NNS,O
to,TO,O
the,DT,O
total,JJ,O
population,NN,O
of,IN,O
the,DT,O
state,NN,O
3a,CD,O
3b,CD,O
notwithstanding,VBG,O
anything,NN,O
contained,VBN,O
in,IN,O
clause,NN,O
3,CD,O
until,IN,O
the,DT,O
re,JJ,O
adjustment,NN,O
under,IN,O
article,NN,O
170,CD,O
takes,VBZ,O
effect,NN,O
on,IN,O
the,DT,O
basis,NN,O
of,IN,O
the,DT,O
first,JJ,O
census,NN,B-LEGAL
after,IN,O
the,DT,O
year,NN,O
2000,CD,O
of,IN,O
the,DT,O
number,NN,O
of,IN,O
seats,NNS,O
in,IN,O
the,DT,O
legislative,JJ,B-LEGAL
assembly,NN,I-LEGAL
of,IN,O
the,DT,O
state,NN,O
of,IN,O
tripura,NN,O
the,DT,O
seats,NNS,O
which,WDT,O
shall,MD,O
be,VB,O
reserved,VBN,O
for,IN,O
the,DT,O
scheduled,JJ,O
tribes,NNS,O
in,IN,O
the,DT,O
legislative,JJ,B-LEGAL
assembly,NN,I-LEGAL
shall,MD,O
be,VB,O
such,JJ,O
number,NN,O
of,IN,O
seats,NNS,O
as,IN,O
bears,NNS,O
to,TO,O
the,DT,O
