S,NNP,O
N,NNP,O
Variava,NNP,O
J,NNP,O
1,NNP,O
Leave,DT,O
granted,NN,O
2,NN,O
These,DT,O
Appeals,NN,O
are,DT,O
against,NNP,O
the,NNP,O
judgment,VBD,O
dated,CD,O
27th,NNP,O
March,NNP,O
2001,VBZ,O
Briefly,DT,O
stated,NN,O
the,NN,O
facts,NNP,O
are,NN,O
as,NN,O
follows,DT,O
On,JJ,O
20th,NN,O
January,NN,O
2000,NN,O
the,VBD,O
election,CD,O
for,NNP,O
the,NNP,O
post,NN,O
of,NN,O
Sarpanch,NN,O
Gram,NN,O
Panchayat,VBZ,O
Ringnodiya,DT,O
Indore,NN,O
was,NN,O
held,VBZ,O
After,DT,O
the,NN,O
counting,NN,O
of,VBZ,O
the,DT,O
votes,NN,O
the,NN,O
Appellant,VBZ,O
was,DT,O
orally,NN,O
informed,DT,O
that,NN,O
he,MD,O
had,VB,O
won,JJ,O
the,NNP,O
elections,NN,O
However,NN,O
when,NN,O
the,NNP,O
result,NN,O
was,JJ,O
officially,NN,O
declared,NN,O
Respondent,NN,O
No,NN,O
1,JJ,O
was,NN,O
shown,NNP,O
to,VBZ,O
have,DT,O
won,JJ,O
The,NN,O
Returning,NN,B-LEGAL
Officer,VBD,I-LEGAL
then,CD,O
issued,CD,O
a,NN,O
certificate,NN,O
showing,NNP,O
that,NNP,O
Respondent,DT,O
No,NN,O
1,NN,O
had,NN,O
won,VBD,O
3,CD,O
The,CD,O
Appellant,CD,O
therefore,CD,O
filed,NN,O
an,NNP,O
election,NN,O
petition,NN,O
before,VBP,O
the,JJ,O
Sub,NN,O
Divisional,NN,O
Officer,NNP,O
Respondent,VBZ,O
No,VB,O
1,DT,O
evaded,NN,O
services,NN,O
By,NN,O
an,NNP,O
ex,NN,O
parte,NN,O
Order,NN,O
the,NNP,O
Sub,VBZ,O
Divisional,DT,O
Officer,JJ,O
directed,NN,O
recounting,NN,O
of,VBZ,O
ballot,DT,O
papers,NN,O
On,NN,O
such,VBZ,O
recounting,DT,O
it,JJ,O
was,NN,O
found,NN,O
that,NN,O
in,NN,O
respect,NN,O
of,NN,O
booth,NN,O
No,NN,O
151,NNP,O
the,NNP,O
votes,VBD,O
polled,NNP,O
in,CD,O
favour,CD,O
of,NN,O
the,NN,O
Appellant,NNP,O
had,NNP,O
been,DT,O
erroneously,JJ,O
shown,NN,O
as,DT,O
having,NN,O
been,NN,O
polled,VBD,O
in,CD,O
favour,CD,O
of,CD,O
Respondent,CD,O
No,NN,O
4,NN,O
On,NN,O
a,NN,O
recounting,NNP,O
of,NN,O
the,NN,O
votes,NN,O
it,VBP,O
was,NN,O
found,NN,O
that,VBP,O
the,JJ,O
Appellant,NNP,O
had,NN,O
won,NN,O
The,NN,O
Sub,NNP,O
Divisional,NN,O
Officer,NN,O
therefore,NN,O
corrected,NNP,O
the,NN,O
mistake,NN,O
by,NN,O
Order,NN,O
dated,NNP,O
3rd,VBZ,O
February,JJ,O
2000,NNP,O
and,NNP,O
declared,DT,O
the,NN,O
Appellant,NN,O
to,DT,O
have,JJ,O
won,NN,O
the,NN,O
election,NNP,O
4,NNP,O
Against,VBZ,O
the,DT,O
order,NN,O
of,NNP,O
the,NNP,O
Sub,DT,O
divisional,JJ,O
Officer,NN,O
Respondent,VBD,O
No,DT,O
1,NN,O
filed,DT,O
a,NN,O
Writ,NNP,O
Petition,NNP,O
in,NN,O
the,VBP,O
High,NN,O
Court,JJ,O
On,IN,O
23rd,NN,O
February,NN,O
2000,VBP,O
the,DT,O
High,NN,O
Court,PRP,O
disposed,VBP,O
of,JJ,O
the,NN,O
Writ,NN,O
Petition,NN,O
by,NNP,O
remanding,VBZ,O
the,DT,O
matter,JJ,O
back,NN,O
to,NN,O
Sub,NN,O
Divisional,NN,O
Officer,NN,O
The,VBZ,O
Sub,DT,O
Divisional,JJ,O
Officer,NN,O
thereafter,NN,O
heard,NN,O
all,NNP,O
parties,NN,O
and,NN,O
again,NN,O
passed,NNP,O
an,VBZ,O
order,JJ,O
to,JJ,O
recount,JJ,O
On,NN,O
a,NN,O
second,VBP,O
recount,NN,O
it,NNP,O
was,VBZ,O
again,JJ,O
found,NNP,O
that,NN,O
the,NN,O
votes,NN,O
polled,NNP,O
in,NN,O
favour,NN,O
of,NN,O
the,NN,O
Appellant,NN,O
had,NNP,O
been,NN,O
erroneously,NN,O
shown,NN,O
as,VBZ,O
having,DT,O
been,NN,O
polled,NN,O
in,NN,O
favour,NN,O
of,VBZ,O
Respondent,DT,O
No,JJ,O
4,NN,O
Thus,NNP,O
the,VBZ,O
Sub,DT,O
Divisional,JJ,O
Officer,NN,O
again,NN,O
corrected,VBZ,O
the,DT,O
results,NN,O
and,NN,O
declared,NN,O
the,NN,O
Appellant,NN,O
as,VBP,O
having,NN,O
won,NN,O
the,NN,O
elections,NN,O
5,NN,O
The,NN,O
1st,NNP,O
Respondent,NN,O
again,VBD,O
filed,DT,O
a,NN,O
writ,NN,O
petition,NN,O
before,NN,O
the,NNP,O
high,VBZ,O
Court,DT,O
This,NN,O
Writ,NNP,O
Petition,NN,O
has,NN,O
been,JJ,O
allowed,NNP,O
by,NN,O
the,NN,O
impugned,NN,O
judgment,NNP,O
In,NN,O
the,NN,O
impugned,NN,O
judgment,VBP,O
the,NN,O
High,NN,O
Court,VBP,O
was,JJ,O
followed,NN,O
a,NNP,O
decision,NNP,O
of,MD,O
this,VB,O
Court,NN,O
in,NN,O
the,NN,O
case,NN,O
of,NNP,O
Smt,NN,O
Ram,NN,O
Rati,NN,O
v,JJ,O
Saroj,NNP,O
Devi,NN,O
and,NN,O
Ors,NN,O
MANU,NNP,O
SC,NN,O
0797,NN,O
1997MANU,NN,O
SC,JJ,O
0797,NN,O
1997,NN,O
1997,NNP,O
3SCR1050,VBZ,O
In,DT,O
this,JJ,O
decision,NN,O
it,NN,O
has,VBP,O
been,NN,O
held,NN,O
that,VBP,O
unless,VB,O
a,DT,O
party,NN,O
first,NN,O
applies,NN,O
to,NNP,O
the,NN,O
Returning,NN,B-LEGAL
Officer,VBP,I-LEGAL
for,NN,O
recounting,DT,O
of,NN,O
votes,NN,O
it,NN,O
is,NNP,O
not,NNP,O
open,NN,O
to,NN,O
the,NN,O
Tribunal,NN,O
or,JJ,O
the,NN,O
Court,NN,O
to,JJ,O
direct,NN,O
recounting,NNP,O
It,NNP,O
was,VBD,O
hold,$,O
that,CD,O
an,NNP,O
application,VBD,O
for,DT,O
recounting,JJ,O
in,NN,O
writing,NN,O
to,NN,O
the,JJ,O
Returning,NN,B-LEGAL
Officer,JJ,I-LEGAL
was,NNP,O
an,NN,O
essential,NN,O
pre,NNP,O
condition,VBZ,O
6,DT,O
Based,NN,O
on,NN,O
this,NNP,O
authority,NN,O
the,NN,O
High,JJ,O
Court,NNP,O
set,NNP,O
aside,NN,O
the,NN,O
order,NNP,O
of,NNP,O
the,NN,O
Sub,NN,O
Divisional,JJ,O
Officer,NN,O
solely,NN,O
on,NN,O
