vikramajit,NN,O
sen,VBD,O
j,$,O
1,CD,O
a,DT,O
legal,JJ,O
nodus,NN,O
of,IN,O
seminal,JJ,O
significance,NN,O
and,CC,O
of,IN,O
prosaic,JJ,O
procedural,JJ,O
origination,NN,O
presents,NNS,O
itself,PRP,O
before,IN,O
us,PRP,O
the,DT,O
conundrum,NN,O
is,VBZ,O
whether,IN,O
it,PRP,O
is,VBZ,O
imperative,JJ,O
for,IN,O
an,DT,O
unwed,JJ,O
mother,NN,O
to,TO,O
specifically,RB,O
notify,VB,O
the,DT,O
putative,JJ,B-LEGAL
father,NN,I-LEGAL
of,IN,O
the,DT,O
child,NN,O
whom,WP,O
she,PRP,O
has,VBZ,O
given,VBN,O
birth,NN,O
to,TO,O
of,IN,O
her,PRP$,O
petition,NN,O
for,IN,O
appointment,NN,O
as,IN,O
the,DT,O
guardian,NN,O
of,IN,O
her,PRP$,O
child,NN,O
the,DT,O
common,JJ,O
perception,NN,O
would,MD,O
be,VB,O
that,IN,O
three,CD,O
competing,VBG,O
legal,JJ,O
interests,NNS,O
would,MD,O
arise,VB,O
namely,RB,O
of,IN,O
the,DT,O
mother,NN,O
and,CC,O
the,DT,O
father,NN,B-LEGAL
and,CC,O
the,DT,O
child,NN,O
we,PRP,O
think,VBP,O
that,IN,O
it,PRP,O
is,VBZ,O
only,RB,O
the,DT,O
last,JJ,O
one,CD,O
which,WDT,O
is,VBZ,O
conclusive,JJ,O
since,IN,O
the,DT,O
parents,NNS,O
in,IN,O
actuality,NN,O
have,VBP,O
only,RB,O
legal,JJ,O
obligations,NNS,O
a,DT,O
child,NN,O
as,IN,O
has,VBZ,O
been,VBN,O
ubiquitously,RB,O
articulated,VBN,O
in,IN,O
different,JJ,O
legal,JJ,O
forums,NNS,O
is,VBZ,O
not,RB,O
a,DT,O
chattel,NN,O
or,CC,O
a,DT,O
ball,NN,O
to,TO,O
be,VB,O
shuttled,VBN,O
or,CC,O
shunted,VBN,O
from,IN,O
one,CD,O
parent,NN,O
to,TO,O
the,DT,O
other,JJ,O
the,DT,O
court,NN,O
exercises,VBZ,O
paren,JJ,O
patrae,JJ,O
jurisdiction,NN,O
in,IN,O
custody,NN,B-LEGAL
or,CC,O
guardianship,NN,B-LEGAL
wrangles,NNS,O
it,PRP,O
steps,VBZ,O
in,IN,O
to,TO,O
secure,VB,O
the,DT,O
welfare,NN,O
of,IN,O
the,DT,O
hapless,JJ,O
child,NN,O
of,IN,O
two,CD,O
adults,NNS,O
whose,WP$,O
personal,JJ,O
differences,NNS,O
and,CC,O
animosity,NN,O
has,VBZ,O
taken,VBN,O
precedence,NN,O
over,IN,O
the,DT,O
future,NN,O
of,IN,O
their,PRP$,O
child,NN,O
2,CD,O
leave,NN,O
granted,VBN,O
this,DT,O
appeal,NN,O
is,VBZ,O
directed,VBN,O
against,IN,O
the,DT,O
judgment,NN,O
dated,VBD,O
882011,CD,O
delivered,VBN,O
by,IN,O
the,DT,O
high,JJ,O
court,NN,O
of,IN,O
delhi,NN,O
which,WDT,O
has,VBZ,O
dismissed,VBN,O
the,DT,O
first,JJ,O
appeal,NN,O
of,IN,O
the,DT,O
appellant,NN,O
who,WP,O
is,VBZ,O
an,DT,O
unwed,JJ,O
mother,NN,O
holding,VBG,O
that,IN,O
her,PRP$,O
guardianship,JJ,B-LEGAL
application,NN,O
cannot,MD,O
be,RB,O
entertained,VB,O
unless,VBN,O
she,IN,O
discloses,PRP,O
the,VBZ,O
name,DT,O
and,NN,O
address,CC,O
of,NN,O
the,IN,O
father,DT,B-LEGAL
of,NN,O
her,IN,O
child,PRP$,O
thereby,NN,O
enabling,NN,O
the,VBG,O
court,DT,O
to,NN,O
issue,TO,O
process,VB,O
to,NN,O
him,TO,O
as,PRP,O
per,IN,O
the,IN,O
appellant,DT,O
s,NN,O
request,NN,O
her,NN,O
identity,PRP$,O
and,NN,O
personal,CC,O
details,JJ,O
as,NNS,O
well,RB,O
as,RB,O
those,IN,O
of,DT,O
her,IN,O
son,PRP$,O
have,NN,O
not,VBP,O
been,RB,O
revealed,VBN,O
herein,VBN,O
3,RB,O
the,CD,O
appellant,DT,O
who,NN,O
adheres,WP,O
to,VBZ,O
